,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,HIST100,Global History,39597,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,315 Gregory Hall,"Hong, H & Rabin, D"
1,HIST100,Global History,39598,Discussion/ Recitation,AD2,09:00AM - 09:50AM,F,327 Gregory Hall,"Coskun, N & Rabin, D"
2,HIST100,Global History,39599,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,315 Gregory Hall,"Hong, H & Rabin, D"
3,HIST100,Global History,39600,Discussion/ Recitation,AD4,02:00PM - 02:50PM,W,219 Gregory Hall,"Coskun, N & Rabin, D"
4,HIST100,Global History,39601,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,317 Gregory Hall,"Hong, H & Rabin, D"
5,HIST100,Global History,39602,Discussion/ Recitation,AD6,03:00PM - 03:50PM,W,315 Gregory Hall,"Mandala, R & Rabin, D"
6,HIST100,Global History,54515,Discussion/ Recitation,AD7,09:00AM - 09:50AM,F,215 Gregory Hall,"Mandala, R & Rabin, D"
7,HIST100,Global History,54516,Discussion/ Recitation,AD8,11:00AM - 11:50AM,W,327 Gregory Hall,"Coskun, N & Rabin, D"
8,HIST100,Global History,54517,Discussion/ Recitation,AD9,01:00PM - 01:50PM,W,219 Gregory Hall,"Mandala, R & Rabin, D"
9,HIST100,Global History,33842,Online Lecture,AL1,ARRANGED,MW,n.a.,"Rabin, D"
10,HIST112,History of Africa from 1800,71777,Lecture-Discussion,A,09:00AM - 09:50AM,MWF,1002 Lincoln Hall,"LoBue, A"
11,HIST120,East Asian Civilizations,34082,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,331 Gregory Hall,"Fu, P & Stetsuk, A"
12,HIST120,East Asian Civilizations,34083,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,111 Gregory Hall,"Fu, P & Stetsuk, A"
13,HIST120,East Asian Civilizations,34084,Discussion/ Recitation,AD3,02:00PM - 02:50PM,W,221 Gregory Hall,"Fu, P & Hsieh, P"
14,HIST120,East Asian Civilizations,34085,Discussion/ Recitation,AD4,04:00PM - 04:50PM,W,307 Gregory Hall,"Fu, P & Hsieh, P"
15,HIST120,East Asian Civilizations,34086,Discussion/ Recitation,AD5,11:00AM - 11:50AM,F,307 Gregory Hall,"Fu, P & Hsieh, P"
16,HIST120,East Asian Civilizations,34087,Discussion/ Recitation,AD6,11:00AM - 11:50AM,F,111 Gregory Hall,"Fu, P & Stetsuk, A"
17,HIST120,East Asian Civilizations,34088,Lecture,AL1,11:00AM - 11:50AM,MW,100 Materials Science & Eng Bld,"Fu, P"
