,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,IB100,Biology in Today's World,65059,Online Lecture,AL2,ARRANGED,n.a.,n.a.,"Antonson, N & O'Dwyer, A"
1,IB100,Biology in Today's World,59751,Online Discussion,BE1,10:00AM - 10:50AM,W,n.a.,"Antonson, N & O'Dwyer, A"
2,IB100,Biology in Today's World,34293,Online Discussion,BE2,12:00PM - 12:50PM,W,n.a.,"Edwards, J & O'Dwyer, A"
3,IB100,Biology in Today's World,34295,Online Discussion,BE3,02:00PM - 02:50PM,W,n.a.,"Edwards, J & O'Dwyer, A"
4,IB103,Introduction to Plant Biology,34452,Laboratory,ABD,09:00AM - 11:50AM,T,2082 Natural History Building,"Flores, M & Ming, R"
5,IB103,Introduction to Plant Biology,34453,Laboratory,ABE,01:00PM - 03:50PM,T,2082 Natural History Building,"Ming, R & Song, J"
6,IB103,Introduction to Plant Biology,34454,Laboratory,ABF,09:00AM - 11:50AM,W,2082 Natural History Building,"Ming, R & Zhang, X"
7,IB103,Introduction to Plant Biology,34456,Laboratory,ABG,09:00AM - 11:50AM,R,2082 Natural History Building,"Flores, M & Ming, R"
8,IB103,Introduction to Plant Biology,34457,Laboratory,ABH,01:00PM - 03:50PM,R,2082 Natural History Building,"Ming, R & Song, J"
9,IB103,Introduction to Plant Biology,34443,Lecture,AL3,03:00PM - 03:50PM,MWF,213 Gregory Hall,"Ming, R & Zhang, X"
10,IB108,The Biology of Dinosaurs,65714,Online Lecture,AL2,ARRANGED,n.a.,n.a.,"Manaster, J"
11,IB108,The Biology of Dinosaurs,70315,Online Discussion,BE1,02:00PM - 02:50PM,T,n.a.,"Karatgi, R & Manaster, J"
12,IB108,The Biology of Dinosaurs,70316,Online Discussion,BE2,06:00PM - 06:50PM,T,n.a.,"Karatgi, R & Manaster, J"
13,IB150,Organismal & Evolutionary Biol,63885,Discussion/ Recitation,AD9,03:00PM - 04:50PM,W,2083 Natural History Building,"Clegg, B & Sutton, N & Terrill, E"
14,IB150,Organismal & Evolutionary Biol,34566,Discussion/ Recitation,ADB,09:00AM - 09:50AM,W,3098 Natural History Building,"Clegg, B & Mleziva, A & Sutton, N"
15,IB150,Organismal & Evolutionary Biol,34568,Discussion/ Recitation,ADC,10:00AM - 10:50AM,W,3098 Natural History Building,"Clegg, B & Mleziva, A & Sutton, N"
16,IB150,Organismal & Evolutionary Biol,34569,Discussion/ Recitation,ADD,11:00AM - 11:50AM,W,3098 Natural History Building,"Clegg, B & Griesbaum, K & Sutton, N"
17,IB150,Organismal & Evolutionary Biol,34572,Discussion/ Recitation,ADE,12:00PM - 12:50PM,W,3098 Natural History Building,"Clegg, B & Griesbaum, K & Sutton, N"
18,IB150,Organismal & Evolutionary Biol,34574,Discussion/ Recitation,ADF,01:00PM - 01:50PM,W,3098 Natural History Building,"Clegg, B & Sutton, N & Turner, A"
19,IB150,Organismal & Evolutionary Biol,34576,Discussion/ Recitation,ADG,02:00PM - 02:50PM,W,3098 Natural History Building,"Clegg, B & Sutton, N & Turner, A"
20,IB150,Organismal & Evolutionary Biol,34577,Discussion/ Recitation,ADH,03:00PM - 03:50PM,W,3098 Natural History Building,"Clegg, B & Mleziva, A & Sutton, N"
21,IB150,Organismal & Evolutionary Biol,34607,Discussion/ Recitation,ADI,04:00PM - 04:50PM,W,3098 Natural History Building,"Clegg, B & Mleziva, A & Sutton, N"
22,IB150,Organismal & Evolutionary Biol,34585,Discussion/ Recitation,ADK,09:00AM - 09:50AM,R,3098 Natural History Building,"Clegg, B & Sutton, N & Wargin, A"
23,IB150,Organismal & Evolutionary Biol,34588,Discussion/ Recitation,ADL,10:00AM - 10:50AM,R,3098 Natural History Building,"Clegg, B & Sutton, N & Wargin, A"
24,IB150,Organismal & Evolutionary Biol,34590,Discussion/ Recitation,ADM,11:00AM - 11:50AM,R,3098 Natural History Building,"Clegg, B & Paul, R & Sutton, N"
25,IB150,Organismal & Evolutionary Biol,34592,Discussion/ Recitation,ADN,12:00PM - 12:50PM,R,3098 Natural History Building,"Clegg, B & Paul, R & Sutton, N"
26,IB150,Organismal & Evolutionary Biol,48177,Discussion/ Recitation,ADO,01:00PM - 01:50PM,R,3098 Natural History Building,"Clegg, B & Sutton, N & Turner, A"
27,IB150,Organismal & Evolutionary Biol,34598,Discussion/ Recitation,ADQ,02:00PM - 02:50PM,R,3098 Natural History Building,"Clegg, B & Sutton, N & Turner, A"
28,IB150,Organismal & Evolutionary Biol,34603,Discussion/ Recitation,ADS,09:00AM - 09:50AM,F,3098 Natural History Building,"Clegg, B & Sutton, N & Wargin, A"
29,IB150,Organismal & Evolutionary Biol,34605,Discussion/ Recitation,ADT,10:00AM - 10:50AM,F,3098 Natural History Building,"Clegg, B & Sutton, N & Wargin, A"
30,IB150,Organismal & Evolutionary Biol,34581,Discussion/ Recitation,ADU,11:00AM - 11:50AM,F,3098 Natural History Building,"Clegg, B & Paul, R & Sutton, N"
31,IB150,Organismal & Evolutionary Biol,34614,Discussion/ Recitation,AF1,01:00PM - 01:50PM,F,Location Pending,"Clegg, B & Griesbaum, K & Sutton, N"
32,IB150,Organismal & Evolutionary Biol,34610,Discussion/ Recitation,AF5,12:00PM - 12:50PM,F,2090 Natural History Building,"Clegg, B & Griesbaum, K & Sutton, N"
33,IB150,Organismal & Evolutionary Biol,34480,Online Lecture,AL1,ARRANGED,n.a.,n.a.,"Clegg, B & Sutton, N"
34,IB150,Organismal & Evolutionary Biol,65002,Lecture,BL1,11:00AM - 12:50PM,MWF,2020 Natural History Building,"Arias, L & Clegg, B & Strailey, K & Sutton, N"
35,IB150,Organismal & Evolutionary Biol,65617,Discussion/ Recitation,CD1,ARRANGED,n.a.,Location Pending,"Arias, L & Clegg, B & Strailey, K & Sutton, N"
36,IB150,Organismal & Evolutionary Biol,71737,Lecture,CL1,11:00AM - 12:50PM,MWF,2020 Natural History Building,"Arias, L & Clegg, B & Strailey, K & Sutton, N"
37,IB150,Organismal & Evolutionary Biol,71739,Lecture,CL2,11:00AM - 12:50PM,MWF,2020 Natural History Building,"Arias, L & Clegg, B & Strailey, K & Sutton, N"
38,IB151,Organismal & Evol Biol Lab,34627,Laboratory,A,03:00PM - 05:50PM,T,3100 Natural History Building,"Adaime, M & Clegg, B"
39,IB151,Organismal & Evol Biol Lab,34628,Laboratory,B,03:00PM - 05:50PM,R,3100 Natural History Building,"Arceneaux, M & Clegg, B"
40,IB151,Organismal & Evol Biol Lab,34630,Laboratory,D,09:00AM - 11:50AM,T,3100 Natural History Building,"Adaime, M & Clegg, B"
41,IB151,Organismal & Evol Biol Lab,34631,Laboratory,E,12:00PM - 02:50PM,T,3100 Natural History Building,"Clegg, B & Coburn, K"
42,IB151,Organismal & Evol Biol Lab,34632,Laboratory,H,09:00AM - 11:50AM,W,3100 Natural History Building,"Adaime, M & Clegg, B"
43,IB151,Organismal & Evol Biol Lab,49354,Laboratory,I,12:00PM - 02:50PM,W,3100 Natural History Building,"Chamberlain, M & Clegg, B"
44,IB151,Organismal & Evol Biol Lab,58482,Laboratory,J,03:00PM - 05:50PM,W,3100 Natural History Building,"Chamberlain, M & Clegg, B"
45,IB151,Organismal & Evol Biol Lab,58807,Laboratory,K,09:00AM - 11:50AM,R,3100 Natural History Building,"Chamberlain, M & Clegg, B"
46,IB151,Organismal & Evol Biol Lab,58808,Laboratory,L,12:00PM - 02:50PM,R,3100 Natural History Building,"Arceneaux, M & Clegg, B"
47,IB151,Organismal & Evol Biol Lab,34629,Laboratory,M,09:00AM - 11:50AM,F,3100 Natural History Building,"Arceneaux, M & Clegg, B"
48,IB199,Undergraduate Open Seminar,52937,Lecture,BIO,03:00PM - 03:50PM,R,3011 Natural History Building,"Caceres, C & Knox, T"
49,IB199,Undergraduate Open Seminar,40244,Discussion/ Recitation,MRT,ARRANGED,n.a.,Location Pending,"Arias, L & Clegg, B"
50,IB202,Physiology,34644,Laboratory,AB3,09:00AM - 11:50AM,T,3002 Natural History Building,"Arias, L & Dolezal, A & Hsieh, E & Morphew, N"
51,IB202,Physiology,34645,Laboratory,AB4,12:00PM - 02:50PM,T,3002 Natural History Building,"Arias, L & Dolezal, A & Morphew, N & Suresh, S"
52,IB202,Physiology,34646,Laboratory,AB5,03:00PM - 05:50PM,T,3002 Natural History Building,"Arias, L & Chiavini, B & Dolezal, A & Morphew, N"
53,IB202,Physiology,39250,Laboratory,AB7,09:00AM - 11:50AM,W,3002 Natural History Building,"Arias, L & Barley, T & Dolezal, A & Morphew, N"
54,IB202,Physiology,39251,Laboratory,AB8,02:00PM - 04:50PM,W,3002 Natural History Building,"Arias, L & Dolezal, A & Friedmann, C & Morphew, N"
55,IB202,Physiology,49356,Laboratory,ABA,09:00AM - 11:50AM,R,3002 Natural History Building,"Arias, L & Dolezal, A & Hsieh, E & Morphew, N"
56,IB202,Physiology,55944,Laboratory,ABB,12:00PM - 02:50PM,R,3002 Natural History Building,"Arias, L & Dolezal, A & Morphew, N & Suresh, S"
57,IB202,Physiology,34641,Lecture,AL1,01:00PM - 01:50PM,MWF,180 Bevier Hall,"Arias, L & Brockelsby, K & Dolezal, A"
58,IB202,Physiology,59272,Lecture,AL2,01:00PM - 01:50PM,MWF,180 Bevier Hall,"Arias, L & Brockelsby, K & Dolezal, A"
59,IB210,The Biology of Sex: From Molecules to Societies,71665,Online,AL1,ARRANGED,n.a.,n.a.,"Hauber, M"
60,IB271,Organismal Biology,45978,Laboratory,AB1,01:00PM - 04:50PM,W,4014 Natural History Building,"Chen, L & Cheng-De Vries, C & Dai, Q & Lakeram, S"
61,IB271,Organismal Biology,45977,Lecture,AL1,11:00AM - 11:50AM,MWF,4016 Natural History Building,"Chen, L & Cheng-De Vries, C"
62,IB292,Translating Your IB Degree Into Career Success,70223,Lecture-Discussion,A,04:00PM - 04:50PM,T,2083 Natural History Building,"Swanson, C"
63,IB299,Undergraduate Special Course,54957,Discussion/ Recitation,A,04:00PM - 05:50PM,W,2090 Natural History Building,"Arias, L & Brockelsby, K & Dolezal, A"
64,IB299,Undergraduate Special Course,59378,Lecture-Discussion,B,02:00PM - 04:50PM,MW,113 David Kinley Hall,"Ngumbi, E"
65,IB302,Evolution,48173,Laboratory,AB1,02:00PM - 04:50PM,M,3004 Natural History Building,"Cucalon Tamayo, R & Miller, D & Roseman, C"
66,IB302,Evolution,48174,Laboratory,AB2,09:00AM - 11:50AM,T,3004 Natural History Building,"Miller, D & Roseman, C & Surber, L"
67,IB302,Evolution,48411,Laboratory,AB3,12:00PM - 02:50PM,T,3004 Natural History Building,"Cucalon Tamayo, R & Miller, D & Roseman, C"
68,IB302,Evolution,48412,Laboratory,AB4,03:00PM - 05:50PM,T,3004 Natural History Building,"Miller, D & Roseman, C & Singh, S"
69,IB302,Evolution,48413,Laboratory,AB5,09:00AM - 11:50AM,W,3004 Natural History Building,"Madrigal, G & Miller, D & Roseman, C"
70,IB302,Evolution,48415,Laboratory,AB7,02:00PM - 04:50PM,W,3004 Natural History Building,"Madrigal, G & Miller, D & Roseman, C"
71,IB302,Evolution,51076,Laboratory,ABA,12:00PM - 02:50PM,R,3004 Natural History Building,"Miller, D & Roseman, C & Surber, L"
72,IB302,Evolution,51077,Laboratory,ABB,03:00PM - 05:50PM,R,3004 Natural History Building,"Miller, D & Roseman, C & Singh, S"
73,IB302,Evolution,48172,Lecture,AL1,12:00PM - 12:50PM,MWF,100 Materials Science & Eng Bld,"Miller, D & Rivera-Colon, A & Roseman, C"
74,IB329,Animal Behavior,56886,Lecture,A,03:00PM - 03:50PM,MWF,2079 Natural History Building,"Hardin, F & Suarez, A"
75,IB335,Plant Systematics,34652,Laboratory,AB2,01:00PM - 02:50PM,M,4072 Natural History Building,"Bush, D & Jones, L"
76,IB335,Plant Systematics,34653,Laboratory,AB3,03:00PM - 04:50PM,M,4072 Natural History Building,"Bush, D & Jones, L"
77,IB335,Plant Systematics,34650,Lecture,AL1,09:00AM - 09:50AM,MWF,2083 Natural History Building,"Bush, D"
78,IB361,Ecology and Human Health,55722,Lecture,A,12:30PM - 01:50PM,TR,100 Gregory Hall,"Allan, B & Chakraborty, S"
79,IB390,Undergraduate Research Experience,45125,Independent Study,,ARRANGED,n.a.,n.a.,
80,IB416,Population Genetics,61603,Lecture-Discussion,A,01:00PM - 01:50PM,MWF,107 Animal Sciences Laboratory,"Roca, A"
81,IB427,Insect Physiology,34660,Laboratory,AB1,09:00AM - 11:50AM,T,4072 Natural History Building,"Alleyne, M & Swanson, D"
82,IB427,Insect Physiology,34661,Lecture,AL1,02:00PM - 02:50PM,MWF,2083 Natural History Building,"Alleyne, M"
83,IB432,Genes and Behavior,43661,Lecture,AL1,08:00AM - 09:20AM,TR,2020 Natural History Building,"Dolezal, A & Taylor, L"
84,IB439,Biogeography,52941,Lecture-Discussion,A,09:30AM - 10:50AM,TR,2083 Natural History Building,"Punyasena, S"
85,IB440,Plants and Global Change,31543,Lecture-Discussion,A,11:00AM - 12:20PM,TR,2020B Natural History Building,"Ainsworth, E & Leakey, A"
86,IB442,Evolution of Infectious Disease,63777,Lecture,A,11:00AM - 12:20PM,TR,4039 Campus Instructional Facility,"Whitaker, R"
87,IB451,Conservation Biology,39290,Laboratory,AB2,12:00PM - 01:50PM,T,4004 Natural History Building,"Jones, C & Paige, K"
88,IB451,Conservation Biology,47482,Laboratory,AB3,12:00PM - 01:50PM,W,4004 Natural History Building,"Jones, C & Paige, K"
89,IB451,Conservation Biology,39288,Lecture,AL1,09:30AM - 10:50AM,TR,2020B Natural History Building,"Paige, K"
90,IB461,Ornithology,48737,Laboratory,AB1,08:00AM - 10:50AM,M,4072 Natural History Building,"Ward, M & Winnicki-Smith, S"
91,IB461,Ornithology,48738,Laboratory,AB2,08:00AM - 10:50AM,W,4072 Natural History Building,"Ward, M & Winnicki-Smith, S"
92,IB461,Ornithology,39285,Lecture,AL1,11:00AM - 11:50AM,MWF,2083 Natural History Building,"Ward, M"
93,IB476,Applied GIS to Environ Studies,70757,Lecture-Discussion,A,12:30PM - 01:50PM,TR,1020 Natural History Building,"Lara, M"
94,IB481,Vector-borne Diseases,34668,Laboratory,AB1,01:00PM - 03:50PM,W,4072 Natural History Building,"Noel, K & Stone, C & Tuten, H"
95,IB481,Vector-borne Diseases,34666,Lecture,AL1,12:00PM - 12:50PM,MWF,2083 Natural History Building,"Stone, C & Tuten, H"
96,IB484,Paleoclimatology,73160,Lecture-Discussion,A,02:00PM - 03:20PM,TR,2020B Natural History Building,"Conroy, J"
97,IB490,Independent Study,45126,Independent Study,,ARRANGED,n.a.,n.a.,
98,IB494,Theoretical Biology + Models,71666,Lecture-Discussion,A,02:00PM - 03:50PM,MF,2020B Natural History Building,"Jops, K & O'Dwyer, J"
99,IB496,Special Courses,48866,Lecture,A,10:00AM - 11:30AM,MW,3011 Natural History Building,"Ngumbi, E"
100,IB496,Special Courses,52237,Discussion/ Recitation,KH,ARRANGED,n.a.,Location Pending,"Heath, K"
101,IB502,Biological Networks,63884,Lecture-Discussion,A,12:30PM - 01:50PM,TR,2083 Natural History Building,"Brooks, M & Marshall-Colon, A"
102,IB505,Bioinformatics & Systems Biol,51368,Online Lecture Discussion,A,10:00AM - 11:50AM,MW,n.a.,"Caetano-Anolles, G"
103,IB513,Disc in Plant Physiology,34683,Seminar,G1,12:00PM - 12:50PM,W,W109 Turner Hall,"Burgess, S & Hudson, M"
104,IB513,Disc in Plant Physiology,40715,Seminar,G2,12:00PM - 12:50PM,W,W109 Turner Hall,"Burgess, S & Hudson, M"
