,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,IHLT102,Survey of Interdisc Health,58859,Lecture-Discussion,A,09:00AM - 09:50AM,MW,112 Huff Hall,"Rice, I & Starwalt, W"
1,IHLT232,Health Disparities in the U.S.,64236,Lecture-Discussion,A,10:00AM - 11:50AM,MW,1002 Huff Hall,"Frasca, E"
2,IHLT375,Interdis Collab in Health Serv,57489,Lecture,A,02:00PM - 03:20PM,MW,450 Freer Hall,"DiFilippo, K"
3,IHLT375,Interdis Collab in Health Serv,69184,Lecture,B,10:00AM - 11:20AM,MW,224 Freer Hall,"DiFilippo, K"
4,IHLT385,Experience in Interdisciplinary Health Research,71147,Independent Study,,ARRANGED,n.a.,n.a.,
5,IHLT391,Special Project-Problems,71148,Independent Study,,ARRANGED,n.a.,n.a.,
6,IHLT474,Pre-Field Experience in Health,65955,Lecture-Discussion,B,05:00PM - 05:50PM,M,209 Huff Hall,"Frasca, E"
7,IHLT474,Pre-Field Experience in Health,69185,Lecture-Discussion,C,11:00AM - 11:50AM,R,209 Huff Hall,"Frasca, E"
8,IHLT475,Field Experience in i-Health,59205,Lecture-Discussion,A,04:00PM - 04:50PM,M,209 Huff Hall,"Frasca, E"
9,IHLT475,Field Experience in i-Health,69188,Lecture-Discussion,B,11:00AM - 11:50AM,T,209 Huff Hall,"Frasca, E"
