,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,IS100,Exploring the iSchool with a Human-Centered Lens,71441,Lecture-Discussion,A,04:00PM - 04:50PM,W,126 Grad Sch of Lib & Info Science,"Newell, M & Torres, T"
1,IS100,Exploring the iSchool with a Human-Centered Lens,72103,Online,ONB,ARRANGED,n.a.,n.a.,"Newell, M & Torres, T"
2,IS101,Introduction to Information Sciences,72315,Discussion/ Recitation,AD1,11:00AM - 11:50AM,R,430 Armory,"Pintar, J"
3,IS101,Introduction to Information Sciences,72316,Discussion/ Recitation,AD2,12:00PM - 12:50PM,R,430 Armory,"Pintar, J"
4,IS101,Introduction to Information Sciences,72317,Discussion/ Recitation,AD3,01:00PM - 01:50PM,R,430 Armory,"Pintar, J"
5,IS101,Introduction to Information Sciences,72318,Discussion/ Recitation,AD4,01:00PM - 01:50PM,R,137 Armory,"Pintar, J"
6,IS101,Introduction to Information Sciences,72324,Discussion/ Recitation,AD5,02:00PM - 02:50PM,R,430 Armory,"Pintar, J"
7,IS101,Introduction to Information Sciences,72325,Discussion/ Recitation,AD6,03:00PM - 03:50PM,R,430 Armory,"Pintar, J"
8,IS101,Introduction to Information Sciences,71465,Online Lecture,AL,12:30PM - 01:50PM,T,n.a.,"Pintar, J"
9,IS107,Data Science Discovery,70644,Lecture,AL1,12:00PM - 12:50PM,MWF,100 Noyes Laboratory,"Fagen-Ulmschneider, W & Flanagan, K"
10,IS107,Data Science Discovery,70645,Laboratory-Discussion,AYA,09:30AM - 10:50AM,W,2078 Natural History Building,
11,IS107,Data Science Discovery,70648,Laboratory-Discussion,AYB,02:00PM - 03:20PM,W,1035 Campus Instructional Facility,
12,IS107,Data Science Discovery,70649,Laboratory-Discussion,AYC,03:30PM - 04:50PM,W,1035 Campus Instructional Facility,
13,IS107,Data Science Discovery,70650,Laboratory-Discussion,AYD,09:30AM - 10:50AM,R,1038 Campus Instructional Facility,
14,IS107,Data Science Discovery,70651,Laboratory-Discussion,AYE,11:00AM - 12:20PM,R,1038 Campus Instructional Facility,
15,IS107,Data Science Discovery,70652,Laboratory-Discussion,AYF,12:30PM - 01:50PM,R,1038 Campus Instructional Facility,
16,IS107,Data Science Discovery,70653,Laboratory-Discussion,AYG,02:00PM - 03:20PM,R,1038 Campus Instructional Facility,
17,IS107,Data Science Discovery,70654,Laboratory-Discussion,AYH,03:30PM - 04:50PM,R,1038 Campus Instructional Facility,
18,IS107,Data Science Discovery,70656,Laboratory-Discussion,AYI,05:00PM - 06:20PM,R,1038 Campus Instructional Facility,
19,IS107,Data Science Discovery,70646,Laboratory-Discussion,AYJ,09:30AM - 10:50AM,F,1038 Campus Instructional Facility,
20,IS107,Data Science Discovery,70647,Laboratory-Discussion,AYK,01:00PM - 02:20PM,F,2078 Natural History Building,
21,IS107,Data Science Discovery,70655,Laboratory-Discussion,AYL,02:30PM - 03:50PM,F,1035 Campus Instructional Facility,
22,IS189,Independent Study,73763,Independent Study,,ARRANGED,n.a.,n.a.,
23,IS199,Undergraduate Open Seminar,72332,Lecture-Discussion,EE1,11:00AM - 11:50AM,R,126 Grad Sch of Lib & Info Science,"Hodson, R & Newell, M & Torres, T"
24,IS199,Undergraduate Open Seminar,72333,Lecture-Discussion,EE2,04:00PM - 04:50PM,W,126 Grad Sch of Lib & Info Science,"Hodson, R & Newell, M & Torres, T"
25,IS199,Undergraduate Open Seminar,72888,Lecture-Discussion,IMC,04:00PM - 05:20PM,TR,46 Grad Sch of Lib & Info Science,"Saebeler, D"
26,IS199,Undergraduate Open Seminar,72337,Lecture-Discussion,SHG,11:00AM - 12:20PM,TR,1002 Siebel Center for Design,"Dubin, D"
27,IS202,Social Aspects Info Tech,66607,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,29 Psychology Building,"Darch, P & Kendall, L & Lundy, M"
28,IS202,Social Aspects Info Tech,66608,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,29 Psychology Building,"Darch, P & Kendall, L & Lundy, M"
29,IS202,Social Aspects Info Tech,66610,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,29 Psychology Building,"Darch, P & Grisales Bohorquez, C & Kendall, L"
30,IS202,Social Aspects Info Tech,66611,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,29 Psychology Building,"Darch, P & Grisales Bohorquez, C & Kendall, L"
31,IS202,Social Aspects Info Tech,66606,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,29 Psychology Building,"Darch, P & Kendall, L & Maimone, J"
32,IS202,Social Aspects Info Tech,66609,Discussion/ Recitation,AD6,02:00PM - 02:50PM,F,29 Psychology Building,"Darch, P & Kendall, L & Maimone, J"
33,IS202,Social Aspects Info Tech,66612,Online,AE1,11:00AM - 11:50AM,MW,n.a.,"Darch, P & Kendall, L"
34,IS203,Analytical Foundations for Information Problems,71434,Lecture-Discussion,A,06:00PM - 07:20PM,MW,126 Grad Sch of Lib & Info Science,"Nunez-Corrales, S"
35,IS203,Analytical Foundations for Information Problems,72351,Online,OA,03:30PM - 04:50PM,TR,n.a.,"Schneider, J"
36,IS204,Research Design for Information Sciences,72353,Lecture-Discussion,A,11:00AM - 12:20PM,TR,110 Speech & Hearing Science Bldg,"Besser, S"
37,IS204,Research Design for Information Sciences,72354,Lecture-Discussion,B,11:00AM - 12:20PM,MW,29 Psychology Building,"Besser, S"
38,IS204,Research Design for Information Sciences,71436,Online,OA,02:00PM - 03:20PM,TR,n.a.,"Magee, R"
39,IS204,Research Design for Information Sciences,73210,Online,OAJ,02:00PM - 03:20PM,TR,n.a.,"Magee, R"
40,IS204,Research Design for Information Sciences,72363,Online,OB,01:00PM - 02:55PM,M,n.a.,"LaRue, E"
41,IS205,Programming for Information Problems,71437,Lecture-Discussion,A,09:30AM - 10:50AM,TR,131 Grad Sch of Lib & Info Science,"Wickes, E"
42,IS205,Programming for Information Problems,72358,Online,OA,09:30AM - 10:50AM,TR,n.a.,"Wickes, E"
43,IS206,Introduction to Database Concepts & Applications,72364,Laboratory,AB1,10:00AM - 10:50AM,F,110 Speech & Hearing Science Bldg,"Evans, C"
44,IS206,Introduction to Database Concepts & Applications,72366,Laboratory,AB2,01:00PM - 01:50PM,F,110 Speech & Hearing Science Bldg,"Evans, C"
45,IS206,Introduction to Database Concepts & Applications,72367,Laboratory,AB4,03:00PM - 03:50PM,F,110 Speech & Hearing Science Bldg,"Evans, C"
46,IS206,Introduction to Database Concepts & Applications,70945,Online Lecture,AL,01:00PM - 01:50PM,MW,n.a.,"Evans, C"
47,IS226,Introduction to HCI,71439,Lecture-Discussion,A,09:30AM - 10:50AM,TR,131 English Building,"Huang, Y"
