,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ITAL101,Elementary Italian I,56815,Lecture-Discussion,C2,10:00AM - 10:50AM,MTWR,138 Wohlers Hall,"Hill, L & Palmieri, S & Theodoropoulos, A"
1,ITAL101,Elementary Italian I,34694,Lecture-Discussion,D1,11:00AM - 11:50AM,MTWR,138 Wohlers Hall,"Hill, L & Palmieri, S"
2,ITAL101,Elementary Italian I,46384,Lecture-Discussion,F1,01:00PM - 01:50PM,MTWR,138 Wohlers Hall,"Cipolla, S & Hill, L"
3,ITAL102,Elementary Italian II,34703,Online,C2,10:00AM - 10:50AM,MTWR,n.a.,"Contreras, A & Hill, L"
4,ITAL102,Elementary Italian II,64363,Lecture-Discussion,D,11:00AM - 11:50AM,MTWR,236 Wohlers Hall,"Hill, L & Theodoropoulos, A"
5,ITAL102,Elementary Italian II,34709,Lecture-Discussion,E2,01:00PM - 01:50PM,MTWR,236 Wohlers Hall,"Hill, L & Stuardi, M"
6,ITAL102,Elementary Italian II,34708,Online,H,07:00PM - 08:50PM,MW,n.a.,"Contreras, A & Hill, L"
7,ITAL103,Intermediate Italian I,34712,Lecture-Discussion,E,01:00PM - 01:50PM,MTWR,169 Davenport Hall,"Hill, L"
8,ITAL103,Intermediate Italian I,34713,Lecture-Discussion,G,02:00PM - 02:50PM,MTWR,312 Davenport Hall,"Ferrari, F & Hill, L"
9,ITAL104,Intermediate Italian II,34716,Lecture-Discussion,D,02:00PM - 02:50PM,MTWR,169 Davenport Hall,"Hill, L"
10,ITAL199,Undergraduate Open Seminar,10459,Independent Study,,ARRANGED,n.a.,n.a.,
11,ITAL220,"Contemporary Italian, Oral and Written",34718,Lecture-Discussion,D,12:00PM - 01:20PM,MW,1112 Foreign Languages Building,"Derhemi, E"
12,ITAL390,Spec Topics Italian Studies,10461,Independent Study,,ARRANGED,n.a.,n.a.,
13,ITAL415,Europe and the Mediterranean,60693,Online Lecture Discussion,G,03:30PM - 04:50PM,TR,n.a.,"Rota, E"
14,ITAL415,Europe and the Mediterranean,60692,Online Lecture Discussion,UG,03:30PM - 04:50PM,TR,n.a.,"Rota, E"
15,ITAL435,Introduction to Romance Linguistics,64881,Lecture-Discussion,G4,12:00PM - 12:50PM,MWF,G20 Foreign Languages Building,"Hualde, J"
16,ITAL435,Introduction to Romance Linguistics,58568,Lecture-Discussion,U3,12:00PM - 12:50PM,MWF,G20 Foreign Languages Building,"Hualde, J"
17,ITAL460,Principles of Language Testing,32941,Lecture-Discussion,G4,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
18,ITAL460,Principles of Language Testing,32940,Lecture-Discussion,U3,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
19,ITAL489,Theoretical Foundations of SLA,32968,Lecture-Discussion,G4,01:00PM - 01:50PM,MWF,G18 Foreign Languages Building,"Pierce, L"
20,ITAL489,Theoretical Foundations of SLA,32966,Lecture-Discussion,U3,01:00PM - 01:50PM,MWF,G18 Foreign Languages Building,"Pierce, L"
21,ITAL491,Honors Senior Thesis,52951,Independent Study,,ARRANGED,n.a.,n.a.,
22,ITAL559,Sem Romance Ling,41592,Lecture-Discussion,A,03:00PM - 04:50PM,R,336 Davenport Hall,"Fagyal, Z"
23,ITAL588,Sem Second Lang Learn,57107,Lecture-Discussion,SM,02:00PM - 04:50PM,M,1024 Foreign Languages Building,"Montrul, S"
24,ITAL588,Sem Second Lang Learn,57511,Lecture-Discussion,XY,02:00PM - 03:20PM,TR,G8A Foreign Languages Building,"Yan, X"
25,ITAL595,Spec Topics in Italian,10463,Independent Study,,ARRANGED,n.a.,n.a.,
26,ITAL599,Thesis Research,10466,Independent Study,,ARRANGED,n.a.,n.a.,
