,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,JAPN202,Elementary Japanese II,34732,Lecture-Discussion,B,09:00AM - 09:50AM,MTWRF,G48 Foreign Languages Building,"Hasan, M & Nozaki, C"
1,JAPN202,Elementary Japanese II,34735,Lecture-Discussion,C,10:00AM - 10:50AM,MTWRF,G48 Foreign Languages Building,"Huo, M & Nozaki, C"
2,JAPN202,Elementary Japanese II,34736,Lecture-Discussion,D,11:00AM - 11:50AM,MTWRF,G48 Foreign Languages Building,"Herendeen, S & Nozaki, C"
3,JAPN202,Elementary Japanese II,34739,Lecture-Discussion,X,12:00PM - 12:50PM,MTWRF,G48 Foreign Languages Building,"Nozaki, C & Palma, K"
4,JAPN204,Intermediate Japanese II,46969,Lecture-Discussion,B,09:00AM - 09:50AM,MTWRF,G46 Foreign Languages Building,"Nozaki, C"
5,JAPN204,Intermediate Japanese II,34744,Lecture-Discussion,D,10:00AM - 10:50AM,MTWRF,G46 Foreign Languages Building,"Nozaki, C"
6,JAPN306,Advanced Japanese II,34750,Lecture-Discussion,X,12:00PM - 12:50PM,MTWRF,G46 Foreign Languages Building,"Nagata, T & Sadler, M"
7,JAPN408,Readings in Classical Japanese,70585,Lecture-Discussion,GP,04:00PM - 05:20PM,MW,1048 Foreign Languages Building,"Persiani, G"
8,JAPN441,Fourth Year Japanese II,38946,Lecture-Discussion,C,09:00AM - 10:20AM,TR,1020 Lincoln Hall,"Sadler, M & Wakabayashi, T"
9,JAPN441,Fourth Year Japanese II,41671,Lecture-Discussion,CG,09:00AM - 10:20AM,TR,1020 Lincoln Hall,"Sadler, M & Wakabayashi, T"
10,JAPN499,Study Abroad,34757,Conference,A,ARRANGED,n.a.,Location Pending,"Muramoto, K"
