,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,JOUR199,Undergraduate Open Seminar,51333,Lecture-Discussion,SSM,11:00AM - 12:20PM,MW,212 1205 W Oregon,"Usher, N"
1,JOUR200,Introduction to Journalism,65581,Online,A2,ARRANGED,n.a.,n.a.,"Ng, Y"
2,JOUR205,History of American Journalism,61558,Lecture-Discussion,2,11:00AM - 12:20PM,TR,223 Gregory Hall,"Heuman, J"
3,JOUR210,Newsgathering Across Platforms,61565,Laboratory,AB1,09:00AM - 10:50AM,TR,3 Gregory Hall,"Wood, A"
4,JOUR210,Newsgathering Across Platforms,61567,Laboratory,AB3,09:00AM - 10:50AM,MW,3 Gregory Hall,"Holden, B"
5,JOUR215,Multimedia Reporting,61605,Laboratory,AB2,10:00AM - 12:50PM,W,13 Gregory Hall,"Johnson, B"
6,JOUR215,Multimedia Reporting,61602,Lecture,AL1,10:00AM - 11:20AM,F,215 Gregory Hall,"Johnson, B"
7,JOUR215,Multimedia Reporting,73344,Laboratory,BB1,03:00PM - 05:50PM,T,13 Gregory Hall,"Ledford, S"
8,JOUR215,Multimedia Reporting,73345,Laboratory,BB2,03:00PM - 05:50PM,W,13 Gregory Hall,"Ledford, S"
9,JOUR215,Multimedia Reporting,67596,Lecture,BL1,03:00PM - 03:50PM,M,13 Gregory Hall,"Ledford, S"
10,JOUR217,Content Producing for UI7,72067,Laboratory,AB1,07:00PM - 09:50PM,T,109 Richmond Studio,"Erdey, K"
11,JOUR217,Content Producing for UI7,72069,Laboratory,AB2,09:00AM - 11:50AM,F,109 Richmond Studio,"Erdey, K"
12,JOUR217,Content Producing for UI7,71402,Lecture,AL1,09:00AM - 11:50AM,M,109 Richmond Studio,"Erdey, K"
13,JOUR220,News Editing,67467,Laboratory,AB2,09:00AM - 10:50AM,TR,0036 Campus Instructional Facility,"Lombardi, C"
14,JOUR220,News Editing,67409,Online,AN1,ARRANGED,n.a.,n.a.,"Lombardi, C"
15,JOUR250,Journalism Ethics & Diversity,51007,Lecture-Discussion,A,02:00PM - 03:20PM,MW,3018 Campus Instructional Facility,"Usher, N"
16,JOUR280,Specialized Skills and Practices,71967,Laboratory,IPM,05:00PM - 06:20PM,M,109 Richmond Studio,"Evans, C"
17,JOUR293,Digital Photography for Everyone,69102,Lecture-Discussion,A,02:00PM - 03:50PM,W,123 David Kinley Hall,"Johnson, B"
18,JOUR311,Media Law,61556,Lecture-Discussion,1,11:00AM - 12:20PM,MW,160 English Building,"Holden, B"
19,JOUR315,Adv Public Affairs Reporting,61580,Laboratory,AB2,10:00AM - 11:50AM,F,336 Gregory Hall,"Dash, L"
20,JOUR315,Adv Public Affairs Reporting,61578,Lecture,AL1,11:00AM - 11:50AM,W,336 Gregory Hall,"Dash, L"
21,JOUR317,On-Camera Performance for UI7,72070,Laboratory,AB1,07:00PM - 09:50PM,T,109 Richmond Studio,"Erdey, K"
22,JOUR317,On-Camera Performance for UI7,72071,Laboratory,AB2,09:00AM - 11:50AM,F,109 Richmond Studio,"Erdey, K"
23,JOUR317,On-Camera Performance for UI7,71403,Lecture,AL1,02:00PM - 03:50PM,W,109 Richmond Studio,"Erdey, K"
24,JOUR335,Audio Journalism,61586,Laboratory,AB1,01:00PM - 02:50PM,MW,13 Gregory Hall,"Ledford, S"
25,JOUR335,Audio Journalism,61587,Laboratory,AB2,11:00AM - 12:50PM,TR,13 Gregory Hall,"Evans, C"
26,JOUR340,Video Reporting & Storytelling,61589,Laboratory,AB2,01:00PM - 03:50PM,MW,103 Richmond Studio,"Wood, A"
27,JOUR360,Working with the Press,71971,Lecture,A,02:00PM - 03:20PM,TR,223 Gregory Hall,"Warren, S"
28,JOUR361,Classics of Sports Journalism,64996,Lecture-Discussion,A,12:30PM - 01:50PM,TR,217 Gregory Hall,"Warren, S"
29,JOUR400,Newsroom Experience,71965,Laboratory,CU,ARRANGED,n.a.,Location Pending,"Houston, B"
30,JOUR400,Newsroom Experience,71966,Laboratory,IPM,05:00PM - 06:20PM,M,109 Richmond Studio,"Evans, C"
31,JOUR417,Producing for UI7 Programming,71973,Laboratory,AB1,07:00PM - 09:50PM,T,109 Richmond Studio,"Erdey, K"
32,JOUR417,Producing for UI7 Programming,71974,Laboratory,AB2,09:00AM - 11:50AM,F,109 Richmond Studio,"Erdey, K"
33,JOUR417,Producing for UI7 Programming,71404,Lecture,AL1,02:00PM - 03:50PM,T,109 Richmond Studio,"Erdey, K"
34,JOUR425,Multimedia Editing and Design,69197,Laboratory,AU1,09:00AM - 10:50AM,R,13 Gregory Hall,"Ng, Y"
35,JOUR430,Augmented and Virtual Reality,71963,Laboratory-Discussion,A,11:00AM - 12:20PM,TR,ARR Grainger Engineering Library,"Ball, C"
36,JOUR440,Advanced Documentary Storytelling & Production,71964,Laboratory-Discussion,A,01:00PM - 02:50PM,TR,13 Gregory Hall,"Wood, A"
37,JOUR445,Video Storytelling 2-Producing,34906,Laboratory,AB2,09:30AM - 12:20PM,R,103 Richmond Studio,"Erdey, K"
38,JOUR445,Video Storytelling 2-Producing,34910,Lecture,AL1,09:30AM - 12:20PM,T,103 Richmond Studio,"Erdey, K"
39,JOUR451,Research Methods in Journalism,45976,Lecture-Discussion,A,03:30PM - 04:50PM,TR,132 Davenport Hall,"Ball, C"
40,JOUR452,Great Books of Journalism,61563,Lecture-Discussion,A,05:00PM - 07:50PM,W,336 Gregory Hall,"Dash, L"
41,JOUR460,Special Topics,10470,Independent Study,,ARRANGED,n.a.,n.a.,
42,JOUR480,Advanced Reporting Topics,10471,Independent Study,,ARRANGED,n.a.,n.a.,
43,JOUR483,Investigative Journalism,61561,Lecture-Discussion,1,04:00PM - 05:50PM,MW,123 Gregory Hall,"Houston, B"
44,JOUR490,Professional Project,66155,Lecture-Discussion,EM,ARRANGED,n.a.,Location Pending,
45,JOUR494,Navigating the Job Market,71972,Laboratory,A,05:00PM - 05:50PM,M,317 Gregory Hall,"King, C"
46,JOUR495,Internship Seminar,34831,Online,1,ARRANGED,n.a.,n.a.,"Wood, A"
47,JOUR495,Internship Seminar,49778,Online,2,ARRANGED,n.a.,n.a.,"Wood, A"
48,JOUR495,Internship Seminar,73778,Internship,EF,ARRANGED,n.a.,Location Pending,"Phillips, M"
49,JOUR500,Current Issues in Journalism,39007,Lecture-Discussion,1,10:00AM - 11:50AM,M,336 Gregory Hall,"Houston, B"
50,JOUR515,Master's Project,10472,Independent Study,,ARRANGED,n.a.,n.a.,
51,JOUR590,Advanced Topics in Journalism,54686,Independent Study,,ARRANGED,n.a.,n.a.,
