,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,KIN100,Development Activities,34963,Online Lab,A1,08:00AM - 08:50AM,MW,n.a.,"Choi, S"
1,KIN100,Development Activities,34967,Online Lab,A2,08:00AM - 08:50AM,TR,n.a.,"Choi, S"
2,KIN100,Development Activities,34970,Online Lab,A3,01:00PM - 01:50PM,MW,n.a.,"Skorin, N"
3,KIN100,Development Activities,71637,Laboratory,B1,11:00AM - 12:20PM,TR,ARR Freer Hall,"North, J"
4,KIN100,Development Activities,73574,Laboratory,B2,02:00PM - 03:20PM,MW,Location Pending,"Guzman, J"
5,KIN100,Development Activities,71638,Laboratory,B7,11:00AM - 12:20PM,TR,ARR Freer Hall,"North, J"
6,KIN100,Development Activities,73571,Laboratory,B8,02:00PM - 03:20PM,TR,Location Pending,"Miller, K"
7,KIN100,Development Activities,73572,Laboratory,B9,02:00PM - 03:20PM,MW,Location Pending,"Guzman, J"
8,KIN100,Development Activities,34976,Laboratory,C10,03:00PM - 03:50PM,MW,38B FAR - Food Service Building,"Kim, J"
9,KIN100,Development Activities,34981,Laboratory,C11,06:00PM - 06:50PM,MW,38B FAR - Food Service Building,"Kinder, C"
10,KIN101,Dance Activities,34985,Laboratory,Z1F,04:00PM - 04:50PM,TR,19 FAR - Food Service Building,"Smith, N"
11,KIN101,Dance Activities,34988,Laboratory,Z1U,04:00PM - 04:50PM,MW,19 FAR - Food Service Building,"Smith, N"
12,KIN102,Individual and Dual Activities,34996,Laboratory,E1,02:00PM - 02:50PM,MW,60 Illini Union,"Barnes, T"
13,KIN102,Individual and Dual Activities,34999,Laboratory,E2,03:00PM - 04:20PM,MW,60 Illini Union,"Morgan, A"
14,KIN102,Individual and Dual Activities,35002,Laboratory,E3,03:00PM - 04:20PM,MW,60 Illini Union,"Morgan, A"
15,KIN103,Indoor Court Activities,73552,Laboratory,A1,02:00PM - 02:50PM,MW,GYM3 Activities & Recreation Center,"Skorin, N"
16,KIN103,Indoor Court Activities,73553,Laboratory,B1,11:00AM - 11:50AM,MW,GYM3 Activities & Recreation Center,"Miller, K"
17,KIN103,Indoor Court Activities,35006,Laboratory,C1,02:00PM - 02:50PM,TR,GYM3 Activities & Recreation Center,"Kim, Y"
18,KIN103,Indoor Court Activities,64972,Laboratory,D1,01:00PM - 01:50PM,TR,GYM3 Activities & Recreation Center,"Kim, Y"
19,KIN104,Skating Activities,35008,Laboratory,A1,02:30PM - 03:50PM,TR,111 Ice Arena,"Clarke, C"
20,KIN104,Skating Activities,35036,Laboratory,A10,01:00PM - 02:20PM,TR,111 Ice Arena,"Clarke, C"
21,KIN104,Skating Activities,49837,Laboratory,A11,02:00PM - 02:50PM,MWF,111 Ice Arena,"Clarke, C"
22,KIN104,Skating Activities,60712,Laboratory,A12,01:00PM - 02:20PM,TR,111 Ice Arena,"Clarke, C"
23,KIN104,Skating Activities,64439,Laboratory,A18,09:00AM - 09:50AM,MWF,111 Ice Arena,"Clarke, C"
24,KIN104,Skating Activities,64440,Laboratory,A19,10:00AM - 10:50AM,MWF,111 Ice Arena,"Clarke, C"
25,KIN104,Skating Activities,35011,Laboratory,A2,01:00PM - 01:50PM,MWF,111 Ice Arena,"Clarke, C"
26,KIN104,Skating Activities,35015,Laboratory,A3,02:00PM - 02:50PM,MWF,111 Ice Arena,"Clarke, C"
27,KIN104,Skating Activities,35017,Laboratory,A4,09:30AM - 10:50AM,TR,111 Ice Arena,"Clarke, C"
28,KIN104,Skating Activities,52221,Laboratory,A5,02:30PM - 03:50PM,TR,111 Ice Arena,"Clarke, C"
29,KIN104,Skating Activities,35023,Laboratory,A6,09:30AM - 10:50AM,MW,111 Ice Arena,"Clarke, C"
30,KIN104,Skating Activities,35028,Laboratory,A8,01:00PM - 01:50PM,MWF,111 Ice Arena,"Clarke, C"
31,KIN104,Skating Activities,35034,Laboratory,A9,09:30AM - 10:50AM,TR,111 Ice Arena,"Clarke, C"
32,KIN107,Aquatic Sport Activities,35046,Laboratory,Z2A,12:30PM - 01:50PM,TR,INDR POOL Activities & Recreation Center,"Smith, N"
33,KIN107,Aquatic Sport Activities,35050,Laboratory,Z2B,12:30PM - 01:50PM,TR,INDR POOL Activities & Recreation Center,"Smith, N"
34,KIN109,Team Sport Activities,35053,Laboratory,A1,09:00AM - 09:50AM,TR,GYM1 Activities & Recreation Center,"Miller, K"
35,KIN109,Team Sport Activities,49391,Laboratory,B1,10:00AM - 10:50AM,TR,GYM1 Activities & Recreation Center,"Skorin, N"
