,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,LAS102,Transfer Advantage,65913,Lecture-Discussion,001,03:30PM - 04:50PM,T,313 Davenport Hall,"Akinrinola, A & Kiran, S & Vargas, M"
1,LAS102,Transfer Advantage,65914,Lecture-Discussion,002,03:00PM - 04:20PM,W,1057 Lincoln Hall,"Akinrinola, A & Kiran, S & Umardeen, Z"
2,LAS199,Undergraduate Open Seminar,35360,Online Lecture,AL1,ARRANGED,n.a.,n.a.,"Abney, K"
3,LAS199,Undergraduate Open Seminar,41167,Lecture-Discussion,S,04:00PM - 05:50PM,R,1000 Siebel Center for Design,"Brown, N"
4,LAS291,Global Perspectives for Intercultural Learning,66426,Online,SAA,ARRANGED,n.a.,n.a.,"Abney, K"
5,LAS291,Global Perspectives for Intercultural Learning,66427,Online,SAB,ARRANGED,n.a.,n.a.,"Abney, K"
6,LAS291,Global Perspectives for Intercultural Learning,66428,Online,SAC,ARRANGED,n.a.,n.a.,"Abney, K"
7,LAS291,Global Perspectives for Intercultural Learning,66429,Online,SAD,ARRANGED,n.a.,n.a.,"Abney, K"
8,LAS291,Global Perspectives for Intercultural Learning,66430,Online,SAE,ARRANGED,n.a.,n.a.,"Abney, K"
9,LAS291,Global Perspectives for Intercultural Learning,66431,Online,SAF,ARRANGED,n.a.,n.a.,"Abney, K"
10,LAS291,Global Perspectives for Intercultural Learning,66432,Online,SAG,ARRANGED,n.a.,n.a.,"Abney, K"
11,LAS291,Global Perspectives for Intercultural Learning,66433,Online,SAH,ARRANGED,n.a.,n.a.,"Abney, K"
12,LAS291,Global Perspectives for Intercultural Learning,66434,Online,SAI,ARRANGED,n.a.,n.a.,"Abney, K"
13,LAS291,Global Perspectives for Intercultural Learning,66435,Online,SAJ,ARRANGED,n.a.,n.a.,"Abney, K"
14,LAS291,Global Perspectives for Intercultural Learning,66438,Online,SAK,ARRANGED,n.a.,n.a.,"Abney, K"
15,LAS291,Global Perspectives for Intercultural Learning,66439,Online,SAL,ARRANGED,n.a.,n.a.,"Abney, K"
16,LAS291,Global Perspectives for Intercultural Learning,66440,Online,SAM,ARRANGED,n.a.,n.a.,"Abney, K"
17,LAS291,Global Perspectives for Intercultural Learning,66441,Online,SAN,ARRANGED,n.a.,n.a.,"Abney, K"
18,LAS291,Global Perspectives for Intercultural Learning,66442,Online,SAO,ARRANGED,n.a.,n.a.,"Abney, K"
19,LAS291,Global Perspectives for Intercultural Learning,66443,Online,SAP,ARRANGED,n.a.,n.a.,"Abney, K"
20,LAS291,Global Perspectives for Intercultural Learning,66444,Online,SAQ,ARRANGED,n.a.,n.a.,"Abney, K"
21,LAS291,Global Perspectives for Intercultural Learning,66445,Online,SAR,ARRANGED,n.a.,n.a.,"Abney, K"
22,LAS291,Global Perspectives for Intercultural Learning,66446,Online,SAS,ARRANGED,n.a.,n.a.,"Abney, K"
23,LAS291,Global Perspectives for Intercultural Learning,66447,Online,SAT,ARRANGED,n.a.,n.a.,"Abney, K"
24,LAS291,Global Perspectives for Intercultural Learning,66448,Online,SAU,ARRANGED,n.a.,n.a.,"Abney, K"
25,LAS291,Global Perspectives for Intercultural Learning,66449,Online,SAV,ARRANGED,n.a.,n.a.,"Abney, K"
26,LAS291,Global Perspectives for Intercultural Learning,66450,Online,SAW,ARRANGED,n.a.,n.a.,"Abney, K"
27,LAS291,Global Perspectives for Intercultural Learning,66451,Online,SAX,ARRANGED,n.a.,n.a.,"Abney, K"
28,LAS291,Global Perspectives for Intercultural Learning,66452,Online,SAY,ARRANGED,n.a.,n.a.,"Abney, K"
29,LAS291,Global Perspectives for Intercultural Learning,66453,Online,SAZ,ARRANGED,n.a.,n.a.,"Abney, K"
30,LAS292,Global Perspectives in Cross-Cultural Contexts,67088,Online,SAA,ARRANGED,n.a.,n.a.,"Abney, K"
31,LAS292,Global Perspectives in Cross-Cultural Contexts,67089,Online,SAB,ARRANGED,n.a.,n.a.,"Abney, K"
32,LAS292,Global Perspectives in Cross-Cultural Contexts,67090,Online,SAC,ARRANGED,n.a.,n.a.,"Abney, K"
33,LAS292,Global Perspectives in Cross-Cultural Contexts,67091,Online,SAD,ARRANGED,n.a.,n.a.,"Abney, K"
34,LAS292,Global Perspectives in Cross-Cultural Contexts,67092,Online,SAE,ARRANGED,n.a.,n.a.,"Abney, K"
35,LAS292,Global Perspectives in Cross-Cultural Contexts,67093,Online,SAF,ARRANGED,n.a.,n.a.,"Abney, K"
36,LAS292,Global Perspectives in Cross-Cultural Contexts,67094,Online,SAG,ARRANGED,n.a.,n.a.,"Abney, K"
37,LAS292,Global Perspectives in Cross-Cultural Contexts,67095,Online,SAH,ARRANGED,n.a.,n.a.,"Abney, K"
38,LAS292,Global Perspectives in Cross-Cultural Contexts,67096,Online,SAI,ARRANGED,n.a.,n.a.,"Abney, K"
39,LAS292,Global Perspectives in Cross-Cultural Contexts,67097,Online,SAJ,ARRANGED,n.a.,n.a.,"Abney, K"
40,LAS292,Global Perspectives in Cross-Cultural Contexts,67098,Online,SAK,ARRANGED,n.a.,n.a.,"Abney, K"
41,LAS292,Global Perspectives in Cross-Cultural Contexts,67099,Online,SAL,ARRANGED,n.a.,n.a.,"Abney, K"
42,LAS292,Global Perspectives in Cross-Cultural Contexts,67100,Online,SAM,ARRANGED,n.a.,n.a.,"Abney, K"
43,LAS292,Global Perspectives in Cross-Cultural Contexts,67101,Online,SAN,ARRANGED,n.a.,n.a.,"Abney, K"
44,LAS292,Global Perspectives in Cross-Cultural Contexts,67102,Online,SAO,ARRANGED,n.a.,n.a.,"Abney, K"
45,LAS292,Global Perspectives in Cross-Cultural Contexts,67103,Online,SAP,ARRANGED,n.a.,n.a.,"Abney, K"
46,LAS292,Global Perspectives in Cross-Cultural Contexts,67104,Online,SAQ,ARRANGED,n.a.,n.a.,"Abney, K"
47,LAS292,Global Perspectives in Cross-Cultural Contexts,67105,Online,SAR,ARRANGED,n.a.,n.a.,"Abney, K"
48,LAS292,Global Perspectives in Cross-Cultural Contexts,67106,Online,SAS,ARRANGED,n.a.,n.a.,"Abney, K"
49,LAS292,Global Perspectives in Cross-Cultural Contexts,67107,Online,SAT,ARRANGED,n.a.,n.a.,"Abney, K"
50,LAS292,Global Perspectives in Cross-Cultural Contexts,67108,Online,SAU,ARRANGED,n.a.,n.a.,"Abney, K"
51,LAS292,Global Perspectives in Cross-Cultural Contexts,67109,Online,SAV,ARRANGED,n.a.,n.a.,"Abney, K"
52,LAS292,Global Perspectives in Cross-Cultural Contexts,67110,Online,SAW,ARRANGED,n.a.,n.a.,"Abney, K"
53,LAS292,Global Perspectives in Cross-Cultural Contexts,67111,Online,SAX,ARRANGED,n.a.,n.a.,"Abney, K"
54,LAS292,Global Perspectives in Cross-Cultural Contexts,67112,Online,SAY,ARRANGED,n.a.,n.a.,"Abney, K"
55,LAS292,Global Perspectives in Cross-Cultural Contexts,67113,Online,SAZ,ARRANGED,n.a.,n.a.,"Abney, K"
56,LAS299,LAS Study Abroad,35366,Study Abroad,A,ARRANGED,n.a.,n.a.,"Hanauer, E"
