,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,LAST170,Introduction to Latin America,35433,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,149 Henry Administration Bldg,"Carvalho Teixeira De Oliveira, B & Moodie, E"
1,LAST170,Introduction to Latin America,35851,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,149 Henry Administration Bldg,"Carvalho Teixeira De Oliveira, B & Moodie, E"
2,LAST170,Introduction to Latin America,35852,Discussion/ Recitation,AD4,01:00PM - 01:50PM,F,313 Gregory Hall,"Chica, L & Moodie, E"
3,LAST170,Introduction to Latin America,35853,Discussion/ Recitation,AD5,02:00PM - 02:50PM,F,313 Gregory Hall,"Chica, L & Moodie, E"
4,LAST170,Introduction to Latin America,35854,Discussion/ Recitation,AD6,12:00PM - 12:50PM,F,313 Gregory Hall,"Chica, L & Moodie, E"
5,LAST170,Introduction to Latin America,35855,Online Lecture,AL1,ARRANGED,n.a.,n.a.,"Moodie, E"
6,LAST210,Life in the Andes,72623,Lecture-Discussion,MV,03:00PM - 04:20PM,TR,169 Davenport Hall,"Molina-Vital, C"
7,LAST395,Special Topics,44474,Travel,KS,05:00PM - 06:30PM,F,Location Pending,"Szremski, K"
8,LAST395,Special Topics,10500,Lecture-Discussion,MV2,03:00PM - 04:20PM,MW,Location Pending,"Molina-Vital, C"
9,LAST445,Native Latin Amer Languages,35857,Lecture-Discussion,1B,08:00AM - 08:50AM,MWF,2036 Campus Instructional Facility,"Molina-Vital, C"
10,LAST445,Native Latin Amer Languages,67050,Lecture-Discussion,2B,04:30PM - 05:50PM,TR,G30 Foreign Languages Building,"Molina-Vital, C"
11,LAST490,Individual Study,10499,Independent Study,,ARRANGED,n.a.,n.a.,
12,LAST550,Interdisc Seminar Latin Am St,44483,Lecture-Discussion,MV1,03:00PM - 04:20PM,MW,Location Pending,"Molina-Vital, C"
13,LAST597,M.A. Research,66092,Independent Study,,ARRANGED,n.a.,n.a.,
14,LAST599,Thesis Research,10502,Independent Study,,ARRANGED,n.a.,n.a.,
