,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,LEAD140,Harnessing Your Interpersonal Intelligence,70628,Online,C,ARRANGED,n.a.,n.a.,"Smist, J"
1,LEAD140,Harnessing Your Interpersonal Intelligence,72319,Lecture-Discussion,NSP,06:00PM - 07:20PM,TR,4029 Campus Instructional Facility,"Johnson, C"
2,LEAD170,Leading Student Organizations,70626,Online,A,ARRANGED,n.a.,n.a.,"Smist, J"
3,LEAD260,Foundations of Leadership,70598,Discussion/ Recitation,ADA,11:00AM - 11:50AM,R,393 Bevier Hall,"Smist, J"
4,LEAD260,Foundations of Leadership,70599,Discussion/ Recitation,ADB,12:30PM - 01:20PM,R,108 Bevier Hall,"Smist, J"
5,LEAD260,Foundations of Leadership,70600,Discussion/ Recitation,ADC,02:00PM - 02:50PM,R,108 Bevier Hall,"Smist, J"
6,LEAD260,Foundations of Leadership,70601,Discussion/ Recitation,ADD,09:00AM - 09:50AM,F,393 Bevier Hall,"Smist, J"
7,LEAD260,Foundations of Leadership,70602,Discussion/ Recitation,ADE,10:00AM - 10:50AM,F,108 Bevier Hall,"Smist, J"
8,LEAD260,Foundations of Leadership,70603,Discussion/ Recitation,ADF,11:00AM - 11:50AM,F,108 Bevier Hall,"Smist, J"
9,LEAD260,Foundations of Leadership,70593,Online,AL1,ARRANGED,n.a.,n.a.,"Smist, J"
10,LEAD260,Foundations of Leadership,70604,Lecture-Discussion,H,09:30AM - 10:45AM,TR,122 Bevier Hall,"Smist, J"
11,LEAD321,Training and Development,72269,Lecture-Discussion,SP,11:00AM - 12:20PM,TR,1050 Siebel Center for Design,"Leman, A"
12,LEAD340,Leadership Ethics & Society: Addressing Contemporary Challenges,72270,Lecture-Discussion,SP1,01:00PM - 02:20PM,MW,166 Bevier Hall,"Collins, J"
13,LEAD340,Leadership Ethics & Society: Addressing Contemporary Challenges,73168,Lecture-Discussion,SP2,01:00PM - 02:20PM,MW,166 Bevier Hall,"Collins, J"
14,LEAD380,Leadership in Groups and Teams,70606,Lecture-Discussion,AL1,10:00AM - 10:50AM,MWF,132 Bevier Hall,"Rosch, D"
15,LEAD460,Critical Approaches to Leadership Practice,72271,Online,A,05:30PM - 08:20PM,W,n.a.,"Collins, J"
16,LEAD470,Leading Professional Organizations and Communities,70630,Online,A,ARRANGED,n.a.,n.a.,"Smist, J"
17,LEAD480,Collaborative Leadership,70613,Lecture-Discussion,A,09:30AM - 10:50AM,TR,131 Animal Sciences Laboratory,"Chunoo, V"
18,LEAD480,Collaborative Leadership,70614,Lecture-Discussion,AG,09:30AM - 10:50AM,TR,131 Animal Sciences Laboratory,"Chunoo, V"
