,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,LER100,Introduction to Labor Studies,53032,Online,A,ARRANGED,n.a.,n.a.,"Ashby, S"
1,LER100,Introduction to Labor Studies,53033,Online,B,ARRANGED,n.a.,n.a.,"Ashby, S"
2,LER100,Introduction to Labor Studies,53034,Online,C,ARRANGED,n.a.,n.a.,"Ashby, S"
3,LER110,Labor and Social Movements,53035,Online,A,ARRANGED,n.a.,n.a.,"Ashby, S"
4,LER110,Labor and Social Movements,53036,Online,B,ARRANGED,n.a.,n.a.,"Ashby, S"
5,LER120,Contemporary Labor Problems,53439,Online,B,ARRANGED,n.a.,n.a.,"Ashby, S & Wood, A"
6,LER130,Intro Labr Wrkng Class History,53038,Online,A,ARRANGED,n.a.,n.a.,"Ashby, S & Fortado, S"
7,LER199,Undergraduate Open Seminar,71039,Independent Study,,ARRANGED,n.a.,n.a.,
8,LER225,Labor Issues in Sports,73028,Lecture-Discussion,A,12:30PM - 01:50PM,T,137 Armory,"Gilbert, D"
9,LER300,"Workers, Unions, and Politics",53042,Online,A,ARRANGED,n.a.,n.a.,"Ashby, S & Bruno, R"
10,LER440,Economics of Labor Markets,52790,Lecture-Discussion,A3,11:00AM - 12:20PM,MW,317 David Kinley Hall,"Arvind, A"
11,LER523,Org Fundamentals for HR,55476,Lecture-Discussion,A,08:00AM - 10:50AM,W,51 Inst Labor &  Industrial Rel,"Benton, R"
12,LER540,Labor Economics I,62402,Lecture-Discussion,1,09:30AM - 10:50AM,TR,108 David Kinley Hall,"Garin, A"
13,LER542,Collective Bargaining,52774,Lecture-Discussion,A,11:00AM - 01:50PM,T,35/43 Inst Labor &  Industrial Rel,"Riordan, C"
14,LER542,Collective Bargaining,72878,Online,C,06:30PM - 08:30PM,T,n.a.,"Riordan, C"
15,LER545,Economics of Human Resources,72886,Online,C,06:30PM - 08:30PM,T,n.a.,"Forsythe, E"
16,LER558,Faculty-Student Workshop,53441,Discussion/ Recitation,1,12:00PM - 01:30PM,F,35/43 Inst Labor &  Industrial Rel,"Weinstein, R"
17,LER561,Compensation Systems,53168,Lecture-Discussion,A,08:00AM - 10:50AM,R,35/43 Inst Labor &  Industrial Rel,"Lyu, M"
