,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,LING100,Intro to Language Science,36361,Discussion/ Recitation,AD1,01:00PM - 01:50PM,F,312 Davenport Hall,"Bhatt, R & Le, G"
1,LING100,Intro to Language Science,36366,Discussion/ Recitation,AD2,12:00PM - 12:50PM,F,312 Davenport Hall,"Bhatt, R & Stelzer, D"
2,LING100,Intro to Language Science,36369,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,312 Davenport Hall,"Bhatt, R & Gallardo, M"
3,LING100,Intro to Language Science,36373,Lecture,AL1,01:00PM - 01:50PM,MW,2035 Campus Instructional Facility,"Abdulla, W & Bhatt, R & Le, G & Stelzer, D"
4,LING115,Language and Culture in India,68431,Online,ONL,ARRANGED,n.a.,n.a.,"Mishra, M"
5,LING191,Freshman Honors Tutorial,10520,Independent Study,,ARRANGED,n.a.,n.a.,
6,LING199,Undergraduate Open Seminar,43721,Independent Study,,ARRANGED,n.a.,n.a.,
7,LING199,Undergraduate Open Seminar,52895,Lecture-Discussion,RB,12:30PM - 01:50PM,TR,212 1205 W Oregon,"Bhatt, R"
8,LING210,Language History,43630,Discussion/ Recitation,AD3,02:00PM - 02:50PM,F,111 David Kinley Hall,"Graham, L & Hualde, J"
9,LING210,Language History,43632,Lecture,AL1,02:00PM - 02:50PM,MW,111 David Kinley Hall,"Graham, L & Hualde, J"
10,LING221,American Sign Language II,55725,Online,A,10:00AM - 11:50AM,MW,n.a.,"Dramin Weiss, S"
11,LING221,American Sign Language II,58333,Online,B,08:00AM - 09:50AM,TR,n.a.,"Dramin Weiss, S"
12,LING221,American Sign Language II,49800,Online,D,01:00PM - 02:50PM,MW,n.a.,"Colon, C"
13,LING222,Language in Globalization,72393,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,156 Henry Administration Bldg,"Abdulla, W & Bhatt, R"
14,LING222,Language in Globalization,72392,Lecture-Discussion,AL,10:00AM - 10:50AM,MW,156 Henry Administration Bldg,"Abdulla, W & Bhatt, R"
15,LING225,"Language, Mind, and Brain",36386,Discussion/ Recitation,AD1,12:00PM - 12:50PM,F,311 Gregory Hall,"Atiles, A & Ionin, T"
16,LING225,"Language, Mind, and Brain",36397,Lecture,AL1,12:00PM - 12:50PM,MW,311 Gregory Hall,"Atiles, A & Ionin, T"
17,LING250,American Voices: Linguistic Diversity in the US,36400,Discussion/ Recitation,AD1,11:00AM - 11:50AM,F,1024 Foreign Languages Building,"Abdulla, W & Casar, A & Smalls, K"
