,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,LLS100,Intro Latina/Latino Studies,36897,Discussion/ Recitation,AD1,02:00PM - 02:50PM,R,103 1207 W Oregon,"Cano, A & Rodriguez, R"
1,LLS100,Intro Latina/Latino Studies,36898,Discussion/ Recitation,AD2,03:00PM - 03:50PM,R,103 1207 W Oregon,"Garcia, L & Rodriguez, R"
2,LLS100,Intro Latina/Latino Studies,36899,Discussion/ Recitation,AD3,04:00PM - 04:50PM,R,103 1207 W Oregon,"Garcia, L & Rodriguez, R"
3,LLS100,Intro Latina/Latino Studies,36900,Discussion/ Recitation,AD4,01:00PM - 01:50PM,F,103 1207 W Oregon,"Cano, A & Rodriguez, R"
4,LLS100,Intro Latina/Latino Studies,36901,Lecture,AL1,01:00PM - 01:50PM,MW,213 Gregory Hall,"Rodriguez, R"
5,LLS201,US Racial & Ethnic Politics,46987,Online,OL1,ARRANGED,n.a.,n.a.,"Agosto Rosa, R"
6,LLS201,US Racial & Ethnic Politics,46986,Online,OL2,ARRANGED,n.a.,n.a.,"Jung, S"
7,LLS201,US Racial & Ethnic Politics,46985,Online,OL3,ARRANGED,n.a.,n.a.,"Khan, A"
8,LLS201,US Racial & Ethnic Politics,46984,Online,OL4,ARRANGED,n.a.,n.a.,"Cho, H"
9,LLS215,US Citizenship Comparatively,52321,Lecture-Discussion,A,01:00PM - 02:20PM,MW,115 David Kinley Hall,"Park, D"
10,LLS220,Latina/o Migration,40326,Lecture-Discussion,A,11:00AM - 12:20PM,TR,169 Davenport Hall,"Ramirez, C"
11,LLS230,Latina/o Genders & Sexualities,63775,Lecture-Discussion,A,09:30AM - 10:50AM,TR,103 1207 W Oregon,"Caraves, J"
12,LLS238,Latina/o Social Movements,55707,Lecture-Discussion,A,09:30AM - 10:50AM,MW,103 1207 W Oregon,"Ramirez, M"
13,LLS240,Latina/o Popular Culture,45403,Lecture-Discussion,A,09:30AM - 10:50AM,TR,136 Davenport Hall,"Rodriguez, R"
14,LLS246,Gender & Sexuality in Latina/o Literature,46480,Discussion/ Recitation,AD1,02:00PM - 03:20PM,TR,1030 Foreign Languages Building,"Cervantes, X"
15,LLS250,Latina/os on the Bronze Screen,57157,Discussion/ Recitation,A,07:00PM - 09:00PM,W,1090 Lincoln Hall,"Valdivia, A"
16,LLS279,Mexican-American History,43957,Discussion/ Recitation,AD1,01:00PM - 01:50PM,R,132 Davenport Hall,"Ettinger, S & Ramirez, C"
17,LLS279,Mexican-American History,43958,Discussion/ Recitation,AD2,12:00PM - 12:50PM,F,131 English Building,"Ettinger, S & Ramirez, C"
18,LLS279,Mexican-American History,43956,Lecture,AL1,12:00PM - 12:50PM,MW,259 English Building,"Ramirez, C"
19,LLS282,Feminist and Queer Activisms,71814,Online,MN,01:00PM - 02:20PM,MW,n.a.,"Cate, S"
20,LLS296,Topics Latina/o Studies,44296,Lecture-Discussion,FN,04:00PM - 05:20PM,MW,1024 Lincoln Hall,"Ngo, F"
21,LLS305,"Theories of Race, Gender, and Sexuality",69048,Lecture-Discussion,A,10:00AM - 11:20AM,TR,320 Mumford Hall,"Sabherwal, S"
22,LLS308,Spanish in the United States,59989,Lecture-Discussion,D,11:00AM - 12:20PM,TR,G30 Foreign Languages Building,"Henshaw, F"
23,LLS308,Spanish in the United States,64939,Lecture-Discussion,G,03:00PM - 03:50PM,MWF,G18 Foreign Languages Building,
24,LLS308,Spanish in the United States,68663,Lecture-Discussion,X,09:30AM - 10:50AM,TR,G30 Foreign Languages Building,"Delgado, R"
25,LLS310,Race and Cultural Diversity,33081,Discussion/ Recitation,D1,02:00PM - 03:50PM,R,22 Education Building,"Anderson, J & Livingston, C & Studamire, D"
26,LLS310,Race and Cultural Diversity,45582,Discussion/ Recitation,D2,02:00PM - 03:50PM,R,42A Education Building,"Anderson, J & Perkins-Williams, R & Studamire, D"
27,LLS310,Race and Cultural Diversity,33079,Lecture,L,02:00PM - 03:50PM,T,22 Education Building,"Anderson, J & Livingston, C & Perkins-Williams, R & Studamire, D"
28,LLS320,Gender & Latina/o Migration,52854,Lecture-Discussion,A,12:30PM - 01:50PM,TR,103 1207 W Oregon,"Velasquez Estrada, R"
29,LLS322,US Latina and Latino Families,65154,Lecture-Discussion,A,02:00PM - 03:20PM,TR,242 Bevier Hall,"Munoz, L"
30,LLS343,Criminalization and Punishment,69442,Lecture-Discussion,A,03:30PM - 04:50PM,TR,106 David Kinley Hall,"Velasquez Estrada, R"
31,LLS355,Race and Mixed Race,57159,Lecture-Discussion,A,02:00PM - 04:20PM,M,103 1207 W Oregon,"Ramirez, C"
32,LLS360,Contemporary US Latina/o Lit,36903,Lecture-Discussion,A,11:00AM - 12:20PM,MW,103 1207 W Oregon,"de la Garza, J"
33,LLS365,"Chicana/Latina Autobiography, Memoir, Testimonio",72056,Lecture-Discussion,A,02:00PM - 04:20PM,T,103 1207 W Oregon,"Rodriguez, R"
34,LLS387,"Race, Gender and the Body",58955,Lecture-Discussion,A,03:30PM - 04:50PM,TR,1038 Foreign Languages Building,"Flores, N"
35,LLS390,Independent Study,10539,Independent Study,,ARRANGED,n.a.,n.a.,
36,LLS392,Chicanas&Latinas: Self&Society,72341,Lecture-Discussion,A,11:00AM - 12:20PM,TR,103 1207 W Oregon,"Barragan Miranda, J"
37,LLS465,"Race, Sex, and Deviance",48486,Lecture-Discussion,G,12:30PM - 01:50PM,TR,1051 Lincoln Hall,"Flores, N"
38,LLS465,"Race, Sex, and Deviance",48485,Lecture-Discussion,U,12:30PM - 01:50PM,TR,1051 Lincoln Hall,"Flores, N"
39,LLS468,Latinas/os & the Law,67424,Lecture-Discussion,G,02:00PM - 03:20PM,MW,1128 Foreign Languages Building,"de la Garza, J"
40,LLS468,Latinas/os & the Law,67423,Lecture-Discussion,U,02:00PM - 03:20PM,MW,1128 Foreign Languages Building,"de la Garza, J"
41,LLS473,"Immigration, Health & Society",54802,Lecture-Discussion,G,02:00PM - 03:20PM,TR,1134 Foreign Languages Building,"Barragan Miranda, J"
42,LLS473,"Immigration, Health & Society",54803,Lecture-Discussion,U,02:00PM - 03:20PM,TR,1134 Foreign Languages Building,"Barragan Miranda, J"
43,LLS490,Research and Writing Seminar,67411,Seminar,A,02:00PM - 04:20PM,M,133 1207 W Oregon,"Rosas, G"
44,LLS495,Senior Honors Thesis,54582,Independent Study,,ARRANGED,n.a.,n.a.,
45,LLS561,Race and Cultural Critique,52843,Online,A,02:00PM - 04:50PM,W,n.a.,"Sharif, L"
46,LLS590,Independent Study,46522,Independent Study,,ARRANGED,n.a.,n.a.,
