,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,MACS100,Intro to Popular TV & Movies,63465,Discussion/ Recitation,AD1,09:00AM - 09:50AM,R,205 Gregory Hall,"Knipp, J"
1,MACS100,Intro to Popular TV & Movies,63466,Discussion/ Recitation,AD2,10:00AM - 10:50AM,R,205 Gregory Hall,"Gao, Y"
2,MACS100,Intro to Popular TV & Movies,63467,Discussion/ Recitation,AD3,11:00AM - 11:50AM,R,205 Gregory Hall,"Gao, Y"
3,MACS100,Intro to Popular TV & Movies,63468,Online Discussion,AD4,04:00PM - 04:50PM,R,n.a.,"Robinson, J"
4,MACS100,Intro to Popular TV & Movies,63470,Online Discussion,AD6,ARRANGED,n.a.,n.a.,"Ju, R"
5,MACS100,Intro to Popular TV & Movies,63471,Online Discussion,AD7,ARRANGED,n.a.,n.a.,"Ju, R"
6,MACS100,Intro to Popular TV & Movies,63472,Discussion/ Recitation,AD8,01:00PM - 01:50PM,R,212 David Kinley Hall,"Pyo, J"
7,MACS100,Intro to Popular TV & Movies,63473,Discussion/ Recitation,AD9,02:00PM - 02:50PM,R,212 David Kinley Hall,"Pyo, J"
8,MACS100,Intro to Popular TV & Movies,63474,Discussion/ Recitation,ADA,03:00PM - 03:50PM,R,212 David Kinley Hall,"Bhalla, S"
9,MACS100,Intro to Popular TV & Movies,63835,Discussion/ Recitation,ADD,10:00AM - 10:50AM,F,317 Gregory Hall,"Kang, Y"
10,MACS100,Intro to Popular TV & Movies,63836,Discussion/ Recitation,ADE,11:00AM - 11:50AM,F,317 Gregory Hall,"Chen, T"
11,MACS100,Intro to Popular TV & Movies,63837,Discussion/ Recitation,ADF,12:00PM - 12:50PM,F,317 Gregory Hall,"Kang, Y"
12,MACS100,Intro to Popular TV & Movies,63838,Online Discussion,ADG,ARRANGED,n.a.,n.a.,"Robinson, J"
13,MACS100,Intro to Popular TV & Movies,67935,Online Discussion,ADH,02:00PM - 02:50PM,R,n.a.,"Yomtoob, D"
14,MACS100,Intro to Popular TV & Movies,67938,Online Discussion,ADK,12:00PM - 12:50PM,F,n.a.,"Yomtoob, D"
15,MACS100,Intro to Popular TV & Movies,63464,Online Lecture,AL1,ARRANGED,n.a.,n.a.,"Knipp, J"
16,MACS101,Introduction to the Media,57016,Lecture-Discussion,A,11:00AM - 12:20PM,TR,317 Gregory Hall,"Carrillo Fuchs, D"
17,MACS101,Introduction to the Media,57018,Online Discussion,B,12:30PM - 01:50PM,TR,n.a.,"Yomtoob, D"
18,MACS101,Introduction to the Media,57019,Lecture-Discussion,C,04:00PM - 05:20PM,MW,207 Gregory Hall,"Gu, J"
19,MACS101,Introduction to the Media,57020,Lecture-Discussion,D,02:00PM - 03:20PM,MW,317 Gregory Hall,"Peng, A"
20,MACS101,Introduction to the Media,57021,Lecture-Discussion,E,09:30AM - 10:50AM,TR,317 Gregory Hall,"Carrillo Fuchs, D"
21,MACS101,Introduction to the Media,57022,Online Discussion,F,03:30PM - 04:50PM,TR,n.a.,"Yomtoob, D"
22,MACS101,Introduction to the Media,57024,Lecture-Discussion,G,12:30PM - 01:50PM,MW,317 Gregory Hall,"Gu, J"
23,MACS101,Introduction to the Media,57025,Lecture-Discussion,H,08:00AM - 09:20AM,TR,317 Gregory Hall,"Mukhopadhyay, A"
24,MACS101,Introduction to the Media,68838,Lecture-Discussion,M,11:00AM - 12:20PM,MW,317 Gregory Hall,"Peng, A"
25,MACS101,Introduction to the Media,68839,Lecture-Discussion,N,09:00AM - 10:20AM,MW,317 Gregory Hall,"Knipp, J"
26,MACS101,Introduction to the Media,68884,Lecture-Discussion,P,02:00PM - 03:20PM,TR,113 Gregory Hall,"Mukhopadhyay, A"
27,MACS104,Introduction to Film,56841,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,148 Armory,"Claborn, J"
28,MACS104,Introduction to Film,56838,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,148 Armory,"Claborn, J"
29,MACS104,Introduction to Film,56842,Lecture-Discussion,E,01:00PM - 01:50PM,MWF,148 Armory,"Lafond, B"
30,MACS104,Introduction to Film,56845,Lecture-Discussion,M,10:00AM - 10:50AM,MWF,148 Armory,"Claborn, J"
31,MACS104,Introduction to Film,56844,Lecture-Discussion,P,02:00PM - 03:15PM,TR,148 Armory,"Slobodnik, S"
32,MACS104,Introduction to Film,56840,Lecture-Discussion,Y,03:30PM - 04:45PM,TR,148 Armory,"Slobodnik, S"
33,MACS150,Introduction to Digital Media Production,72312,Laboratory,AB1,02:30PM - 03:50PM,TR,3 Gregory Hall,"Colin, M"
34,MACS150,Introduction to Digital Media Production,72313,Laboratory,AB2,11:00AM - 12:20PM,TR,3 Gregory Hall,"Colin, M"
35,MACS150,Introduction to Digital Media Production,72314,Laboratory,AB3,01:00PM - 02:20PM,TR,3 Gregory Hall,"Colin, M"
36,MACS150,Introduction to Digital Media Production,72311,Lecture,AL1,09:30AM - 10:50AM,TR,119 Materials Science & Eng Bld,"Colin, M & Long, D"
37,MACS166,Contemporary Media Literacy,57027,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 03/14/22-05/04/22</span></i>",A,03:00PM - 05:50PM,W,2101 Everitt Laboratory,"Ciafone, A"
38,MACS199,Undergraduate Open Seminar,59906,Independent Study,,ARRANGED,n.a.,n.a.,
39,MACS202,Social Aspects Info Tech,56982,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,29 Psychology Building,"Darch, P & Kendall, L & Lundy, M"
40,MACS202,Social Aspects Info Tech,56983,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,29 Psychology Building,"Darch, P & Kendall, L & Lundy, M"
41,MACS202,Social Aspects Info Tech,56985,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,29 Psychology Building,"Darch, P & Grisales Bohorquez, C & Kendall, L"
42,MACS202,Social Aspects Info Tech,56986,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,29 Psychology Building,"Darch, P & Grisales Bohorquez, C & Kendall, L"
43,MACS202,Social Aspects Info Tech,56981,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,29 Psychology Building,"Darch, P & Kendall, L & Maimone, J"
44,MACS202,Social Aspects Info Tech,56984,Discussion/ Recitation,AD6,02:00PM - 02:50PM,F,29 Psychology Building,"Darch, P & Kendall, L & Maimone, J"
45,MACS202,Social Aspects Info Tech,56980,Online,AE1,11:00AM - 11:50AM,MW,n.a.,"Darch, P & Kendall, L"
46,MACS203,Contemporary Movies,68731,Lecture-Discussion,A,01:00PM - 03:50PM,T,165 Noyes Laboratory,"Knipp, J"
47,MACS207,Indian Cinema in Context,65032,Lecture-Discussion,A2,02:00PM - 03:20PM,MW,3039 Campus Instructional Facility,"Mehta, R"
48,MACS250,Latina/os on the Bronze Screen,57158,Discussion/ Recitation,A,07:00PM - 09:00PM,W,1090 Lincoln Hall,"Valdivia, A"
49,MACS260,Film Production,71957,Laboratory,AB1,10:30AM - 11:50AM,MW,1 Gregory Hall,"Font Bas, V & Krishna, K"
50,MACS260,Film Production,71958,Laboratory,AB2,12:00PM - 01:20PM,MW,3 Gregory Hall,"Font Bas, V & Krishna, K"
51,MACS260,Film Production,71959,Laboratory,AB3,03:00PM - 04:20PM,MW,3 Gregory Hall,"Font Bas, V & Krishna, K"
52,MACS260,Film Production,70250,Laboratory-Discussion,AL1,09:00AM - 10:20AM,M,321 Gregory Hall,"Font Bas, V"
