,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,MATH103,Theory of Arithmetic,37823,Laboratory,AB2,02:00PM - 02:50PM,R,11 Psychology Building,"Dobbs, T"
1,MATH103,Theory of Arithmetic,37821,Laboratory,AB3,01:00PM - 01:50PM,R,11 Psychology Building,"Dobbs, T"
2,MATH103,Theory of Arithmetic,37825,Lecture,AL1,11:00AM - 12:20PM,TR,144 Loomis Laboratory,"Dobbs, T"
3,MATH112,Algebra,70124,Discussion/ Recitation,XDA,09:00AM - 09:50AM,R,223 David Kinley Hall,"Ho, K"
4,MATH112,Algebra,70125,Discussion/ Recitation,XDB,10:00AM - 10:50AM,R,223 David Kinley Hall,"Bonamarte, G"
5,MATH112,Algebra,70126,Discussion/ Recitation,XDC,11:00AM - 11:50AM,R,223 David Kinley Hall,"Bonamarte, G"
6,MATH112,Algebra,71026,Discussion/ Recitation,XDE,01:00PM - 01:50PM,R,223 David Kinley Hall,"Bonamarte, G"
7,MATH112,Algebra,69217,Lecture,XL1,12:00PM - 12:50PM,MW,23 Psychology Building,"Jewell, M"
8,MATH115,Preparation for Calculus,65738,Discussion/ Recitation,EDA,03:00PM - 03:50PM,R,341 Altgeld Hall,"Kochendorfer, K"
9,MATH115,Preparation for Calculus,65739,Discussion/ Recitation,EDB,09:00AM - 09:50AM,R,209 David Kinley Hall,"Chittick, L"
10,MATH115,Preparation for Calculus,65740,Discussion/ Recitation,EDC,10:00AM - 10:50AM,R,209 David Kinley Hall,"Chittick, L"
11,MATH115,Preparation for Calculus,65742,Discussion/ Recitation,EDD,11:00AM - 11:50AM,R,209 David Kinley Hall,"Chesser, M"
12,MATH115,Preparation for Calculus,68274,Discussion/ Recitation,EDE,12:00PM - 12:50PM,R,209 David Kinley Hall,"Chudnovsky, D"
13,MATH115,Preparation for Calculus,70355,Discussion/ Recitation,EDF,01:00PM - 01:50PM,R,209 David Kinley Hall,"Chudnovsky, D"
14,MATH115,Preparation for Calculus,70356,Discussion/ Recitation,EDG,04:00PM - 04:50PM,R,143 Altgeld Hall,"Kochendorfer, K"
15,MATH115,Preparation for Calculus,46408,Lecture,EL1,11:00AM - 11:50AM,MWF,141 Wohlers Hall,"Hoffmeister, A"
16,MATH117,Elementary Mathematics,37513,Lecture-Discussion,B1,09:00AM - 10:20AM,MW,243 Altgeld Hall,"Hoffmeister, A"
17,MATH124,Finite Mathematics,37552,Lecture-Discussion,P1,11:00AM - 11:50AM,TR,143 Altgeld Hall,"Long, M"
18,MATH124,Finite Mathematics,37553,Lecture-Discussion,Q1,12:00PM - 12:50PM,TR,147 Altgeld Hall,"Long, M"
19,MATH124,Finite Mathematics,37556,Lecture-Discussion,R1,01:00PM - 01:50PM,TR,141 Altgeld Hall,"McConnell, R"
20,MATH124,Finite Mathematics,56031,Lecture-Discussion,S1,02:00PM - 02:50PM,TR,143 Altgeld Hall,"McConnell, R"
