,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,MBA530,Internship,10572,Independent Study,,ARRANGED,n.a.,n.a.,
1,MBA531,Special Projects,10574,Independent Study,,ARRANGED,n.a.,n.a.,
2,MBA545,Marketing in Our New Digital World,72745,Online,IMB,ARRANGED,n.a.,n.a.,"Raquel, S & Rindfleisch, A"
3,MBA545,Marketing in Our New Digital World,72746,Online,ONL,ARRANGED,n.a.,n.a.,"Raquel, S & Rindfleisch, A"
4,MBA548,Global Strategy,72946,Online,IMB,ARRANGED,n.a.,n.a.,"Bucheli, M & Minefee, I"
5,MBA548,Global Strategy,72947,Online,ONL,ARRANGED,n.a.,n.a.,"Bucheli, M & Minefee, I"
6,MBA551,Strategic Innovation,70473,Online,IMB,ARRANGED,n.a.,n.a.,"Corredor Waldron, S & Love, E"
7,MBA551,Strategic Innovation,70474,Online,ONL,ARRANGED,n.a.,n.a.,"Corredor Waldron, S & Love, E"
8,MBA561,Introduction to Business Analytics with R,70477,Online,IMB,ARRANGED,n.a.,n.a.,"Guymon, R & Khandelwal, A"
9,MBA561,Introduction to Business Analytics with R,70478,Online,ONL,ARRANGED,n.a.,n.a.,"Guymon, R & Khandelwal, A"
10,MBA590,Specialization Capstone,70481,Online,IM1,ARRANGED,n.a.,n.a.,"Corredor Waldron, S"
11,MBA590,Specialization Capstone,70482,Online,IM2,ARRANGED,n.a.,n.a.,"Dolgopolov, V"
12,MBA590,Specialization Capstone,70483,Online,IM3,ARRANGED,n.a.,n.a.,"Bradley, J"
13,MBA590,Specialization Capstone,70484,Online,IM4,ARRANGED,n.a.,n.a.,"Excell, R"
14,MBA590,Specialization Capstone,72776,Online,IM7,ARRANGED,n.a.,n.a.,"Mehta, R"
15,MBA590,Specialization Capstone,71207,Online,IM8,ARRANGED,n.a.,n.a.,"Wheeler, G"
16,MBA591,Program Capstone,70505,Online,IMB,ARRANGED,n.a.,n.a.,"Soman, S & Watkins, R"
