,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ME170,Computer-Aided Design,36908,Laboratory,AB1,10:00AM - 11:50AM,T,1009 Mechanical Engineering Lab,"Mehta, M"
1,ME170,Computer-Aided Design,36909,Laboratory,AB2,01:00PM - 02:50PM,T,1009 Mechanical Engineering Lab,"Roni, M"
2,ME170,Computer-Aided Design,36910,Laboratory,AB3,03:00PM - 04:50PM,T,1009 Mechanical Engineering Lab,"Roni, M"
3,ME170,Computer-Aided Design,36911,Laboratory,AB4,01:00PM - 02:50PM,R,1009 Mechanical Engineering Lab,"Chun, S"
4,ME170,Computer-Aided Design,36912,Laboratory,AB5,03:00PM - 04:50PM,R,1009 Mechanical Engineering Lab,"Mehta, M"
5,ME170,Computer-Aided Design,36913,Lecture,AL1,08:00AM - 08:50AM,TR,2035 Campus Instructional Facility,"Philpott, M"
6,ME170,Computer-Aided Design,70577,Lecture,ALP,08:00AM - 08:50AM,TR,2035 Campus Instructional Facility,"Philpott, M"
7,ME199,Undergraduate Open Seminar,10540,Independent Study,,ARRANGED,n.a.,n.a.,
8,ME199,Undergraduate Open Seminar,55918,Lecture-Discussion,ADV,ARRANGED,n.a.,Location Pending,"Philpott, M"
9,ME199,Undergraduate Open Seminar,55799,Laboratory-Discussion,DES,05:00PM - 05:50PM,M,2051 Sidney Lu Mech Engr Bldg,"Philpott, M"
10,ME199,Undergraduate Open Seminar,36920,Laboratory-Discussion,SAE,04:00PM - 04:50PM,M,2100 Sidney Lu Mech Engr Bldg,"Philpott, M"
11,ME200,Thermodynamics,68593,Lecture,AL1,11:00AM - 11:50AM,MWF,2035 Campus Instructional Facility,"Inampudi, S & Liebenberg, L & Wang, Y"
12,ME200,Thermodynamics,68594,Lecture,AL2,12:00PM - 12:50PM,MWF,2035 Campus Instructional Facility,"Kim, J & Patel, P & Pulletikurthi, V"
13,ME270,Design for Manufacturability,63246,Laboratory,AB1,01:00PM - 02:50PM,M,0023B Sidney Lu Mech Engr Bldg,"Lee, C"
14,ME270,Design for Manufacturability,63247,Laboratory,AB2,03:00PM - 04:50PM,M,0023B Sidney Lu Mech Engr Bldg,"Lee, C"
15,ME270,Design for Manufacturability,63250,Laboratory,AB3,11:00AM - 12:50PM,T,0023B Sidney Lu Mech Engr Bldg,"Hsieh, E"
16,ME270,Design for Manufacturability,63251,Laboratory,AB4,01:00PM - 02:50PM,T,0023B Sidney Lu Mech Engr Bldg,"Guo, Z"
17,ME270,Design for Manufacturability,63252,Laboratory,AB5,05:00PM - 06:50PM,T,0023B Sidney Lu Mech Engr Bldg,"Guo, Z"
18,ME270,Design for Manufacturability,63254,Laboratory,AB6,12:00PM - 01:50PM,W,0023B Sidney Lu Mech Engr Bldg,"Dancholvichit, N"
