,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,MILS102,Introduction to the Profession of Arms,34414,Lecture-Discussion,A,10:00AM - 10:50AM,MW,133 Armory,"Ashworth, E & Soderlind, J & Whilden, B"
1,MILS102,Introduction to the Profession of Arms,34417,Lecture-Discussion,B,11:00AM - 11:50AM,MW,133 Armory,"Ashworth, E & Soderlind, J & Whilden, B"
2,MILS102,Introduction to the Profession of Arms,34419,Lecture-Discussion,C,02:00PM - 02:50PM,MW,133 Armory,"Ashworth, E & Soderlind, J & Whilden, B"
3,MILS114,Leadership Laboratory,34429,Laboratory,A,06:00AM - 07:20AM,MWF,Location Pending,"Ashworth, E & Soderlind, J & Whilden, B"
4,MILS114,Leadership Laboratory,61601,Laboratory,B,ARRANGED,n.a.,Location Pending,"Ashworth, E & Soderlind, J & Whilden, B"
5,MILS202,Leadership and Teamwork,34434,Lecture-Discussion,A,10:00AM - 10:50AM,TR,386 Armory,"Ashworth, E & Carr, J & Kuhn, J"
6,MILS202,Leadership and Teamwork,34436,Lecture-Discussion,B,02:00PM - 02:50PM,TR,386 Armory,"Ashworth, E & Carr, J & Kuhn, J"
7,MILS202,Leadership and Teamwork,34446,Lecture-Discussion,E,ARRANGED,n.a.,Location Pending,"Ashworth, E & Carr, J & Kuhn, J"
8,MILS214,Leadership Laboratory,34448,Laboratory,A,06:00AM - 07:20AM,MWF,Location Pending,"Ashworth, E & Carr, J & Kuhn, J"
9,MILS214,Leadership Laboratory,61775,Laboratory,B,ARRANGED,n.a.,Location Pending,"Ashworth, E & Carr, J & Kuhn, J"
10,MILS302,Leadership and Ethics,34451,Lecture-Discussion,A,10:00AM - 11:20AM,TR,146 Armory,"Ashworth, E & Collier, T"
11,MILS302,Leadership and Ethics,34455,Lecture-Discussion,B,02:00PM - 03:20PM,TR,146 Armory,"Ashworth, E & Collier, T"
12,MILS302,Leadership and Ethics,42969,Lecture-Discussion,E,ARRANGED,n.a.,Location Pending,"Ashworth, E & Collier, T"
13,MILS314,Leadership Laboratory,34458,Laboratory,A,06:00AM - 07:20AM,MWF,Location Pending,"Ashworth, E & Collier, T"
14,MILS314,Leadership Laboratory,61905,Laboratory,B,ARRANGED,n.a.,Location Pending,"Ashworth, E & Collier, T"
15,MILS324,Leadership Laboratory,34507,Laboratory,A,06:00AM - 07:20AM,MWF,Location Pending,"Ashworth, E & Johnson, D"
16,MILS324,Leadership Laboratory,34512,Laboratory,C,ARRANGED,n.a.,Location Pending,"Ashworth, E & Johnson, D"
17,MILS325,Independent Study,34518,Conference,A,ARRANGED,n.a.,Location Pending,"Ashworth, E & Carr, J & Collier, T & Johnson, D & Kuhn, J & Soderlind, J & Whilden, B"
18,MILS342,Officership,34497,Lecture-Discussion,A,09:30AM - 10:50AM,MW,384 Armory,"Ashworth, E & Johnson, D"
19,MILS342,Officership,34500,Lecture-Discussion,B,03:00PM - 04:20PM,MW,Location Pending,"Ashworth, E & Johnson, D"
