,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,MSE183,Freshman Materials Laboratory,48165,Laboratory-Discussion,B,ARRANGED,n.a.,Location Pending,"Flueck, I & Levita, G & Nagel, L"
1,MSE199,Undergraduate Open Seminar,10557,Independent Study,,ARRANGED,n.a.,n.a.,
2,MSE206,Mechanics for MatSE,43379,Discussion/ Recitation,AD1,01:00PM - 01:50PM,F,2036 Campus Instructional Facility,"Benvau, C & Chen, J & Krogstad, J & Paul, J & Pfeil, S"
3,MSE206,Mechanics for MatSE,57449,Discussion/ Recitation,AD2,02:00PM - 02:50PM,F,2036 Campus Instructional Facility,"Benvau, C & Chen, J & Krogstad, J & Paul, J & Pfeil, S"
4,MSE206,Mechanics for MatSE,60424,Discussion/ Recitation,AD3,03:00PM - 03:50PM,F,2036 Campus Instructional Facility,"Benvau, C & Chen, J & Krogstad, J & Paul, J & Pfeil, S"
5,MSE206,Mechanics for MatSE,36224,Lecture,AL1,02:00PM - 03:50PM,MW,103 Transportation Building,"Krogstad, J"
6,MSE280,Engineering Materials,38203,Lecture-Discussion,B,11:00AM - 12:20PM,TR,4025 Campus Instructional Facility,"Goodman, M & Hunt, H & Shiro, E"
7,MSE304,Electronic Properties of Matls,38206,Lecture-Discussion,C,09:00AM - 09:50AM,MWF,2310 Everitt Laboratory,"Foiles, D & Hoffmann, A & Wang, B & Zhao, Z"
8,MSE308,Materials Laboratory II,38210,Laboratory,AB1,02:00PM - 04:50PM,T,105 Ceramics Kiln House,"Mahat, S & Swett, A & TerBush, J"
9,MSE308,Materials Laboratory II,38211,Laboratory,AB2,02:00PM - 04:50PM,W,105 Ceramics Kiln House,"Mahat, S & Park, J & Rebeszko, K & TerBush, J & Yang, J"
10,MSE308,Materials Laboratory II,38214,Laboratory,AB3,02:00PM - 04:50PM,R,105 Ceramics Kiln House,"Feathers, S & Mahat, S & Swett, A & TerBush, J"
11,MSE308,Materials Laboratory II,45287,Laboratory,AB4,02:00PM - 04:50PM,F,Location Pending,"Derkaloustian, M & Feathers, S & Maloto, A & TerBush, J & Vellathottam, R"
12,MSE308,Materials Laboratory II,56834,Laboratory,AB5,02:00PM - 04:50PM,M,105 Ceramics Kiln House,"Hitchens, Z & Mahat, S & Park, J & TerBush, J"
13,MSE308,Materials Laboratory II,38208,"Lecture<br/><i><span class=""app-text-value"">Meets 01/24/22-05/04/22</span></i>",AL1,01:00PM - 01:50PM,TR,122 Ceramics Kiln House,"TerBush, J"
14,MSE395,Materials Design,38216,"Lecture<br/><i><span class=""app-text-value"">Meets 02/06/22-05/04/22</span></i>",A,12:00PM - 01:50PM,F,2039 Campus Instructional Facility,"Goodman, M"
15,MSE396,Introduction to Research,61530,Laboratory-Discussion,2,05:00PM - 06:30PM,W,305 Materials Science & Eng Bld,"Cahill, D"
16,MSE396,Introduction to Research,62660,Laboratory-Discussion,3,05:00PM - 06:30PM,W,305 Materials Science & Eng Bld,"Cahill, D"
17,MSE397,Independent Study,10559,Independent Study,,ARRANGED,n.a.,n.a.,
18,MSE402,Kinetic Processes in Materials,38218,Lecture-Discussion,L,09:30AM - 10:50AM,TR,103 Talbot Laboratory,"Bellon, P & Kim, S & Surana, M & Yao, Y"
19,MSE404,Laboratory Studies in Materials Science and Engineering,65489,Laboratory,AD1,02:00PM - 04:50PM,MW,112 Ceramics Building,"Ananthakrishnan, G & Charpagne, M & McLaughlin, R & Mukundan Anugrahaprada, -"
20,MSE404,Laboratory Studies in Materials Science and Engineering,65490,Laboratory,AD2,02:00PM - 04:50PM,TR,112 Ceramics Building,"Ananthakrishnan, G & Charpagne, M & McLaughlin, R & Mukundan Anugrahaprada, -"
21,MSE404,Laboratory Studies in Materials Science and Engineering,65491,Laboratory,BA1,02:00PM - 04:50PM,MW,218 Ceramics Kiln House,"Gabrielson, N"
22,MSE404,Laboratory Studies in Materials Science and Engineering,65492,Laboratory,BA2,02:00PM - 04:50PM,TR,218 Ceramics Kiln House,"Gabrielson, N"
23,MSE404,Laboratory Studies in Materials Science and Engineering,65537,Laboratory,BA3,08:00AM - 10:50AM,TR,218 Ceramics Kiln House,"Gabrielson, N"
24,MSE404,Laboratory Studies in Materials Science and Engineering,65482,Laboratory,BS1,02:00PM - 04:50PM,MW,218 Ceramics Kiln House,"Gabrielson, N & Porras Gomez, M"
25,MSE404,Laboratory Studies in Materials Science and Engineering,65483,Laboratory,BS2,02:00PM - 04:50PM,TR,218 Ceramics Kiln House,"Gabrielson, N & Porras Gomez, M"
26,MSE404,Laboratory Studies in Materials Science and Engineering,65484,Laboratory,BS3,08:00AM - 10:50AM,TR,218 Ceramics Kiln House,"Gabrielson, N & Porras Gomez, M"
27,MSE404,Laboratory Studies in Materials Science and Engineering,65485,Laboratory,ELA,02:00PM - 04:50PM,TR,L440 Digital Computer Laboratory,"Trinkle, D"
28,MSE404,Laboratory Studies in Materials Science and Engineering,71507,Laboratory,LD1,02:00PM - 04:50PM,MW,204 Ceramics Kiln House,"Gerios, V & Shim, M"
29,MSE404,Laboratory Studies in Materials Science and Engineering,71508,Laboratory,LD2,02:00PM - 04:50PM,TR,204 Ceramics Kiln House,"Gerios, V & Shim, M"
30,MSE404,Laboratory Studies in Materials Science and Engineering,65480,Laboratory,MP1,02:00PM - 04:50PM,MW,112 Ceramics Building,"Ananthakrishnan, G & Charpagne, M & McLaughlin, R & Mukundan Anugrahaprada, -"
