,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,MUSC101,Piano,72716,Lecture,A,02:00PM - 03:30PM,F,114 Smith Memorial Hall,"Ehlen, T"
1,MUSC101,Piano,72717,Lecture,B,05:00PM - 06:20PM,F,220 Smith Memorial Hall,"Sennet, R"
2,MUSC101,Piano,72718,Practice,C,ARRANGED,n.a.,112 Smith Memorial Hall,"Heiles, W"
3,MUSC101,Piano,72719,Lecture,D,ARRANGED,n.a.,Location Pending,"Ehlen, T & Guan, Y"
4,MUSC101,Piano,72720,Practice,NM,ARRANGED,n.a.,Location Pending,"Ehlen, T & Guan, Y"
5,MUSC101,Piano,72721,Practice,NM1,ARRANGED,n.a.,Location Pending,"Ehlen, T & Guan, Y"
6,MUSC102,Harpsichord,72626,Practice,A,ARRANGED,n.a.,211 Smith Memorial Hall,"Moersch, C"
7,MUSC103,Organ,72627,Practice,A,ARRANGED,n.a.,216 Smith Memorial Hall,"Robinson, D"
8,MUSC103,Organ,73744,Practice,NM,ARRANGED,n.a.,Location Pending,"Robinson, D"
9,MUSC105,Voice,72628,Lecture,A,11:00AM - 12:50PM,T,220 Smith Memorial Hall,"Redman, Y & Stone, S"
10,MUSC105,Voice,72629,Lecture,B,11:00AM - 12:50PM,T,220 Smith Memorial Hall,"Siena, J & Stone, S"
11,MUSC105,Voice,72630,Lecture,C,11:00AM - 12:50PM,T,220 Smith Memorial Hall,"Gunn, N & Stone, S"
12,MUSC105,Voice,72631,Lecture,D,11:00AM - 12:50PM,T,220 Smith Memorial Hall,"Harris, D & Stone, S"
13,MUSC105,Voice,72632,Lecture,E,11:00AM - 12:50PM,T,220 Smith Memorial Hall,"Davis, O & Li, Y & Stone, S"
14,MUSC105,Voice,72633,Lecture,F,11:00AM - 12:50PM,T,220 Smith Memorial Hall,"Stone, S"
15,MUSC105,Voice,72634,Lecture,G,11:00AM - 12:50PM,T,220 Smith Memorial Hall,"Herrera, L & Stone, S"
16,MUSC105,Voice,72635,Lecture,H,11:00AM - 12:50PM,T,220 Smith Memorial Hall,"Stone, S & Wigley, S"
17,MUSC105,Voice,72636,Practice,I,ARRANGED,n.a.,Location Pending,"McAdow, L & Stone, S"
18,MUSC105,Voice,72637,Practice,J,ARRANGED,n.a.,Location Pending,"Pedigo, D & Stone, S"
19,MUSC105,Voice,72638,Practice,K,ARRANGED,n.a.,Location Pending,"Esker, T & Stone, S"
20,MUSC105,Voice,72639,Practice,L,ARRANGED,n.a.,Location Pending,"McIntire, M & Wigley, S"
21,MUSC105,Voice,73729,Practice,NM,ARRANGED,n.a.,ARR Smith Memorial Hall,"Stone, S"
22,MUSC105,Voice,73162,Practice,NM1,ARRANGED,n.a.,Location Pending,"McAdow, L"
