,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,NEUR302,Applied Neuroscience,67333,Lecture-Discussion,A,09:00AM - 09:50AM,MWF,23 Psychology Building,"Rhodes, J"
1,NEUR414,"Brain, Learning, and Memory",37252,Lecture,G4,09:30AM - 10:50AM,TR,23 Psychology Building,"Hinman, J"
2,NEUR414,"Brain, Learning, and Memory",37251,Lecture,U3,09:30AM - 10:50AM,TR,23 Psychology Building,"Hinman, J"
3,NEUR432,Genes and Behavior,47551,Lecture,AL1,08:00AM - 09:20AM,TR,2020 Natural History Building,"Dolezal, A"
4,NEUR445,Cognitive Neuroscience Lab,67338,Laboratory,AB1,01:00PM - 02:50PM,W,219A Psychology Building,"Egan, M & Mostame, P & Sadaghiani, S"
5,NEUR445,Cognitive Neuroscience Lab,67339,Laboratory,AB2,03:00PM - 04:50PM,W,219A Psychology Building,"Sadaghiani, S"
6,NEUR445,Cognitive Neuroscience Lab,67337,Lecture-Discussion,AL1,12:00PM - 01:50PM,T,1306 Everitt Laboratory,"Sadaghiani, S"
7,NEUR462,Integrative Neuroscience,60202,Lecture,A,02:00PM - 02:50PM,MWF,1000 Lincoln Hall,"Gillette, M & Gillette, R"
8,NEUR510,Advances in Behavioral Neuroscience,39899,Lecture-Discussion,A,02:00PM - 03:50PM,R,29 Psychology Building,"Gulley, J & Juraska, J & Liang, N"
9,NEUR520,Advanced Topics in Neuroscience,41626,Lecture-Discussion,MBM,04:00PM - 05:00PM,W,Location Pending,"Gillette, M & Kong, H"
10,NEUR520,Advanced Topics in Neuroscience,41202,Lecture-Discussion,PDP,02:30PM - 03:20PM,T,Location Pending,"Tomaszycki, M"
11,NEUR520,Advanced Topics in Neuroscience,66223,Lecture-Discussion,PQL,02:00PM - 03:50PM,M,Location Pending,"Tomaszycki, M"
12,NEUR520,Advanced Topics in Neuroscience,34616,Discussion/ Recitation,SEM,04:00PM - 04:50PM,T,1005 Beckman Institute,"Gillette, M & Tomaszycki, M"
13,NEUR543,Interdisciplinary Approaches to Neuroscience II,68544,Lecture-Discussion,IAN,04:00PM - 05:15PM,MW,4039 Campus Instructional Facility,"Tomaszycki, M"
14,NEUR590,Indiv Topics Neuroscience,10053,Independent Study,,ARRANGED,n.a.,n.a.,
15,NEUR598,Proseminar in Psychology,54912,Lecture-Discussion,A&P,02:00PM - 03:20PM,T,819 Psychology Building,"Hummel, J"
16,NEUR598,Proseminar in Psychology,54898,Lecture-Discussion,BN,12:00PM - 12:50PM,R,815 Psychology Building,"Liang, N"
17,NEUR598,Proseminar in Psychology,54900,Lecture-Discussion,CC,09:30AM - 10:50AM,F,17 Psychology Building,"Todd, N"
18,NEUR598,Proseminar in Psychology,54896,Lecture-Discussion,CN,12:00PM - 01:20PM,M,815 Psychology Building,"Barbey, A"
19,NEUR598,Proseminar in Psychology,54902,Lecture-Discussion,COG,12:00PM - 01:20PM,F,819 Psychology Building,"Hotaling, J"
20,NEUR598,Proseminar in Psychology,54904,Lecture-Discussion,DEV,01:30PM - 02:50PM,F,819 Psychology Building,"Hyde, D"
21,NEUR598,Proseminar in Psychology,68144,Lecture-Discussion,DPC,02:00PM - 03:20PM,W,708 Psychology Building,"Hankin, B"
22,NEUR598,Proseminar in Psychology,64411,Lecture-Discussion,IN2,ARRANGED,n.a.,Location Pending,"Wickesberg, R"
23,NEUR598,Proseminar in Psychology,54906,Lecture-Discussion,IO,02:00PM - 03:20PM,M,508 Psychology Building,"Newman, D"
24,NEUR598,Proseminar in Psychology,57828,Lecture-Discussion,LC,12:00PM - 01:20PM,W,815 Psychology Building,"Federmeier, K"
25,NEUR598,Proseminar in Psychology,57827,Lecture-Discussion,PJC,02:00PM - 03:50PM,M,608 Psychology Building,"Fraley, R"
26,NEUR598,Proseminar in Psychology,54908,Lecture-Discussion,QUA,01:30PM - 02:50PM,W,819 Psychology Building,"Zhang, S"
27,NEUR598,Proseminar in Psychology,54910,Lecture-Discussion,SPO,12:00PM - 01:20PM,M,819 Psychology Building,"Fraley, R"
28,NEUR599,Thesis Research,10055,Independent Study,,ARRANGED,n.a.,n.a.,
