,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,NPRE101,Introduction to Energy Sources,34624,Lecture,A,03:00PM - 03:50PM,MWF,1024 Chemistry Annex,"Mettler, J"
1,NPRE199,Undergraduate Open Seminar,34684,Lecture-Discussion,A,12:00PM - 12:50PM,T,106B1 Engineering Hall,"Meline, B & Uddin, R"
2,NPRE247,Modeling Nuclear Energy System,34695,Lecture-Discussion,C,10:00AM - 10:50AM,MWF,2018 Campus Instructional Facility,"Munk, M"
3,NPRE397,Independent Study,10071,Independent Study,,ARRANGED,n.a.,n.a.,
4,NPRE402,Nuclear Power Engineering,34697,Lecture-Discussion,D3,11:00AM - 11:50AM,MWF,103 Talbot Laboratory,"Ragheb, M"
5,NPRE402,Nuclear Power Engineering,34702,Lecture-Discussion,D4,11:00AM - 11:50AM,MWF,103 Talbot Laboratory,"Ragheb, M"
6,NPRE402,Nuclear Power Engineering,72560,Online,ONL,ARRANGED,n.a.,n.a.,"Ragheb, M"
7,NPRE421,Plasma and Fusion Science,34715,Lecture-Discussion,L,09:30AM - 10:50AM,TR,4039 Campus Instructional Facility,"Curreli, D"
8,NPRE429,Plasma Engineering,68869,Lecture-Discussion,D1,02:00PM - 02:50PM,MWF,1038 Campus Instructional Facility,"Ruzic, D"
9,NPRE441,Radiation Protection,34725,Lecture-Discussion,E,12:00PM - 01:50PM,MW,3018 Campus Instructional Facility,"Meng, L"
10,NPRE442,Radioactive Waste Management,48424,Lecture-Discussion,A,03:30PM - 04:50PM,TR,3018 Campus Instructional Facility,"Roy, W"
11,NPRE447,Radiation Interact w/Matter II,34729,Lecture-Discussion,D,03:00PM - 04:50PM,MW,103 Talbot Laboratory,"Zhang, Y"
12,NPRE451,NPRE Laboratory,57428,Laboratory,AB5,05:00PM - 08:50PM,R,101B Talbot Laboratory,"Di Fulvio, A & Heuser, B"
13,NPRE451,NPRE Laboratory,57429,Laboratory,AB6,12:00PM - 03:50PM,F,101B Talbot Laboratory,"Di Fulvio, A & Heuser, B"
14,NPRE451,NPRE Laboratory,34751,Lecture-Discussion,AE1,09:00AM - 09:50AM,MW,1035 Campus Instructional Facility,"Di Fulvio, A & Heuser, B"
15,NPRE452,Advanced Radiological Science Lab,73013,Laboratory,G,05:00PM - 08:50PM,T,Location Pending,"Di Fulvio, A"
16,NPRE452,Advanced Radiological Science Lab,73014,Lecture-Discussion,G1,11:00AM - 11:50AM,W,0036 Campus Instructional Facility,"Di Fulvio, A"
17,NPRE452,Advanced Radiological Science Lab,73012,Laboratory,UG,05:00PM - 08:50PM,T,Location Pending,"Di Fulvio, A"
18,NPRE455,Neutron Diffusion & Transport,34761,Lecture-Discussion,N,01:30PM - 03:20PM,TR,4039 Campus Instructional Facility,"Kozlowski, T"
19,NPRE458,Design in NPRE,34764,Lecture-Discussion,A,03:00PM - 04:50PM,W,2233 Everitt Laboratory,"Stubbins, J"
20,NPRE470,Fuel Cells & Hydrogen Sources,53124,Lecture-Discussion,A,02:00PM - 03:20PM,TR,103 Talbot Laboratory,"Kim, K"
21,NPRE475,Wind Power Systems,53129,Lecture-Discussion,GR,02:00PM - 02:50PM,MWF,4025 Campus Instructional Facility,"Ragheb, M"
22,NPRE475,Wind Power Systems,72562,Online,ONL,ARRANGED,n.a.,n.a.,"Ragheb, M"
23,NPRE475,Wind Power Systems,53126,Lecture-Discussion,UG,02:00PM - 02:50PM,MWF,4025 Campus Instructional Facility,"Ragheb, M"
24,NPRE480,Energy and Security,57048,Discussion/ Recitation,AD2,12:30PM - 01:50PM,R,218 Ceramics Building,"Uddin, R"
25,NPRE480,Energy and Security,34770,Lecture-Discussion,AE1,12:30PM - 01:50PM,T,403B2 Engineering Hall,"Uddin, R"
26,NPRE480,Energy and Security,72563,Online,ONL,ARRANGED,n.a.,n.a.,"Uddin, R"
27,NPRE483,Seminar on Security,34783,Lecture-Discussion,A,04:00PM - 04:50PM,M,2036 Campus Instructional Facility,"Stubbins, J"
28,NPRE498,Special Topics,63973,Lecture-Discussion,ESG,01:00PM - 01:50PM,MWF,2018 Campus Instructional Facility,"Ragheb, M"
29,NPRE498,Special Topics,63972,Lecture-Discussion,ESU,01:00PM - 01:50PM,MWF,2018 Campus Instructional Facility,"Ragheb, M"
30,NPRE498,Special Topics,62345,Lecture-Discussion,PLC,11:00AM - 12:20PM,TR,3018 Campus Instructional Facility,"Sankaran, R"
31,NPRE511,Nuclear Reactor Heat Transfer,40726,Lecture-Discussion,CB,11:00AM - 12:50PM,TR,204 Transportation Building,"Brooks, C"
