,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,NRES100,Fundamentals of Env Sci,34947,Online,AL1,ARRANGED,n.a.,n.a.,"Ugarte, C"
1,NRES101,Wildlife Conservation in the 21st Century,60210,Online,A,ARRANGED,n.a.,n.a.,"Ward, M"
2,NRES105,Climate Change Impacts on Ecological Systems,69995,Online,A,ARRANGED,n.a.,n.a.,"Fraterrigo, J"
3,NRES108,Env Sc & Nat Resource Careers,58186,Online,A,ARRANGED,n.a.,n.a.,"Hodson, P"
4,NRES108,Env Sc & Nat Resource Careers,59551,Online,ESE,ARRANGED,n.a.,n.a.,"Hodson, P"
5,NRES201,Introductory Soils,34987,Laboratory,AB1,02:00PM - 04:50PM,M,W25 Turner Hall,"Arai, Y"
6,NRES201,Introductory Soils,34978,Laboratory,AB2,02:00PM - 04:50PM,T,W25 Turner Hall,"Arai, Y"
7,NRES201,Introductory Soils,34965,Laboratory,AB3,02:00PM - 04:50PM,W,W25 Turner Hall,"Arai, Y"
8,NRES201,Introductory Soils,34955,Laboratory,AB4,02:00PM - 04:50PM,R,W25 Turner Hall,"Arai, Y"
9,NRES201,Introductory Soils,34993,Online Lecture,AL1,ARRANGED,n.a.,n.a.,"Arai, Y"
10,NRES210,Environmental Economics,30548,Online Discussion,AD2,10:00AM - 10:50AM,F,n.a.,"Cai, C & Damon, L"
11,NRES210,Environmental Economics,30551,Online Discussion,AD3,11:00AM - 11:50AM,F,n.a.,"Cai, C & Damon, L"
12,NRES210,Environmental Economics,30553,Online Discussion,AD4,12:00PM - 12:50PM,F,n.a.,"Damon, L & Hsieh, H"
13,NRES210,Environmental Economics,55325,Online Discussion,AD6,02:00PM - 02:50PM,F,n.a.,"Damon, L & Hsieh, H"
14,NRES210,Environmental Economics,30555,Lecture,AL1,03:00PM - 03:50PM,MW,103 Mumford Hall,"Damon, L"
15,NRES220,Communicating Agriculture,52699,Laboratory-Discussion,A,12:30PM - 01:50PM,TR,215B David Kinley Hall,"Roberts, O"
16,NRES220,Communicating Agriculture,73167,Laboratory-Discussion,B,12:30PM - 01:50PM,TR,215B David Kinley Hall,"Roberts, O"
17,NRES223,Watching the Environment,63481,Online,AR1,05:00PM - 07:50PM,TR,n.a.,"Brazee, R"
18,NRES242,Nature and American Culture,61462,Online,ONA,ARRANGED,n.a.,n.a.,"Jeong, W & Kaczorowski, J & Santos, C"
19,NRES242,Nature and American Culture,61465,Online,ONB,ARRANGED,n.a.,n.a.,"Jeong, W & Kaczorowski, J & Santos, C"
20,NRES285,Field Experience,48838,Online,CHT,10:00AM - 10:50AM,M,n.a.,"Brawn, J & Morgan, S & Vyas, D"
21,NRES285,Field Experience,70758,Laboratory-Discussion,CSF,08:00AM - 04:00PM,S,Location Pending,"Hayek, J"
22,NRES285,Field Experience,41977,Lecture-Discussion,ESA,ARRANGED,n.a.,Location Pending,"Brazee, R & Reisner, A"
23,NRES285,Field Experience,46780,Laboratory-Discussion,FWF,ARRANGED,n.a.,Location Pending,"Dreslik, M & Larson, E & O'Keefe, J & Schooley, R & Suski, C & Ward, M"
24,NRES285,Field Experience,52952,Laboratory-Discussion,SIA,09:30AM - 10:50AM,TR,337 National Soybean Res Ctr,"Green, E & Moore, M"
25,NRES285,Field Experience,41120,Laboratory-Discussion,SLF,09:00AM - 01:00PM,S,W13 Turner Hall,"Jog, S"
26,NRES285,Field Experience,48844,Laboratory-Discussion,SPF,02:00PM - 04:50PM,T,S509 Turner Hall,"Ashmore, A"
27,NRES287,Environment and Society,52472,Discussion/ Recitation,AD1,01:00PM - 01:50PM,F,316S Mumford Hall,"Golebie, E & Sharma, S"
28,NRES287,Environment and Society,52478,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,W115 Turner Hall,"Golebie, E & Joffe-Nelson, N"
29,NRES287,Environment and Society,52484,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,316S Mumford Hall,"Golebie, E & Sharma, S"
30,NRES287,Environment and Society,52492,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,316S Mumford Hall,"Golebie, E & Sharma, S"
31,NRES287,Environment and Society,55543,Discussion/ Recitation,AD6,01:00PM - 01:50PM,F,382 Education Building,"Golebie, E & Shin, S"
32,NRES287,Environment and Society,68925,Discussion/ Recitation,AD7,12:00PM - 12:50PM,F,W115 Turner Hall,"Golebie, E & Joffe-Nelson, N"
33,NRES287,Environment and Society,68933,Discussion/ Recitation,AD9,11:00AM - 11:50AM,F,382 Education Building,"Golebie, E & Shin, S"
34,NRES287,Environment and Society,41122,Lecture,AL1,01:00PM - 01:50PM,MW,103 Mumford Hall,"Golebie, E"
35,NRES293,Professional Internship,10092,Independent Study,,ARRANGED,n.a.,n.a.,
36,NRES293,Professional Internship,71243,Lecture-Discussion,ESA,ARRANGED,n.a.,Location Pending,"Brazee, R & Reisner, A"
37,NRES294,Resident Internship,10086,Independent Study,,ARRANGED,n.a.,n.a.,
38,NRES295,Undergrad Research or Thesis,10096,Independent Study,,ARRANGED,n.a.,n.a.,
39,NRES310,Natural Resource Economics,60473,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,"29 ACES Lib, Info & Alum Ctr","Brazee, R"
