,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,NUTR426,Biochemical Nutrition I,64969,Lecture,A,12:30PM - 01:50PM,TR,328 Bevier Hall,"Pan, Y"
1,NUTR427,Biochemical Nutrition II,33032,Lecture,G,11:00AM - 12:20PM,TR,132 Bevier Hall,"Chen, H"
2,NUTR500,Nutritional Sciences Seminar,35375,Seminar,A,04:00PM - 04:50PM,W,150 Animal Sciences Laboratory,"McKim, D"
3,NUTR510,Topics in Nutrition Research,46804,Online,B,03:00PM - 04:20PM,TR,n.a.,"Hartke, J"
4,NUTR511,Regulation of Metabolism,35377,Discussion/ Recitation,AD1,02:00PM - 02:50PM,F,W203 Turner Hall,"Dilger, R & Loor, J & Nakamura, M"
5,NUTR511,Regulation of Metabolism,35382,Lecture,AL1,02:00PM - 02:50PM,MTWR,W203 Turner Hall,"Dilger, R & Loor, J & Nakamura, M"
6,NUTR520,Protein and Energy Nutrition,68246,Online,A,ARRANGED,n.a.,n.a.,"Drackley, J & Novakofski, J & Stein, H"
7,NUTR522,Function and Metabolism of Essential Fatty Acids and Cholesterol,70753,Lecture,A,09:00AM - 09:50AM,MW,242 Bevier Hall,"Nakamura, M"
8,NUTR526,Adv Companion Animal Nutrition,71525,Lecture-Discussion,A,12:30PM - 01:50PM,TR,Location Pending,"Cattai de Godoy, M & Swanson, K"
9,NUTR561,Advanced Clinical Nutrition,35400,Lecture,A,11:00AM - 12:20PM,TR,313 Mumford Hall,"Holscher, H"
10,NUTR590,Disciplinary Seminar,51601,Lecture-Discussion,C,09:00AM - 10:50AM,W,ARR E R Madigan Laboratory,"Demejia, E"
11,NUTR591,Animal Sciences Seminar,68751,Online,A1,12:00PM - 12:50PM,R,n.a.,"Rodriguez Zas, S"
12,NUTR591,Animal Sciences Seminar,68752,Online,A2,12:00PM - 12:50PM,R,n.a.,"Rodriguez Zas, S"
13,NUTR591,Animal Sciences Seminar,68754,Seminar,B0,02:00PM - 02:50PM,T,292 Animal Sciences Laboratory,"Koelkebeck, K"
14,NUTR591,Animal Sciences Seminar,68755,Seminar,B1,02:00PM - 02:50PM,T,292 Animal Sciences Laboratory,"Koelkebeck, K"
15,NUTR591,Animal Sciences Seminar,68756,Seminar,B2,02:00PM - 02:50PM,T,292 Animal Sciences Laboratory,"Koelkebeck, K"
16,NUTR591,Animal Sciences Seminar,68759,Seminar,C0,02:00PM - 02:50PM,T,292 Animal Sciences Laboratory,"Koelkebeck, K"
17,NUTR591,Animal Sciences Seminar,68760,Seminar,C1,02:00PM - 02:50PM,T,292 Animal Sciences Laboratory,"Koelkebeck, K"
18,NUTR591,Animal Sciences Seminar,68761,Seminar,C2,02:00PM - 02:50PM,T,292 Animal Sciences Laboratory,"Koelkebeck, K"
19,NUTR591,Animal Sciences Seminar,68762,Seminar,D0,ARRANGED,n.a.,Location Pending,
20,NUTR591,Animal Sciences Seminar,68763,Seminar,D1,ARRANGED,n.a.,Location Pending,
21,NUTR591,Animal Sciences Seminar,68764,Seminar,D2,ARRANGED,n.a.,Location Pending,
22,NUTR591,Animal Sciences Seminar,68765,Seminar,E0,12:00PM - 12:50PM,W,292 Animal Sciences Laboratory,"Loor, J"
23,NUTR591,Animal Sciences Seminar,68766,Seminar,E1,12:00PM - 12:50PM,W,292 Animal Sciences Laboratory,"Loor, J"
24,NUTR591,Animal Sciences Seminar,68772,Online,F0,04:00PM - 05:20PM,W,n.a.,"Qiao, H & Wang, B"
25,NUTR591,Animal Sciences Seminar,68773,Online,F1,04:00PM - 05:20PM,W,n.a.,"Qiao, H & Wang, B"
26,NUTR591,Animal Sciences Seminar,68775,Online,F2,04:00PM - 05:20PM,W,n.a.,"Qiao, H & Wang, B"
27,NUTR591,Animal Sciences Seminar,68770,Seminar,G0,12:00PM - 12:50PM,W,131 Animal Sciences Laboratory,"Parsons, C"
28,NUTR591,Animal Sciences Seminar,68771,Seminar,G1,12:00PM - 12:50PM,W,131 Animal Sciences Laboratory,"Parsons, C"
29,NUTR591,Animal Sciences Seminar,68781,Seminar,H0,04:00PM - 04:50PM,T,404 Animal Sciences Laboratory,"Mackie, R"
30,NUTR591,Animal Sciences Seminar,68782,Seminar,H1,04:00PM - 04:50PM,T,404 Animal Sciences Laboratory,"Mackie, R"
31,NUTR591,Animal Sciences Seminar,68783,Seminar,H2,04:00PM - 04:50PM,T,404 Animal Sciences Laboratory,"Mackie, R"
32,NUTR591,Animal Sciences Seminar,68777,Seminar,I1,10:00AM - 10:50AM,W,292 Animal Sciences Laboratory,"Antonson, A"
33,NUTR591,Animal Sciences Seminar,68778,Seminar,M0,12:00PM - 12:50PM,F,396 Animal Sciences Laboratory,"Wheeler, M"
34,NUTR591,Animal Sciences Seminar,68779,Seminar,M1,12:00PM - 12:50PM,F,396 Animal Sciences Laboratory,"Wheeler, M"
35,NUTR591,Animal Sciences Seminar,68780,Seminar,M2,12:00PM - 12:50PM,F,396 Animal Sciences Laboratory,"Wheeler, M"
36,NUTR591,Animal Sciences Seminar,74012,Lecture-Discussion,PM1,02:00PM - 02:50PM,W,Location Pending,"Condotta, I"
37,NUTR593,Individual Topics in Nutrition,10117,Independent Study,,ARRANGED,n.a.,n.a.,
38,NUTR599,Thesis Research,10119,Independent Study,,ARRANGED,n.a.,n.a.,
