,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,PATH290,Undergraduate Research,44077,Independent Study,,ARRANGED,n.a.,n.a.,
1,PATH410,Comparative Immunobiology,51024,Lecture-Discussion,A,12:30PM - 01:50PM,TR,150 Animal Sciences Laboratory,"Steelman, A"
2,PATH527,Parasitology/Epidemiology Sem,69558,Lecture-Discussion,B,04:00PM - 04:50PM,M,2018 Campus Instructional Facility,"Smith, R"
3,PATH542,Ocular Pathology,63537,Lecture-Discussion,A,08:00AM - 08:50AM,W,Location Pending,"Roady, P & Samuelson, J"
4,PATH545,Vet Diagnostic Path 1,44081,Laboratory-Discussion,A,ARRANGED,n.a.,Location Pending,"Baumgartner, W & Fredrickson, R & Hsiao, S & Roady, P & Samuelson, J & Vieson, M"
5,PATH546,Vet Diagnostic Path 2,44082,Laboratory-Discussion,A,ARRANGED,n.a.,Location Pending,"Baumgartner, W & Fredrickson, R & Hsiao, S & Roady, P & Samuelson, J & Vieson, M"
6,PATH547,Pathology Seminar,44083,Discussion/ Recitation,1,08:00AM - 09:30AM,M,2506 Vet Med Basic Sciences Bldg,"Baumgartner, W & Connolly, S & Fredrickson, R & Hsiao, S & Roady, P & Samuelson, J & Schnelle, A & Vieson, M"
7,PATH551,Interpretive Cytopathology,44086,Online Lecture,AL1,ARRANGED,n.a.,n.a.,"Schnelle, A"
8,PATH551,Interpretive Cytopathology,44085,Online Discussion,AY1,ARRANGED,n.a.,n.a.,"Schnelle, A"
9,PATH552,Diagnostic Cytology,58478,Laboratory-Discussion,A,ARRANGED,n.a.,Location Pending,"Barger, A & Connolly, S & Rosser, M & Schnelle, A"
10,PATH556,Exotic/Wild Animal Diag Path 1,44087,Laboratory-Discussion,A,ARRANGED,n.a.,Location Pending,"Colegrove-Calvey, K & Delaney, M & Landolfi, J & Terio, K"
11,PATH557,Exotic/Wild Animal Diag Path 2,44088,Laboratory-Discussion,A,ARRANGED,n.a.,Location Pending,"Colegrove-Calvey, K & Delaney, M & Landolfi, J & Terio, K"
12,PATH558,Exotic/Wild Animal Path Sem,44089,Discussion/ Recitation,A,ARRANGED,n.a.,Location Pending,"Colegrove-Calvey, K & Delaney, M & Kinsel, M & Landolfi, J & Terio, K"
13,PATH559,Surgical Pathology,44090,Conference,A,ARRANGED,n.a.,Location Pending,"Baumgartner, W & Delaney, M & Fredrickson, R & Hsiao, S & Landolfi, J & Roady, P & Samuelson, J & Vieson, M"
14,PATH575,Vet Info Tech/Computer App,73476,Laboratory,A,ARRANGED,n.a.,Location Pending,"Lowe, J"
15,PATH576,Communication Vet Consultation,73477,Online Lecture,A,ARRANGED,n.a.,n.a.,"Lowe, J"
16,PATH578,Veterinary Business Management,44093,Online Lecture,A,ARRANGED,n.a.,n.a.,"Lowe, J"
17,PATH590,Seminar,48785,Independent Study,,ARRANGED,n.a.,n.a.,
18,PATH592,Special Problems,44115,Independent Study,,ARRANGED,n.a.,n.a.,
19,PATH592,Special Problems,58130,Conference,JC,ARRANGED,W,Location Pending,"Yoo, D"
20,PATH596,Interdisciplinary Tox Sem,44099,Lecture-Discussion,A,12:00PM - 12:50PM,F,3526 Vet Med Basic Sciences Bldg,"Flaws, J & Johnson, R & Lane, S & Schantz, S"
21,PATH598,Non-Thesis Research,44100,Independent Study,,ARRANGED,n.a.,n.a.,
22,PATH599,Thesis Research,47617,Independent Study,,ARRANGED,n.a.,n.a.,
23,PATH692,Special Problems,44172,Independent Study,,ARRANGED,n.a.,null Vet Med Basic Sciences Bldg,
