,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,PHIL100,Intro to Philosophy-ACP,49928,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,108 English Building,"Madruga, M & Neufeld, E"
1,PHIL100,Intro to Philosophy-ACP,49930,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,108 English Building,"Madruga, M & Neufeld, E"
2,PHIL100,Intro to Philosophy-ACP,66678,Discussion/ Recitation,AD7,10:00AM - 10:50AM,F,259 English Building,"Lopez Romero, A & Neufeld, E"
3,PHIL100,Intro to Philosophy-ACP,66679,Discussion/ Recitation,AD8,01:00PM - 01:50PM,F,327 Gregory Hall,"Lopez Romero, A & Neufeld, E"
4,PHIL100,Intro to Philosophy-ACP,49927,Lecture,AL1,01:00PM - 01:50PM,MW,120 Architecture Building,"Neufeld, E"
5,PHIL101,Introduction to Philosophy,54421,Lecture-Discussion,A1,09:30AM - 10:50AM,TR,310 David Kinley Hall,"Mischler, S"
6,PHIL101,Introduction to Philosophy,54422,Lecture-Discussion,A2,11:00AM - 12:20PM,TR,310 David Kinley Hall,"Mischler, S"
7,PHIL101,Introduction to Philosophy,35410,Lecture-Discussion,AL1,11:00AM - 11:50AM,MWF,315 Gregory Hall,"Shatalov, K"
8,PHIL101,Introduction to Philosophy,43843,Lecture-Discussion,B1,12:30PM - 01:50PM,TR,310 David Kinley Hall,"Bruckler, S"
9,PHIL101,Introduction to Philosophy,35430,Lecture-Discussion,B2,02:00PM - 03:20PM,TR,310 David Kinley Hall,"Bruckler, S"
10,PHIL102,Logic and Reasoning,66739,Online,ONL,ARRANGED,n.a.,n.a.,"Baume, R & Bu, X & Fitts, J & McCleskey, C & Nowakowski, P & Schmidt, A & Vanderbeek, R"
11,PHIL103,Logic and Reasoning QR II,35439,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,1136 Foreign Languages Building,"Louzon, N & Weaver, C"
12,PHIL103,Logic and Reasoning QR II,35440,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,1136 Foreign Languages Building,"Louzon, N & Weaver, C"
13,PHIL103,Logic and Reasoning QR II,35441,Discussion/ Recitation,AD3,01:00PM - 01:50PM,F,1136 Foreign Languages Building,"Louzon, N & Weaver, C"
14,PHIL103,Logic and Reasoning QR II,35443,Lecture,AL1,10:00AM - 10:50AM,MW,319 Gregory Hall,"Weaver, C"
15,PHIL104,Intro to Ethics-ACP,43088,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,221 Gregory Hall,"Bojanowski, J & Roman, J"
16,PHIL104,Intro to Ethics-ACP,43090,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,1030 Foreign Languages Building,"Bojanowski, J & Carlson, A"
17,PHIL104,Intro to Ethics-ACP,67851,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,221 Gregory Hall,"Bojanowski, J & Roman, J"
18,PHIL104,Intro to Ethics-ACP,67852,Discussion/ Recitation,AD6,01:00PM - 01:50PM,F,1030 Foreign Languages Building,"Bojanowski, J & Carlson, A"
19,PHIL104,Intro to Ethics-ACP,41132,Lecture,AL1,01:00PM - 01:50PM,MW,160 English Building,"Bojanowski, J"
20,PHIL105,Introduction to Ethics,35449,Lecture-Discussion,S1,12:30PM - 01:50PM,TR,1128 Foreign Languages Building,"Rowe, J"
21,PHIL105,Introduction to Ethics,35457,Lecture-Discussion,S2,02:00PM - 03:20PM,TR,1128 Foreign Languages Building,"Rowe, J"
22,PHIL107,Intro to Political Philosophy,35458,Lecture-Discussion,A1,02:00PM - 03:20PM,MW,336 Davenport Hall,"Vanderbeek, R"
23,PHIL110,World Religions,37947,Discussion/ Recitation,ADA,10:00AM - 10:50AM,F,214 Davenport Hall,"Ward, M"
24,PHIL110,World Religions,37951,Discussion/ Recitation,ADB,11:00AM - 11:50AM,F,214 Davenport Hall,"Ward, M"
25,PHIL110,World Religions,37955,Discussion/ Recitation,ADC,12:00PM - 12:50PM,F,214 Davenport Hall,"Ward, M"
