,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,PHYS101,College Physics: Mech & Heat,35570,Lecture,A1,09:00AM - 09:50AM,MW,151 Loomis Laboratory,"Gammie, C"
1,PHYS101,College Physics: Mech & Heat,35571,Lecture,A2,10:00AM - 10:50AM,MW,151 Loomis Laboratory,"Gammie, C"
2,PHYS101,College Physics: Mech & Heat,41684,Discussion/ Recitation,D2A,08:00AM - 09:50AM,T,2025 Campus Instructional Facility,"Kim, S"
3,PHYS101,College Physics: Mech & Heat,48227,Discussion/ Recitation,D2E,10:00AM - 11:50AM,T,2025 Campus Instructional Facility,"Loveridge, T"
4,PHYS101,College Physics: Mech & Heat,41584,Discussion/ Recitation,D2J,12:00PM - 01:50PM,T,2025 Campus Instructional Facility,"Koch, P"
5,PHYS101,College Physics: Mech & Heat,46754,Discussion/ Recitation,D2M,02:00PM - 03:50PM,T,4018 Campus Instructional Facility,"Williams, G"
6,PHYS101,College Physics: Mech & Heat,35583,Discussion/ Recitation,D2R,04:00PM - 05:50PM,T,1038 Campus Instructional Facility,"Koch, P"
7,PHYS101,College Physics: Mech & Heat,35572,Discussion/ Recitation,D3A,08:00AM - 09:50AM,W,2025 Campus Instructional Facility,"Schwarz, G"
8,PHYS101,College Physics: Mech & Heat,35576,Discussion/ Recitation,D3E,10:00AM - 11:50AM,W,2025 Campus Instructional Facility,"Koch, P"
9,PHYS101,College Physics: Mech & Heat,35639,Discussion/ Recitation,D3J,12:00PM - 01:50PM,W,2025 Campus Instructional Facility,"Osborne, I"
10,PHYS101,College Physics: Mech & Heat,35578,Discussion/ Recitation,D3M,02:00PM - 03:50PM,W,2025 Campus Instructional Facility,"Echevers, J"
11,PHYS101,College Physics: Mech & Heat,35579,Discussion/ Recitation,D3R,04:00PM - 05:50PM,W,3018 Campus Instructional Facility,"Loveridge, T"
12,PHYS101,College Physics: Mech & Heat,35590,Discussion/ Recitation,D4A,08:00AM - 09:50AM,R,2025 Campus Instructional Facility,"Schwarz, G"
13,PHYS101,College Physics: Mech & Heat,35598,Discussion/ Recitation,D4E,10:00AM - 11:50AM,R,2025 Campus Instructional Facility,"Osborne, I"
14,PHYS101,College Physics: Mech & Heat,40186,Discussion/ Recitation,D4J,12:00PM - 01:50PM,R,2025 Campus Instructional Facility,"Schwarz, G"
15,PHYS101,College Physics: Mech & Heat,35758,Discussion/ Recitation,D4M,04:00PM - 05:50PM,R,2036 Campus Instructional Facility,"Loveridge, T"
16,PHYS101,College Physics: Mech & Heat,41683,Laboratory,L3E,10:00AM - 12:50PM,W,4018 Campus Instructional Facility,"Aksimentiev, A"
17,PHYS101,College Physics: Mech & Heat,59000,Laboratory,L3J,01:00PM - 03:50PM,W,4018 Campus Instructional Facility,"Bolan, K"
18,PHYS101,College Physics: Mech & Heat,35764,Laboratory,L3R,04:00PM - 06:50PM,W,4018 Campus Instructional Facility,"Bolan, K"
19,PHYS101,College Physics: Mech & Heat,35766,Laboratory,L4A,08:00AM - 10:50AM,R,4018 Campus Instructional Facility,"Honeycutt, A"
20,PHYS101,College Physics: Mech & Heat,35767,Laboratory,L4E,11:00AM - 01:50PM,R,4018 Campus Instructional Facility,"Bolan, K"
21,PHYS101,College Physics: Mech & Heat,35768,Laboratory,L4J,02:00PM - 04:50PM,R,4018 Campus Instructional Facility,"Nakib, M"
22,PHYS101,College Physics: Mech & Heat,35769,Laboratory,L4R,05:00PM - 07:50PM,R,4018 Campus Instructional Facility,"Honeycutt, A"
23,PHYS101,College Physics: Mech & Heat,35770,Laboratory,L5A,08:00AM - 10:50AM,F,4018 Campus Instructional Facility,"Nakib, M"
