,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,PORT150,Writing Brazilians into the U.S.,71636,Online,B,02:00PM - 03:20PM,MW,n.a.,"Karam, J"
1,PORT199,Undergraduate Open Seminar,10205,Independent Study,,ARRANGED,n.a.,n.a.,
2,PORT400,Intensive Beginning Portuguese,68542,Lecture-Discussion,C,09:00AM - 09:50AM,MWF,1126 Foreign Languages Building,"Goebel, R & Mendes Felix, D"
3,PORT400,Intensive Beginning Portuguese,68543,Lecture-Discussion,F,02:00PM - 03:20PM,TR,G20 Foreign Languages Building,"Goebel, R"
4,PORT401,Intensive Intermediate Portuguese,68548,Lecture-Discussion,X,12:00PM - 12:50PM,MWF,1040 Foreign Languages Building,"Goebel, R & Mendes Felix, D"
5,PORT404,Studies in Luso-Brazilian Culture,73832,Online Lecture,BT,ARRANGED,n.a.,n.a.,"Goebel, R"
6,PORT404,Studies in Luso-Brazilian Culture,73831,Online Lecture,BTH,ARRANGED,n.a.,n.a.,"Goebel, R"
7,PORT404,Studies in Luso-Brazilian Culture,37002,Online Lecture,G4,ARRANGED,n.a.,n.a.,"Goebel, R"
8,PORT404,Studies in Luso-Brazilian Culture,55708,Online Lecture,U3,ARRANGED,n.a.,n.a.,"Goebel, R"
9,PORT410,Topics in Brazilian Literature,37003,Lecture-Discussion,D,03:30PM - 04:50PM,TR,1134 Foreign Languages Building,"Jobim De Salles Fonseca, J"
10,PORT435,Introduction to Romance Linguistics,64883,Lecture-Discussion,G4,12:00PM - 12:50PM,MWF,G20 Foreign Languages Building,"Hualde, J"
11,PORT435,Introduction to Romance Linguistics,58570,Lecture-Discussion,U3,12:00PM - 12:50PM,MWF,G20 Foreign Languages Building,"Hualde, J"
12,PORT460,Principles of Language Testing,32945,Lecture-Discussion,G4,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
13,PORT460,Principles of Language Testing,32943,Lecture-Discussion,U3,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
14,PORT489,Theoretical Foundations of SLA,32975,Lecture-Discussion,G4,01:00PM - 01:50PM,MWF,G18 Foreign Languages Building,"Pierce, L"
15,PORT489,Theoretical Foundations of SLA,32973,Lecture-Discussion,U3,01:00PM - 01:50PM,MWF,G18 Foreign Languages Building,"Pierce, L"
16,PORT559,Sem Romance Ling,41598,Lecture-Discussion,A,03:00PM - 04:50PM,R,336 Davenport Hall,"Fagyal, Z"
17,PORT588,Sem Second Lang Learn,57108,Lecture-Discussion,SM,02:00PM - 04:50PM,M,1024 Foreign Languages Building,"Montrul, S"
18,PORT588,Sem Second Lang Learn,57512,Lecture-Discussion,XY,02:00PM - 03:20PM,TR,G8A Foreign Languages Building,"Yan, X"
19,PORT595,Special Topics Port & Braz Lit,10207,Independent Study,,ARRANGED,n.a.,n.a.,
20,PORT595,Special Topics Port & Braz Lit,25627,Lecture-Discussion,GG,ARRANGED,n.a.,Location Pending,
21,PORT599,Thesis Research,10210,Independent Study,,ARRANGED,n.a.,n.a.,
