,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,PS100,Intro to Political Science,37946,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,106 David Kinley Hall,"Cho, J"
1,PS100,Intro to Political Science,37949,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,106 David Kinley Hall,"Cho, J"
2,PS100,Intro to Political Science,37952,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,106 David Kinley Hall,"Cho, J"
3,PS100,Intro to Political Science,37958,Discussion/ Recitation,AD4,10:00AM - 10:50AM,F,206 David Kinley Hall,"Yoo, J"
4,PS100,Intro to Political Science,37961,Discussion/ Recitation,AD5,02:00PM - 02:50PM,F,106 David Kinley Hall,"Yoo, J"
5,PS100,Intro to Political Science,37968,Discussion/ Recitation,AD6,01:00PM - 01:50PM,F,106 David Kinley Hall,"Yoo, J"
6,PS100,Intro to Political Science,37971,Lecture,AL1,11:00AM - 11:50AM,MW,150 Animal Sciences Laboratory,"Kourtikakis, K"
7,PS101,Intro to US Gov & Pol,37978,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,3018 Campus Instructional Facility,"Ahn, S"
8,PS101,Intro to US Gov & Pol,37981,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,3018 Campus Instructional Facility,"Ahn, S"
9,PS101,Intro to US Gov & Pol,37985,Discussion/ Recitation,AD4,01:00PM - 01:50PM,F,3018 Campus Instructional Facility,"Ahn, S"
10,PS101,Intro to US Gov & Pol,37989,Discussion/ Recitation,AD5,02:00PM - 02:50PM,F,3018 Campus Instructional Facility,"Moreira, J"
11,PS101,Intro to US Gov & Pol,38041,Lecture,AL1,04:00PM - 04:50PM,TR,3031 Campus Instructional Facility,"Sin, G"
12,PS125,Washington Experience,67575,Lecture-Discussion,IIW,12:00PM - 02:30PM,F,Location Pending,"Mayer, A"
13,PS152,The New Middle East,65363,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,212 David Kinley Hall,"Gong, D"
14,PS152,The New Middle East,72044,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,212 David Kinley Hall,"Gong, D"
15,PS152,The New Middle East,72045,Discussion/ Recitation,AD5,02:00PM - 02:50PM,F,212 David Kinley Hall,"Gong, D"
16,PS152,The New Middle East,65360,Lecture,AL1,02:00PM - 02:50PM,MW,114 David Kinley Hall,"Livny, A"
17,PS199,Undergraduate Open Seminar,55050,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,108 David Kinley Hall,"Rha, Y"
18,PS199,Undergraduate Open Seminar,56093,Lecture,AL1,09:00AM - 09:50AM,MW,319 Gregory Hall,"Yang, Y"
19,PS199,Undergraduate Open Seminar,43731,Online,OL1,ARRANGED,n.a.,n.a.,"Grossman, N"
20,PS201,US Racial & Ethnic Politics,38765,Online,OL1,ARRANGED,n.a.,n.a.,"Agosto Rosa, R"
21,PS201,US Racial & Ethnic Politics,38764,Online,OL2,ARRANGED,n.a.,n.a.,"Jung, S"
22,PS201,US Racial & Ethnic Politics,38763,Online,OL3,ARRANGED,n.a.,n.a.,"Khan, A"
23,PS201,US Racial & Ethnic Politics,38762,Online,OL4,ARRANGED,n.a.,n.a.,"Cho, H"
24,PS220,Intro to Public Policy,46278,Online,FM2,ARRANGED,n.a.,n.a.,"Ashley, J"
25,PS224,Politics of the National Parks,66260,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 03/14/22-05/04/22</span></i>",B,ARRANGED,n.a.,Location Pending,"Pahre, B"
26,PS225,Environmental Politics & Policy,61932,Online,A,09:30AM - 10:50AM,TR,n.a.,"Pahre, B"
27,PS230,Intro to Pol Research,49001,Lecture-Discussion,A,04:00PM - 05:20PM,MW,108 David Kinley Hall,"Kim, S"
28,PS230,Intro to Pol Research,49002,Lecture-Discussion,B,12:30PM - 01:50PM,TR,215 David Kinley Hall,"Moreira, J"
29,PS231,Strategic Models,71944,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,310 David Kinley Hall,"Mullins, S"
30,PS231,Strategic Models,56992,Lecture,AL1,10:00AM - 10:50AM,MW,4025 Campus Instructional Facility,"Carroll, R"
31,PS240,Intro to Comp Politics,38134,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,115 David Kinley Hall,"Huh, S"
32,PS240,Intro to Comp Politics,38136,Discussion/ Recitation,AD4,01:00PM - 01:50PM,F,115 David Kinley Hall,"Huh, S"
33,PS240,Intro to Comp Politics,38137,Discussion/ Recitation,AD5,02:00PM - 02:50PM,F,115 David Kinley Hall,"Huh, S"
34,PS240,Intro to Comp Politics,38142,Lecture,AL1,03:00PM - 03:50PM,MW,114 David Kinley Hall,"Livny, A"
35,PS270,Intro to Political Theory,38149,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,219 David Kinley Hall,"Choi, K"
36,PS270,Intro to Political Theory,38178,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,219 David Kinley Hall,"Lee, Y"
