,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,PSM501,PSM Industry Seminar I,73761,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Bosecker, N & Schmidt, B"
1,PSM501,PSM Industry Seminar I,73764,Lecture-Discussion,B,ARRANGED,n.a.,Location Pending,"Bosecker, N & Schmidt, B"
2,PSM502,PSM Industry Seminar II,53834,Lecture-Discussion,A,05:30PM - 06:50PM,W,131 Animal Sciences Laboratory,"Bosecker, N"
3,PSM502,PSM Industry Seminar II,57824,Lecture-Discussion,B,05:30PM - 06:50PM,W,131 Animal Sciences Laboratory,"Bosecker, N"
4,PSM503,PSM Industry Seminar III,66191,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Bosecker, N"
5,PSM520,Special Topics-Sci & Business,60576,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Bosecker, N"
6,PSM555,PSM Internship,62890,Lecture-Discussion,ACR,ARRANGED,n.a.,Location Pending,"Knox, R"
7,PSM555,PSM Internship,62891,Lecture-Discussion,ANC,ARRANGED,n.a.,Location Pending,"Knox, R"
8,PSM555,PSM Internship,61164,Lecture-Discussion,BCR,ARRANGED,n.a.,Location Pending,"Conerty, B & Singh, V"
9,PSM555,PSM Internship,61165,Lecture-Discussion,BNC,ARRANGED,n.a.,Location Pending,"Conerty, B & Singh, V"
10,PSM555,PSM Internship,62893,Lecture-Discussion,FCR,ARRANGED,n.a.,Location Pending,"Engeseth, N"
11,PSM555,PSM Internship,62894,Lecture-Discussion,FNC,ARRANGED,n.a.,Location Pending,"Engeseth, N"
12,PSM555,PSM Internship,66189,Lecture-Discussion,GCR,ARRANGED,n.a.,Location Pending,"Kashem, M"
13,PSM555,PSM Internship,66190,Lecture-Discussion,GNC,ARRANGED,n.a.,Location Pending,"Kashem, M"
14,PSM555,PSM Internship,62895,Lecture-Discussion,PCR,ARRANGED,n.a.,Location Pending,"Juvik, J"
15,PSM555,PSM Internship,62896,Lecture-Discussion,PNC,ARRANGED,n.a.,Location Pending,"Juvik, J"
16,PSM555,PSM Internship,62897,Lecture-Discussion,TCR,ARRANGED,n.a.,Location Pending,"Cooke, R & Davidson, P"
17,PSM555,PSM Internship,62898,Lecture-Discussion,TNC,ARRANGED,n.a.,Location Pending,"Cooke, R & Davidson, P"
