,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,PSYC100,Intro Psych,68316,Lecture-Discussion,AAP,02:00PM - 02:50PM,W,815 Psychology Building,"Kelley, A & Travis, L"
1,PSYC100,Intro Psych,37007,Lecture-Discussion,B1,09:00AM - 09:50AM,MWF,138 Henry Administration Bldg,"Chia, L & Travis, L"
2,PSYC100,Intro Psych,37009,Lecture-Discussion,C1,10:00AM - 10:50AM,MWF,138 Henry Administration Bldg,"Chia, L & Travis, L"
3,PSYC100,Intro Psych,40739,Lecture-Discussion,C4,10:00AM - 10:50AM,MWF,31 Psychology Building,"Travis, L & West, H"
4,PSYC100,Intro Psych,37010,Lecture-Discussion,D1,11:00AM - 11:50AM,MWF,138 Henry Administration Bldg,"Olshan, S & Travis, L"
5,PSYC100,Intro Psych,40738,Lecture-Discussion,D4,11:00AM - 11:50AM,MWF,31 Psychology Building,"Travis, L & West, H"
6,PSYC100,Intro Psych,37008,Lecture-Discussion,DGS,12:30PM - 01:50PM,TR,21 Psychology Building,"Clint, E & Travis, L"
7,PSYC100,Intro Psych,37011,Lecture-Discussion,E1,12:00PM - 12:50PM,MWF,138 Henry Administration Bldg,"Olshan, S & Travis, L"
8,PSYC100,Intro Psych,37012,Lecture-Discussion,F1,01:00PM - 01:50PM,MWF,138 Henry Administration Bldg,"Travis, L & Venerable, W"
9,PSYC100,Intro Psych,48857,Lecture-Discussion,F4,01:00PM - 01:50PM,MWF,31 Psychology Building,"Clint, E & Travis, L"
10,PSYC100,Intro Psych,37013,Lecture-Discussion,G1,02:00PM - 02:50PM,MWF,138 Henry Administration Bldg,"Travis, L & Venerable, W"
11,PSYC100,Intro Psych,40737,Online,H4,07:00PM - 07:50PM,R,n.a.,"Quasebarth, A & Travis, L"
12,PSYC100,Intro Psych,37017,Lecture-Discussion,K1,09:30AM - 10:50AM,TR,31 Psychology Building,"Chong, L & Travis, L"
13,PSYC100,Intro Psych,37018,Lecture-Discussion,L1,11:00AM - 12:20PM,TR,31 Psychology Building,"Chong, L & Travis, L"
14,PSYC100,Intro Psych,37019,Lecture-Discussion,M1,12:30PM - 01:50PM,TR,31 Psychology Building,"Travis, L & Yuquimpo, J"
15,PSYC100,Intro Psych,37020,Lecture-Discussion,N1,02:00PM - 03:20PM,TR,31 Psychology Building,"Travis, L & Yuquimpo, J"
16,PSYC100,Intro Psych,37006,Lecture-Discussion,N4,02:00PM - 03:20PM,TR,259 English Building,"Travis, L"
17,PSYC100,Intro Psych,45067,Lecture-Discussion,P4,03:30PM - 04:50PM,TR,31 Psychology Building,"Travis, L"
18,PSYC144,"Stereotypes, Prejudice & Discrimination",70435,Lecture-Discussion,A,03:30PM - 04:50PM,TR,32 Psychology Building,"Alzate Vanegas, J & Dugan, K"
19,PSYC201,Intro to Social Psych,37034,Lecture,A,09:00AM - 09:50AM,MWF,142 Psychology Building,"Hyland, W & Shenouda, C"
20,PSYC201,Intro to Social Psych,37035,Lecture,B,10:00AM - 10:50AM,MWF,142 Psychology Building,"Hyland, W & Shenouda, C"
21,PSYC201,Intro to Social Psych,37036,Lecture,C,02:00PM - 02:50PM,MWF,142 Psychology Building,"Fu, H & Shenouda, C"
22,PSYC201,Intro to Social Psych,37037,Lecture,D,03:00PM - 03:50PM,MWF,142 Psychology Building,"Fu, H & Shenouda, C"
23,PSYC201,Intro to Social Psych,37041,Lecture,E,11:00AM - 12:20PM,TR,142 Psychology Building,"Chen, F & Shenouda, C"
24,PSYC201,Intro to Social Psych,40680,Lecture,F,12:30PM - 01:50PM,TR,142 Psychology Building,"Chen, F & Shenouda, C"
25,PSYC201,Intro to Social Psych,37039,Lecture,G,12:30PM - 01:50PM,TR,29 Psychology Building,"Dai, W & Shenouda, C"
26,PSYC201,Intro to Social Psych,37040,Lecture,H,02:00PM - 03:20PM,TR,142 Psychology Building,"Dai, W & Shenouda, C"
27,PSYC201,Intro to Social Psych,37038,Online,K,ARRANGED,n.a.,n.a.,"Adjei, K & Cho, M & Shenouda, C"
28,PSYC210,Behavioral Neuroscience,37042,Lecture,A,11:00AM - 11:50AM,MWF,100 Gregory Hall,"Gulley, J & Hinman, J & Juraska, J & Liang, N"
29,PSYC216,Child Psych,37050,Online Lecture,A,03:30PM - 04:50PM,TR,n.a.,"Fisher, C & Hyde, D & Rudolph, K & Shenouda, C"
30,PSYC224,Cognitive Psych,37061,Online Lecture,A,ARRANGED,n.a.,n.a.,"Lo, Y & Sahakyan, L"
31,PSYC225,"Language, Mind, and Brain",73526,Discussion/ Recitation,AD1,12:00PM - 12:50PM,F,311 Gregory Hall,"Atiles, A & Ionin, T"
32,PSYC225,"Language, Mind, and Brain",73525,Lecture,AL1,12:00PM - 12:50PM,MW,311 Gregory Hall,"Atiles, A & Ionin, T"
33,PSYC230,Perception & Sensory Processes,37062,Online Lecture,A,ARRANGED,n.a.,n.a.,"Lleras, A"
34,PSYC235,Intro to Statistics,37116,Laboratory,CB1,09:00AM - 09:50AM,W,219A Psychology Building,"Regenwetter, M"
35,PSYC235,Intro to Statistics,37152,Laboratory,CB2,10:00AM - 10:50AM,W,219A Psychology Building,"Regenwetter, M"
36,PSYC235,Intro to Statistics,37183,Lecture,CL1,11:00AM - 12:20PM,TR,1022 Lincoln Hall,"He, S & Regenwetter, M"
37,PSYC235,Intro to Statistics,37089,Lecture,DS,03:00PM - 03:50PM,MWF,3031 Campus Instructional Facility,"Simons, D"
38,PSYC236,Madness and Modern Society,71748,Discussion/ Recitation,AD1,02:00PM - 02:50PM,R,138 Wohlers Hall,"Chettiar, T & Sundarsingh, A"
39,PSYC236,Madness and Modern Society,71749,Discussion/ Recitation,AD2,03:30PM - 04:20PM,R,307 Gregory Hall,"Chettiar, T & Khudzik, S"
40,PSYC236,Madness and Modern Society,71750,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,217 Gregory Hall,"Chettiar, T & Khudzik, S"
41,PSYC236,Madness and Modern Society,71751,Discussion/ Recitation,AD4,03:00PM - 03:50PM,W,205 Gregory Hall,"Chettiar, T & Sundarsingh, A"
42,PSYC236,Madness and Modern Society,71752,Discussion/ Recitation,AD5,12:00PM - 12:50PM,F,217 Gregory Hall,"Chettiar, T & Khudzik, S"
43,PSYC236,Madness and Modern Society,71753,Discussion/ Recitation,AD6,02:00PM - 02:50PM,W,205 Gregory Hall,"Chettiar, T & Sundarsingh, A"
44,PSYC236,Madness and Modern Society,71747,Lecture,AL1,12:30PM - 01:20PM,TR,66 Library,"Chettiar, T"
45,PSYC238,Psychopathology and Problems in Living,37215,Lecture,A,11:00AM - 11:50AM,MWF,1002 Lincoln Hall,"Kwapil, T & Sbrilli, M"
46,PSYC238,Psychopathology and Problems in Living,37216,Lecture,B,12:00PM - 12:50PM,MWF,1000 Lincoln Hall,"Kwapil, T & Sbrilli, M"
47,PSYC238,Psychopathology and Problems in Living,37213,Lecture,C,12:00PM - 12:50PM,MWF,17 Psychology Building,"Hohl, K & Kwapil, T"
48,PSYC238,Psychopathology and Problems in Living,37214,Lecture,D,01:00PM - 01:50PM,MWF,17 Psychology Building,"Hohl, K & Kwapil, T"
49,PSYC238,Psychopathology and Problems in Living,37217,Lecture,G,09:30AM - 10:50AM,TR,17 Psychology Building,"Kemp, K & Kwapil, T"
50,PSYC238,Psychopathology and Problems in Living,37218,Lecture,H,11:00AM - 12:20PM,TR,17 Psychology Building,"Kemp, K & Kwapil, T"
51,PSYC238,Psychopathology and Problems in Living,37219,Lecture,I,12:30PM - 01:50PM,TR,1024 Chemistry Annex,"Berson, T & Kwapil, T"
