,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,REL110,World Religions,66749,Discussion/ Recitation,ADA,10:00AM - 10:50AM,F,214 Davenport Hall,"Ward, M"
1,REL110,World Religions,66750,Discussion/ Recitation,ADB,11:00AM - 11:50AM,F,214 Davenport Hall,"Ward, M"
2,REL110,World Religions,66751,Discussion/ Recitation,ADC,12:00PM - 12:50PM,F,214 Davenport Hall,"Ward, M"
3,REL110,World Religions,66752,Discussion/ Recitation,ADD,01:00PM - 01:50PM,F,214 Davenport Hall,"Abusharara, B"
4,REL110,World Religions,66753,Discussion/ Recitation,ADE,02:00PM - 02:50PM,F,214 Davenport Hall,"Abusharara, B"
5,REL110,World Religions,66754,Discussion/ Recitation,ADF,10:00AM - 10:50AM,F,313 Davenport Hall,"Jones, H"
6,REL110,World Religions,66755,Discussion/ Recitation,ADG,11:00AM - 11:50AM,F,313 Davenport Hall,"Jones, H"
7,REL110,World Religions,66756,Discussion/ Recitation,ADH,12:00PM - 12:50PM,F,313 Davenport Hall,"Abusharara, B"
8,REL110,World Religions,66757,Discussion/ Recitation,ADI,01:00PM - 01:50PM,F,313 Davenport Hall,"Jones, H"
9,REL110,World Religions,66758,Discussion/ Recitation,ADJ,10:00AM - 10:50AM,R,103 Bevier Hall,"Folkenroth, E"
10,REL110,World Religions,66759,Discussion/ Recitation,ADK,11:00AM - 11:50AM,R,103 Bevier Hall,"Folkenroth, E"
11,REL110,World Religions,66760,Discussion/ Recitation,ADL,12:00PM - 12:50PM,R,103 Bevier Hall,"Folkenroth, E"
12,REL110,World Religions,66762,Discussion/ Recitation,ADM,01:00PM - 01:50PM,R,103 Bevier Hall,"Robinson, J"
13,REL110,World Religions,66769,Discussion/ Recitation,ADN,02:00PM - 02:50PM,R,103 Bevier Hall,"Robinson, J"
14,REL110,World Religions,66774,Online,ADO,11:00AM - 11:50AM,F,n.a.,"Katz, M"
15,REL110,World Religions,66775,Online,ADP,12:00PM - 12:50PM,R,n.a.,"Karipek, Y"
16,REL110,World Religions,66776,Discussion/ Recitation,ADQ,11:00AM - 11:50AM,R,242 Bevier Hall,"Robinson, J"
