,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,RHET102,Principles of Research,67019,Laboratory,C1,ARRANGED,n.a.,Location Pending,"Crosby, T"
1,RHET102,Principles of Research,70292,Laboratory,D,ARRANGED,n.a.,Location Pending,"Beilstein, P"
2,RHET102,Principles of Research,70291,Laboratory,E,ARRANGED,n.a.,Location Pending,"McLeer, H"
3,RHET102,Principles of Research,32878,Laboratory,F1,ARRANGED,n.a.,Location Pending,"Hurley, M"
4,RHET102,Principles of Research,70290,Laboratory,M1,ARRANGED,n.a.,Location Pending,"Harms, L"
5,RHET102,Principles of Research,32877,Laboratory,P,ARRANGED,n.a.,Location Pending,"Cottingham, M"
6,RHET102,Principles of Research,32891,Laboratory,Q,ARRANGED,n.a.,Location Pending,"Gupta, P"
7,RHET102,Principles of Research,32885,Laboratory,S,ARRANGED,n.a.,Location Pending,"Freudenburg, A"
8,RHET105,Writing and Research,32913,Lecture-Discussion,A1,08:00AM - 08:50AM,MWF,142 Henry Administration Bldg,"Christoff, C"
9,RHET105,Writing and Research,33382,Lecture-Discussion,A2,08:00AM - 08:50AM,MWF,148 Henry Administration Bldg,"Braun, J"
10,RHET105,Writing and Research,32923,Lecture-Discussion,B1,09:00AM - 09:50AM,MWF,142 Henry Administration Bldg,"Christoff, C"
11,RHET105,Writing and Research,33423,Lecture-Discussion,B10,09:00AM - 09:50AM,MWF,1002 Siebel Center for Design,"Shuger, A"
12,RHET105,Writing and Research,43466,Lecture-Discussion,B2,09:00AM - 09:50AM,MWF,148 Henry Administration Bldg,"Williams, J"
13,RHET105,Writing and Research,39340,Lecture-Discussion,B3,09:00AM - 09:50AM,MWF,152 Henry Administration Bldg,"VanCalbergh, M"
14,RHET105,Writing and Research,32918,Lecture-Discussion,B4,09:00AM - 09:50AM,MWF,154 Henry Administration Bldg,"Flood, A"
15,RHET105,Writing and Research,43441,Lecture-Discussion,B5,09:00AM - 09:50AM,MWF,29 English Building,"Sannes, N"
16,RHET105,Writing and Research,33386,Lecture-Discussion,B6,09:00AM - 09:50AM,MWF,149 English Building,"Dillender, K"
17,RHET105,Writing and Research,51853,Lecture-Discussion,B7,09:00AM - 09:50AM,MWF,127 English Building,"Moriwaki, M"
18,RHET105,Writing and Research,33383,Lecture-Discussion,B8,09:00AM - 09:50AM,MWF,115 English Building,"Simon, Z"
19,RHET105,Writing and Research,71975,Online Lecture,B9,09:00AM - 09:50AM,MWF,n.a.,"Lindsey, M"
20,RHET105,Writing and Research,32932,Lecture-Discussion,C1,10:00AM - 10:50AM,MWF,142 Henry Administration Bldg,"Johnson, A"
21,RHET105,Writing and Research,32948,Lecture-Discussion,C2,10:00AM - 10:50AM,MWF,148 Henry Administration Bldg,"Williams, J"
