,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,RUSS102,First-Year Russian II,33723,Lecture-Discussion,B,01:00PM - 01:50PM,MTWR,1030 Foreign Languages Building,"Ivashkiv, R & Yang, B"
1,RUSS102,First-Year Russian II,40263,Lecture-Discussion,C,11:00AM - 11:50AM,MTWR,1030 Foreign Languages Building,"Ivashkiv, R & Kustova, M"
2,RUSS122,Russia and Black America,72038,Discussion/ Recitation,AD2,04:00PM - 04:50PM,W,G20 Foreign Languages Building,"Hamel, L & Tempest, R"
3,RUSS122,Russia and Black America,70665,Lecture,AL1,03:00PM - 03:50PM,MW,108 English Building,"Tempest, R"
4,RUSS199,Undergraduate Open Seminar,10344,Lecture-Discussion,,ARRANGED,n.a.,Location Pending,
5,RUSS202,Second-Year Russian II,66649,Lecture-Discussion,B,10:00AM - 10:50AM,MTWR,113 Gregory Hall,"Fedjanina, M & Ivashkiv, R"
6,RUSS290,Readings in Russian,10348,Independent Study,,ARRANGED,n.a.,n.a.,
7,RUSS302,Third Year Russian II,34104,Lecture-Discussion,C,01:00PM - 01:50PM,MWF,1032 Foreign Languages Building,"Ivashkiv, R & Jalilov, M"
8,RUSS323,Tolstoy,48138,Lecture-Discussion,U3,02:00PM - 03:20PM,TR,132 Bevier Hall,"Sobol, V"
9,RUSS493,Honors Senior Thesis,10351,Independent Study,,ARRANGED,n.a.,n.a.,
10,RUSS502,Russian for Grad Students II,45833,Lecture-Discussion,A,09:00AM - 10:20AM,M,3150 Foreign Languages Building,"Tempest, R"
11,RUSS514,Russian Literature After 1956,73716,Online,B,02:00PM - 04:00PM,M,n.a.,"Kaganovsky, L"
12,RUSS523,Tolstoy,68729,Lecture-Discussion,G4,02:00PM - 03:20PM,TR,132 Bevier Hall,"Sobol, V"
