,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,SAME150,Lang&Culture of Arab World,66060,Lecture,A1,02:00PM - 03:50PM,M,G36 Foreign Languages Building,"Saadah, E"
1,SAME152,The New Middle East,65846,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,212 David Kinley Hall,"Gong, D"
2,SAME152,The New Middle East,72092,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,212 David Kinley Hall,"Gong, D"
3,SAME152,The New Middle East,72093,Discussion/ Recitation,AD5,02:00PM - 02:50PM,F,212 David Kinley Hall,"Gong, D"
4,SAME152,The New Middle East,65733,Lecture,AL1,02:00PM - 02:50PM,MW,114 David Kinley Hall,
5,SAME208,Cultures & Literatures of South Asia,52622,Lecture-Discussion,A,04:00PM - 05:20PM,MW,1065 Lincoln Hall,"Mehta, R"
6,SAME214,Introduction to Islam,70164,Lecture-Discussion,A1,11:00AM - 12:20PM,TR,245 Altgeld Hall,"Ali, M"
7,SAME223,The Qur'an (Koran),67554,Lecture-Discussion,A,02:00PM - 03:20PM,TR,136 Davenport Hall,"Ali, M"
8,SAME272,Language and Culture in Turkey,70896,Online,A,11:00AM - 12:20PM,TR,n.a.,"Ozcan, A & Saadah, E"
9,SAME403,Women in Muslim Societies,70415,Lecture-Discussion,G4,12:30PM - 03:20PM,T,113 David Kinley Hall,"Erten, N"
10,SAME403,Women in Muslim Societies,70414,Lecture-Discussion,U3,12:30PM - 03:20PM,T,113 David Kinley Hall,"Erten, N"
11,SAME490,Special Topics,63883,Online Lecture Discussion,AG,08:00AM - 10:50AM,MWF,n.a.,"Jayes, J"
12,SAME490,Special Topics,55611,Online Lecture Discussion,AU,08:00AM - 10:50AM,MWF,n.a.,"Jayes, J"
13,SAME520,"Hindu Pilgrimage, Power & Place",67555,Lecture,A,03:00PM - 05:30PM,W,113 Davenport Hall,"Newman, A"
14,SAME590,Independent Study,63105,Independent Study,,ARRANGED,n.a.,n.a.,
