,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,SE101,Engineering Graphics & Design,66880,Laboratory,ABA,12:00PM - 01:50PM,W,406B8 Engineering Hall,
1,SE101,Engineering Graphics & Design,66882,Laboratory,ABB,12:00PM - 01:50PM,W,406B8 Engineering Hall,
2,SE101,Engineering Graphics & Design,66883,Laboratory,ABC,02:00PM - 03:50PM,W,406B1 Engineering Hall,
3,SE101,Engineering Graphics & Design,66884,Laboratory,ABD,02:00PM - 03:50PM,W,406B1 Engineering Hall,
4,SE101,Engineering Graphics & Design,66885,Laboratory,ABE,08:00AM - 09:50AM,R,406B8 Engineering Hall,
5,SE101,Engineering Graphics & Design,66887,Laboratory,ABF,08:00AM - 09:50AM,R,406B8 Engineering Hall,
6,SE101,Engineering Graphics & Design,66879,Lecture,AL,10:00AM - 10:50AM,MW,3031 Campus Instructional Facility,"Goldstein, M"
7,SE101,Engineering Graphics & Design,66889,Laboratory,BBA,02:00PM - 03:50PM,R,316 Transportation Building,
8,SE101,Engineering Graphics & Design,66890,Laboratory,BBB,02:00PM - 03:50PM,R,316 Transportation Building,
9,SE101,Engineering Graphics & Design,66891,Laboratory,BBC,04:00PM - 05:50PM,R,316 Transportation Building,
10,SE101,Engineering Graphics & Design,66892,Laboratory,BBD,04:00PM - 05:50PM,R,316 Transportation Building,
11,SE101,Engineering Graphics & Design,66897,Laboratory,BBE,10:00AM - 11:50AM,F,316 Transportation Building,
12,SE101,Engineering Graphics & Design,66900,Laboratory,BBF,10:00AM - 11:50AM,F,316 Transportation Building,
13,SE101,Engineering Graphics & Design,70988,Packaged Section,BBG,12:00PM - 01:50PM,R,316 Transportation Building,
14,SE101,Engineering Graphics & Design,70992,Packaged Section,BBH,12:00PM - 01:50PM,R,316 Transportation Building,
15,SE101,Engineering Graphics & Design,66888,Lecture,BL,11:00AM - 11:50AM,TR,3031 Campus Instructional Facility,"Goldstein, M"
