,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,SHS120,"Child, Comm, & Lang Ability",55588,Online,C1,ARRANGED,n.a.,n.a.,"French, I & Galvez Barrera, M & O'Brien, C & Plachno, I & Wachtel, J"
1,SHS121,American Sign Language I,53282,Online,A,08:00AM - 09:50AM,MW,n.a.,"Colon, C"
2,SHS121,American Sign Language I,53283,Online,B,08:00AM - 09:50AM,TR,n.a.,"Colon, C"
3,SHS121,American Sign Language I,53284,Online,C,10:00AM - 11:50AM,TR,n.a.,"Colon, C"
4,SHS121,American Sign Language I,53285,Online,D,01:00PM - 02:50PM,TR,n.a.,"Colon, C"
5,SHS121,American Sign Language I,53847,Online,E,10:00AM - 11:50AM,TR,n.a.,"Dramin Weiss, S & Price, R"
6,SHS170,Intro Hum Comm Sys & Disorders,71800,Discussion/ Recitation,AD1,09:00AM - 09:50AM,W,110 Speech & Hearing Science Bldg,"Fogerty, D"
7,SHS170,Intro Hum Comm Sys & Disorders,71801,Discussion/ Recitation,AD2,10:00AM - 10:50AM,W,110 Speech & Hearing Science Bldg,"Fogerty, D"
8,SHS170,Intro Hum Comm Sys & Disorders,71802,Discussion/ Recitation,AD3,11:00AM - 11:50AM,W,110 Speech & Hearing Science Bldg,"Fogerty, D"
9,SHS170,Intro Hum Comm Sys & Disorders,37177,Online,AL,ARRANGED,n.a.,n.a.,"Fogerty, D"
10,SHS191,Freshmen Seminar,10164,Independent Study,,ARRANGED,n.a.,n.a.,
11,SHS191,Freshmen Seminar,37186,Conference,X,11:00AM - 11:50AM,MW,429 Armory,"Griffith, D"
12,SHS199,Undergraduate Open Seminar,10167,Independent Study,,ARRANGED,n.a.,n.a.,
13,SHS200,General Phonetics,37201,Lecture-Discussion,A,09:00AM - 09:50AM,M,1001 Huff Hall,"Krok, W"
14,SHS200,General Phonetics,37308,Lecture-Discussion,B,10:00AM - 10:50AM,M,1001 Huff Hall,"Krok, W"
15,SHS200,General Phonetics,37199,Lecture-Discussion,C,06:00PM - 06:50PM,M,110 Speech & Hearing Science Bldg,"Krok, W & McMaster, N"
16,SHS221,American Sign Language II,51117,Online,A,10:00AM - 11:50AM,MW,n.a.,"Dramin Weiss, S"
17,SHS221,American Sign Language II,58002,Online,B,08:00AM - 09:50AM,TR,n.a.,"Dramin Weiss, S"
18,SHS221,American Sign Language II,48077,Online,D,01:00PM - 02:50PM,MW,n.a.,"Colon, C"
19,SHS222,Language & Culture of Deaf Communities,62206,Online,C01,ARRANGED,n.a.,n.a.,"Colon, C"
20,SHS240,Intro Sound & Hearing Science,40267,Lecture,A,09:30AM - 10:50AM,TR,1092 Lincoln Hall,"Jain, N & Moore, K"
21,SHS271,Communication and Aging,66786,Online Discussion,A,09:00AM - 09:50AM,W,n.a.,"Pucilowski, A"
22,SHS271,Communication and Aging,71691,Online Discussion,B,10:00AM - 10:50AM,W,n.a.,"Pucilowski, A"
23,SHS271,Communication and Aging,71692,Online Discussion,C,11:00AM - 11:50AM,W,n.a.,"Pucilowski, A"
24,SHS291,Research Lab Experience in SHS,61492,Independent Study,,ARRANGED,n.a.,n.a.,
25,SHS301,General Speech Science,37319,Laboratory,AB1,09:00AM - 09:50AM,F,1001 Huff Hall,"Bottalico, P & Murgia, S"
26,SHS301,General Speech Science,63728,Laboratory,AB2,10:00AM - 10:50AM,F,1001 Huff Hall,"Bottalico, P & Murgia, S"
27,SHS301,General Speech Science,47514,Laboratory,AB3,08:00AM - 08:50AM,F,1001 Huff Hall,"Bottalico, P & Murgia, S"
28,SHS301,General Speech Science,37321,Lecture-Discussion,AE1,02:00PM - 03:20PM,TR,2001 Huff Hall,"Bottalico, P"
29,SHS321,American Sign Language III,55445,Online,A,08:00AM - 09:50AM,MW,n.a.,"Dramin Weiss, S"
30,SHS321,American Sign Language III,55442,Online,B,01:00PM - 02:50PM,MW,n.a.,"Dramin Weiss, S & Price, R"
31,SHS321,American Sign Language III,60682,Online,C,03:00PM - 04:50PM,MW,n.a.,"Dramin Weiss, S & Price, R"
32,SHS352,Hearing Health and Society,53352,Lecture-Discussion,A,01:00PM - 02:20PM,MW,23 Psychology Building,"Husain, F"
33,SHS375,Comm Partners & Health,53347,Lecture-Discussion,A,05:00PM - 05:50PM,M,1001 Huff Hall,"Bailey, D & Strohman, A"
34,SHS380,Comm Competence and Disorders,63610,Lecture-Discussion,CCD,11:00AM - 12:20PM,TR,112 Huff Hall,"Channell, M & Paquette, M"
35,SHS385,Evidence-Based Practice in Communication Sciences and Disorders,66099,Lecture-Discussion,EBP,03:00PM - 04:20PM,MW,2001 Huff Hall,"Flaherty, M"
36,SHS390,Individual Study,10170,Independent Study,,ARRANGED,n.a.,n.a.,
37,SHS395,Honors Individual Study,10173,Independent Study,,ARRANGED,n.a.,n.a.,
38,SHS427,Language and the Brain,50793,Lecture,G4,12:30PM - 01:50PM,TR,110 Speech & Hearing Science Bldg,"Deshaies, S"
39,SHS427,Language and the Brain,50792,Lecture,UG3,12:30PM - 01:50PM,TR,110 Speech & Hearing Science Bldg,"Deshaies, S"
40,SHS430,Devel & Disorders Phonol Artic,54624,Lecture-Discussion,G4,02:00PM - 03:20PM,TR,209 Huff Hall,"Warnes, C"
41,SHS430,Devel & Disorders Phonol Artic,54626,Lecture-Discussion,UG3,02:00PM - 03:20PM,TR,209 Huff Hall,"Warnes, C"
42,SHS473,Augmentative & Alt Comm,54625,Lecture,UG3,04:00PM - 05:20PM,TR,23 Psychology Building,"Mattie, L"
43,SHS475,Prepracticum in SHS,53319,Lecture-Discussion,AL,ARRANGED,n.a.,Location Pending,"Braun, S"
44,SHS475,Prepracticum in SHS,53321,Lecture-Discussion,D,01:00PM - 01:50PM,F,209 Huff Hall,"Strohman, A"
45,SHS477,Beginning Practicum in SHS,53799,Internship,A,ARRANGED,n.a.,Location Pending,"Franz, A"
46,SHS477,Beginning Practicum in SHS,53829,Internship,B,ARRANGED,n.a.,Location Pending,"Strohman, A"
47,SHS477,Beginning Practicum in SHS,53830,Internship,C,ARRANGED,n.a.,Location Pending,"Mendes, C"
48,SHS477,Beginning Practicum in SHS,53831,Internship,D,ARRANGED,n.a.,Location Pending,"Dahman, J"
49,SHS477,Beginning Practicum in SHS,59411,Internship,E,ARRANGED,n.a.,Location Pending,"Hannah, N"
50,SHS477,Beginning Practicum in SHS,73413,Internship,G,ARRANGED,n.a.,Location Pending,"Masters, G"
51,SHS513,Assessment and Management of Dysphagia,37411,Lecture-Discussion,AE1,09:30AM - 10:50AM,TR,110 Speech & Hearing Science Bldg,"Ishikawa, K"
52,SHS533,Advanced Language Diagnostics,66832,Lecture-Discussion,A,12:30PM - 01:50PM,R,1001 Huff Hall,"Channell, M"
53,SHS533,Advanced Language Diagnostics,71705,Laboratory,B1,03:30PM - 05:00PM,T,209 Huff Hall,"Dahman, J"
54,SHS551,Electrophys Indices Audition,40391,Lecture,A,01:00PM - 04:50PM,W,111 Speech & Hearing Science Bldg,"Mertes, I"
55,SHS552,Diag Hear Impair Infants Child,37424,Lecture-Discussion,A,05:30PM - 08:20PM,M,111 Speech & Hearing Science Bldg,"Flaherty, M & Thomas, J"
56,SHS553,Hearing Aids and Amplification,66826,Lecture-Discussion,A,12:30PM - 01:50PM,T,111 Speech & Hearing Science Bldg,"Braun, S"
57,SHS554,Advanced Audiological Assess,39053,Lecture,B,01:00PM - 03:50PM,M,111 Speech & Hearing Science Bldg,"Mertes, I"
58,SHS556,Sens Prosth Devices Hear Loss,37428,Lecture-Discussion,A,05:30PM - 08:20PM,W,111 Speech & Hearing Science Bldg,"Brown, M"
59,SHS557,Adv Clin Prac Aud Assess Rehab,54065,Practice,E,ARRANGED,n.a.,Location Pending,"Braun, S"
60,SHS557,Adv Clin Prac Aud Assess Rehab,66106,Practice,F,ARRANGED,n.a.,Location Pending,"Braun, S"
61,SHS557,Adv Clin Prac Aud Assess Rehab,54064,Practice,L,ARRANGED,n.a.,Location Pending,"Braun, S"
62,SHS557,Adv Clin Prac Aud Assess Rehab,63715,Practice,R,ARRANGED,n.a.,Location Pending,"Braun, S"
63,SHS561,Medical Audiology,66827,Lecture-Discussion,A,09:00AM - 11:50AM,T,111 Speech & Hearing Science Bldg,"Chambers, R"
64,SHS563,Amplification Lab,66828,Laboratory,HA1,03:00PM - 04:20PM,T,Location Pending,"Braun, S & Chesnut, K"
65,SHS563,Amplification Lab,69298,Laboratory,HA2,04:30PM - 05:50PM,T,Location Pending,"Braun, S & Chesnut, K"
66,SHS571,Clinical Sociolinguistics,51029,Lecture-Discussion,A,04:00PM - 06:50PM,MW,256 Speech & Hearing Science Bldg,"Krok, W"
67,SHS576,School Intrnshp Spch-Lang Path,40682,Discussion/ Recitation,D,ARRANGED,n.a.,Location Pending,"Dahman, J"
68,SHS577,Advanced Practicum in SHS,37446,Lecture-Discussion,A,08:30AM - 09:20AM,T,1002 Huff Hall,"Hannah, N"
69,SHS577,Advanced Practicum in SHS,53323,Lecture-Discussion,B,08:30AM - 09:20AM,T,1002 Huff Hall,"Hannah, N"
70,SHS577,Advanced Practicum in SHS,52167,Lecture-Discussion,C,08:30AM - 09:20AM,T,1002 Huff Hall,"Hannah, N"
71,SHS577,Advanced Practicum in SHS,37448,Lecture-Discussion,D,08:30AM - 09:20AM,T,1002 Huff Hall,"Hannah, N"
72,SHS577,Advanced Practicum in SHS,37452,Lecture-Discussion,E,08:30AM - 09:20AM,T,1002 Huff Hall,"Hannah, N"
73,SHS577,Advanced Practicum in SHS,37455,Lecture-Discussion,G,08:30AM - 09:20AM,T,1002 Huff Hall,"Hannah, N"
74,SHS578,Medical Methods in Speech-Language Pathology,73459,Lecture-Discussion,MSP,05:00PM - 07:50PM,T,256 Speech & Hearing Science Bldg,"Mendes, C"
75,SHS592,Prosem Spch & Hear Sci,37467,Lecture-Discussion,A,12:00PM - 12:50PM,F,1090 Lincoln Hall,"Bottalico, P"
76,SHS592,Prosem Spch & Hear Sci,61231,Lecture-Discussion,B,01:00PM - 01:50PM,F,111 Speech & Hearing Science Bldg,"Bottalico, P"
77,SHS593,Special Problems,10179,Independent Study,,ARRANGED,n.a.,n.a.,
78,SHS593,Special Problems,37465,Lecture-Discussion,AR1,07:00PM - 08:20PM,T,111 Speech & Hearing Science Bldg,"Pitlik, K"
