,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,SOC100,Introduction to Sociology,34271,Discussion/ Recitation,ADA,11:00AM - 11:50AM,T,205 Gregory Hall,"Karipek, A & Miller, L"
1,SOC100,Introduction to Sociology,34272,Discussion/ Recitation,ADB,11:00AM - 11:50AM,W,331 Gregory Hall,"Miller, L & Rasheed, U"
2,SOC100,Introduction to Sociology,34276,Discussion/ Recitation,ADC,10:00AM - 10:50AM,W,331 Gregory Hall,"Miller, L & Rasheed, U"
3,SOC100,Introduction to Sociology,34278,Discussion/ Recitation,ADD,11:00AM - 11:50AM,M,331 Gregory Hall,"Holmes, J & Miller, L"
4,SOC100,Introduction to Sociology,34280,Discussion/ Recitation,ADE,11:00AM - 11:50AM,F,331 Gregory Hall,"Jeffery, N & Miller, L"
5,SOC100,Introduction to Sociology,34287,Discussion/ Recitation,ADI,12:00PM - 12:50PM,M,331 Gregory Hall,"Holmes, J & Miller, L"
6,SOC100,Introduction to Sociology,34288,Discussion/ Recitation,ADJ,12:00PM - 12:50PM,F,331 Gregory Hall,"Jeffery, N & Miller, L"
7,SOC100,Introduction to Sociology,34291,Discussion/ Recitation,ADK,01:00PM - 01:50PM,M,331 Gregory Hall,"Holmes, J & Miller, L"
8,SOC100,Introduction to Sociology,34292,Discussion/ Recitation,ADL,10:00AM - 10:50AM,T,205 Gregory Hall,"Karipek, A & Miller, L"
9,SOC100,Introduction to Sociology,34294,Discussion/ Recitation,ADM,02:00PM - 02:50PM,M,327 Gregory Hall,"Karipek, A & Miller, L"
10,SOC100,Introduction to Sociology,34307,Discussion/ Recitation,ADS,01:00PM - 01:50PM,W,331 Gregory Hall,"Miller, L & Rasheed, U"
11,SOC100,Introduction to Sociology,34311,Discussion/ Recitation,ADV,12:00PM - 12:50PM,W,331 Gregory Hall,"Miller, L & Puckett, C"
12,SOC100,Introduction to Sociology,44365,Discussion/ Recitation,ADY,11:00AM - 11:50AM,R,222 David Kinley Hall,"Jeffery, N & Miller, L"
13,SOC100,Introduction to Sociology,34312,Lecture,AL1,12:30PM - 01:50PM,TR,THEAT Lincoln Hall,"Miller, L"
14,SOC100,Introduction to Sociology,60802,Lecture,AL2,12:30PM - 01:50PM,TR,THEAT Lincoln Hall,"Miller, L"
