,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,SOCW199,Undergraduate Open Seminar,10059,Independent Study,,ARRANGED,n.a.,n.a.,
1,SOCW199,Undergraduate Open Seminar,59393,Lecture-Discussion,A,04:00PM - 04:50PM,TR,2018 1010 W Nevada,"Wilson Smith, C"
2,SOCW200,Introduction to Social Work,32827,Lecture-Discussion,A,09:30AM - 10:45AM,TR,2027 1010 W Nevada,"Earls Larrison, T"
3,SOCW200,Introduction to Social Work,32828,Lecture-Discussion,B,12:30PM - 01:45PM,TR,2027 1010 W Nevada,"Earls Larrison, T"
4,SOCW210,Queer Visibility,72538,Lecture-Discussion,A,03:30PM - 04:45PM,TR,113 Gregory Hall,"Wade, R"
5,SOCW240,Death & Dying,63536,Lecture-Discussion,A,03:30PM - 04:45PM,TR,327 Gregory Hall,"Andrade, F"
6,SOCW245,Doing Good through the Nonprofit Sector,70542,Lecture-Discussion,A,11:00AM - 12:15PM,TR,219 Gregory Hall,"Lough, B"
7,SOCW297,Asian Families in America,62095,Lecture-Discussion,A,05:15PM - 06:30PM,MW,132 Bevier Hall,"Balgopal, A"
8,SOCW297,Asian Families in America,73010,Lecture-Discussion,B,09:30AM - 10:45AM,TR,107 Animal Sciences Laboratory,"Chih, D"
9,SOCW300,Diversity: Identities & Issues,58396,Lecture-Discussion,A,11:00AM - 12:15PM,TR,2027 1010 W Nevada,"Carter-Black, J"
10,SOCW300,Diversity: Identities & Issues,52693,Lecture-Discussion,B,02:00PM - 03:15PM,TR,2027 1010 W Nevada,"Carter-Black, J & Chitwanga, A"
11,SOCW300,Diversity: Identities & Issues,72697,Lecture-Discussion,C,03:00PM - 04:15PM,MW,156 Henry Administration Bldg,"Cantoni, N & Parker, V"
12,SOCW310,UG Research Assistance,62041,Independent Study,,ARRANGED,n.a.,n.a.,
13,SOCW321,Social Entre & Social Change,65409,Online Lecture,A,01:00PM - 01:50PM,MWF,n.a.,"Mauck, C"
14,SOCW360,Social Work and the Military,60166,Online,A,ARRANGED,n.a.,n.a.,"Crowell, D"
15,SOCW370,Social Work and Disability Studies,69043,Lecture-Discussion,A,12:30PM - 01:45PM,R,2015 1010 W Nevada,"Wilson Smith, C"
16,SOCW380,Current Topics in Social Work,72556,Lecture-Discussion,A,12:30PM - 01:45PM,TR,136 Davenport Hall,"Rice, K"
17,SOCW401,Practice I,57395,Lecture-Discussion,A,10:00AM - 11:50AM,MW,2018 1010 W Nevada,"Maurer, M"
18,SOCW402,Practice II,55520,Lecture-Discussion,A,09:30AM - 10:45AM,MW,2030 1010 W Nevada,"Miller, D"
19,SOCW402,Practice II,64356,Lecture-Discussion,B,11:00AM - 12:15PM,TR,2030 1010 W Nevada,"Aviram, A"
20,SOCW402,Practice II,72534,Lecture-Discussion,C,08:00AM - 09:15AM,MW,2027 1010 W Nevada,"Miller, D"
21,SOCW403,Practice III,57400,Lecture-Discussion,A,09:30AM - 10:45AM,TR,2030 1010 W Nevada,"Candler, D"
22,SOCW404,Social Work Case Management Practice,70618,Lecture-Discussion,A,01:00PM - 02:15PM,MW,2027 1010 W Nevada,"Hensold, K"
23,SOCW410,Social Welfare Pol and Svcs,58705,Lecture-Discussion,A,02:00PM - 03:15PM,MW,2030 1010 W Nevada,"Bentley, B"
24,SOCW410,Social Welfare Pol and Svcs,58706,Lecture-Discussion,B,02:00PM - 03:15PM,TR,140 Burrill Hall,"Wegmann, K"
25,SOCW410,Social Welfare Pol and Svcs,66054,Lecture-Discussion,C,08:00AM - 09:15AM,MW,2018 1010 W Nevada,"Kim, H"
