,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,SPAN101,Elementary Spanish I,66100,Online,A,ARRANGED,n.a.,n.a.,"Juneau, T & Waters, M"
1,SPAN101,Elementary Spanish I,65385,Online,B,ARRANGED,n.a.,n.a.,"Gonzalez Quiroga, S & Waters, M"
2,SPAN102,Elementary Spanish II,65386,Online,B,ARRANGED,n.a.,n.a.,"Waters, M"
3,SPAN122,Intensive Elementary Spanish,35030,Lecture-Discussion,C1,10:00AM - 10:50AM,MW,212 Davenport Hall,"Cotts, C & Waters, M"
4,SPAN122,Intensive Elementary Spanish,35033,Lecture-Discussion,C2,10:00AM - 10:50AM,TR,214 Davenport Hall,"Juneau, T & Waters, M"
5,SPAN122,Intensive Elementary Spanish,35037,Lecture-Discussion,D1,11:00AM - 11:50AM,MW,212 Davenport Hall,"Cotts, C & Waters, M"
6,SPAN122,Intensive Elementary Spanish,35040,Lecture-Discussion,D2,11:00AM - 11:50AM,TR,111 David Kinley Hall,"Portillo-Swails, M & Waters, M"
7,SPAN122,Intensive Elementary Spanish,35066,Lecture-Discussion,D3,11:00AM - 11:50AM,MW,1136 Foreign Languages Building,"Gonzalez Quiroga, S & Waters, M"
8,SPAN122,Intensive Elementary Spanish,35051,Lecture-Discussion,E1,01:00PM - 01:50PM,TR,1022 Foreign Languages Building,"Cotts, C & Waters, M"
9,SPAN122,Intensive Elementary Spanish,35054,Lecture-Discussion,E2,01:00PM - 01:50PM,TR,G46 Foreign Languages Building,"Portillo-Swails, M & Waters, M"
10,SPAN122,Intensive Elementary Spanish,35057,Lecture-Discussion,F1,02:00PM - 02:50PM,MW,G30 Foreign Languages Building,"Waters, M"
11,SPAN122,Intensive Elementary Spanish,35061,Lecture-Discussion,F2,02:00PM - 02:50PM,TR,G46 Foreign Languages Building,"Portillo-Swails, M & Waters, M"
12,SPAN122,Intensive Elementary Spanish,35045,Lecture-Discussion,X1,12:00PM - 12:50PM,MW,1038 Foreign Languages Building,"Waters, M"
13,SPAN130,Intermediate Spanish,64811,Lecture-Discussion,B1,09:00AM - 09:50AM,MW,113 Davenport Hall,"Palacios Figueroa, M & Waters, M"
14,SPAN130,Intermediate Spanish,64810,Lecture-Discussion,B2,09:00AM - 09:50AM,TR,214 Davenport Hall,"Saud Medina, G & Waters, M"
15,SPAN130,Intermediate Spanish,64812,Lecture-Discussion,C1,10:00AM - 10:50AM,MW,113 Davenport Hall,"Palacios Figueroa, M & Waters, M"
16,SPAN130,Intermediate Spanish,64813,Lecture-Discussion,C2,10:00AM - 10:50AM,TR,G24 Foreign Languages Building,"Strocchia, I & Waters, M"
17,SPAN130,Intermediate Spanish,64814,Lecture-Discussion,C3,10:00AM - 10:50AM,MW,1038 Foreign Languages Building,"Waters, M & Yang, E"
18,SPAN130,Intermediate Spanish,64815,Lecture-Discussion,C4,10:00AM - 10:50AM,TR,1030 Foreign Languages Building,"Saud Medina, G & Waters, M"
19,SPAN130,Intermediate Spanish,64816,Lecture-Discussion,D1,11:00AM - 11:50AM,MW,113 Davenport Hall,"Palacios Figueroa, M & Waters, M"
20,SPAN130,Intermediate Spanish,64817,Lecture-Discussion,D2,11:00AM - 11:50AM,TR,336 Davenport Hall,"Miguel Huidobro, N & Waters, M"
21,SPAN130,Intermediate Spanish,64818,Lecture-Discussion,D3,11:00AM - 11:50AM,MW,1038 Foreign Languages Building,"Waters, M & Yang, E"
22,SPAN130,Intermediate Spanish,64819,Lecture-Discussion,D4,11:00AM - 11:50AM,TR,212 Davenport Hall,"Saud Medina, G & Waters, M"
23,SPAN130,Intermediate Spanish,64820,Lecture-Discussion,D5,11:00AM - 11:50AM,MW,132 Davenport Hall,"Melendez Melendez, D & Waters, M"
24,SPAN130,Intermediate Spanish,64821,Lecture-Discussion,E1,01:00PM - 01:50PM,MW,113 Davenport Hall,"Chalen Paredes, I & Waters, M"
25,SPAN130,Intermediate Spanish,64822,Lecture-Discussion,E2,01:00PM - 01:50PM,TR,336 Davenport Hall,"Miguel Huidobro, N & Waters, M"
26,SPAN130,Intermediate Spanish,64823,Lecture-Discussion,E3,01:00PM - 01:50PM,MW,1038 Foreign Languages Building,"Waters, M & Yang, E"
27,SPAN130,Intermediate Spanish,64824,Lecture-Discussion,E4,01:00PM - 01:50PM,TR,1120 Foreign Languages Building,"Martinez, R & Waters, M"
28,SPAN130,Intermediate Spanish,64825,Lecture-Discussion,F1,02:00PM - 02:50PM,MW,113 Davenport Hall,"Chalen Paredes, I & Waters, M"
