,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,SPED117,The Culture of Disability,34495,Online,A,ARRANGED,n.a.,n.a.,"Bentz, J"
1,SPED117,The Culture of Disability,34501,Online,B,ARRANGED,n.a.,n.a.,"Bentz, J"
2,SPED199,Undergraduate Open Seminar,10075,Independent Study,,ARRANGED,n.a.,n.a.,
3,SPED317,Characteristics & Eligibility,34513,Lecture-Discussion,A,04:00PM - 06:50PM,W,166 Education Building,"Sleiman Haidar, B & Tarconish, E"
4,SPED322,Introduction to Intellectual Disability,34522,Lecture-Discussion,A,04:00PM - 06:50PM,R,120 Architecture Building,"Johnston, A & Tarconish, E"
5,SPED391,Thesis,10082,Independent Study,,ARRANGED,n.a.,n.a.,
6,SPED395,Independent Study,10081,Independent Study,,ARRANGED,n.a.,n.a.,
7,SPED405,General Educator's Role in Special Education,49914,Lecture-Discussion,AE,01:00PM - 03:50PM,M,37 Education Building,"Tarconish, E"
8,SPED424,Foundations of Assessment,34527,Lecture-Discussion,A,01:00PM - 03:50PM,R,166 Education Building,"Shriner, J"
9,SPED426,Collaboration and Teaming,34530,Lecture-Discussion,A,04:00PM - 06:50PM,T,37 Education Building,"Andrews, L"
10,SPED438,Collaborating with Families,34533,Lecture-Discussion,A,04:00PM - 06:50PM,R,22 Education Building,"Li, R & Light Shriner, C"
11,SPED441,Instructional Strategies II,34535,Lecture-Discussion,A,04:00PM - 06:50PM,M,166 Education Building,"Ray, A"
12,SPED447,Curriculum Development II,46231,Lecture-Discussion,A,04:00PM - 06:50PM,W,22 Education Building,"Mason, E"
13,SPED448,Curriculum Development III,34545,Lecture-Discussion,A,04:00PM - 06:50PM,T,22 Education Building,"Light Shriner, C"
14,SPED514,Equity Issues in Special Education,70574,Online,A,06:00PM - 08:00PM,W,n.a.,"Bentz, J"
15,SPED514,Equity Issues in Special Education,70576,Online,ONL,06:00PM - 08:00PM,W,n.a.,"Bentz, J"
16,SPED524,Supervised Practice in Special Education,34552,Practice,E,07:00PM - 08:50PM,W,Location Pending,"Hardy, J"
17,SPED524,Supervised Practice in Special Education,34553,Practice,I,07:00PM - 08:50PM,W,Location Pending,"Hardy, J"
18,SPED524,Supervised Practice in Special Education,34558,Practice,LBS,ARRANGED,n.a.,Location Pending,"Andrews, L"
19,SPED524,Supervised Practice in Special Education,34560,Practice,LBT,07:00PM - 08:50PM,T,Location Pending,"Andrews, L"
20,SPED524,Supervised Practice in Special Education,39763,Practice,MD,ARRANGED,n.a.,Location Pending,"Carey, Y"
21,SPED526,Collaborative Leaders in Special Education,34565,Lecture-Discussion,A,04:00PM - 06:50PM,W,37 Education Building,"Hardy, J"
22,SPED526,Collaborative Leaders in Special Education,49427,Lecture-Discussion,AC,05:00PM - 07:00PM,M,Location Pending,"Carey, Y"
23,SPED550,Methods of Educational Inquiry,32005,Lecture-Discussion,A,05:00PM - 07:50PM,M,22 Education Building,"Zarate, K"
24,SPED550,Methods of Educational Inquiry,70565,Online,ONL,07:00PM - 09:30PM,W,n.a.,"Bear, J & Lee, S"
25,SPED566,Leadership in Early Childhood Special Education,34656,Lecture-Discussion,A,04:00PM - 06:50PM,W,37 Education Building,"Hardy, J"
26,SPED575,Mixed Method Inquiry,69663,Lecture-Discussion,A,01:00PM - 03:50PM,M,42A Education Building,"Avent, C"
27,SPED585,Individual Differences: B to 6,55853,Online,A,04:00PM - 06:50PM,M,n.a.,"O'Grady, C"
28,SPED590,Seminar for Advanced Students,34873,Lecture-Discussion,CL,01:00PM - 03:00PM,F,Location Pending,"Meadan-Kaplansky, H"
29,SPED590,Seminar for Advanced Students,40721,Lecture-Discussion,CON,ARRANGED,n.a.,Location Pending,"Ostrosky, M"
30,SPED590,Seminar for Advanced Students,48213,Lecture-Discussion,IMS,09:30AM - 10:50AM,F,166 Education Building,"Corr, C"
31,SPED590,Seminar for Advanced Students,47933,Lecture-Discussion,SCR,09:00AM - 10:50AM,F,Location Pending,"Dymond, S"
32,SPED590,Seminar for Advanced Students,47969,Lecture-Discussion,TI3,09:00AM - 10:50AM,F,210A Education Building,"Miller, D"
33,SPED590,Seminar for Advanced Students,46652,Lecture-Discussion,TR,11:30AM - 01:20PM,W,Location Pending,"Miller, D"
34,SPED591,Field Study and Thesis Seminar,10090,Independent Study,,ARRANGED,n.a.,n.a.,
35,SPED591,Field Study and Thesis Seminar,47934,Online,B,05:00PM - 06:50PM,T,n.a.,"Carey, Y"
36,SPED591,Field Study and Thesis Seminar,39653,Online,BBA,05:00PM - 06:50PM,T,n.a.,"Carey, Y"
37,SPED593,Concepts and Issues in Special Education II,34878,Lecture-Discussion,A,09:00AM - 11:50AM,R,382 Education Building,"Corr, C"
38,SPED595,Independent Study,10087,Independent Study,,ARRANGED,n.a.,n.a.,
39,SPED599,Thesis Research,10427,Independent Study,,ARRANGED,n.a.,n.a.,
