,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,STAT100,Statistics,37478,Lecture,L2,11:00AM - 12:20PM,TR,THEAT Lincoln Hall,"Flanagan, K"
1,STAT100,Statistics,60450,Online,O1,ARRANGED,n.a.,n.a.,"Flanagan, K"
2,STAT100,Statistics,37477,Online,O2,ARRANGED,n.a.,n.a.,"Reger, J"
3,STAT107,Data Science Discovery,70317,Lecture,AL1,12:00PM - 12:50PM,MWF,100 Noyes Laboratory,"Fagen-Ulmschneider, W & Flanagan, K"
4,STAT107,Data Science Discovery,70318,Laboratory-Discussion,AYA,09:30AM - 10:50AM,W,2078 Natural History Building,"Holaway, P"
5,STAT107,Data Science Discovery,70322,Laboratory-Discussion,AYB,02:00PM - 03:20PM,W,1035 Campus Instructional Facility,"Holaway, P"
6,STAT107,Data Science Discovery,70326,Laboratory-Discussion,AYC,03:30PM - 04:50PM,W,1035 Campus Instructional Facility,"Leung, M"
7,STAT107,Data Science Discovery,70327,Laboratory-Discussion,AYD,09:30AM - 10:50AM,R,1038 Campus Instructional Facility,"Kiv, D"
8,STAT107,Data Science Discovery,70329,Laboratory-Discussion,AYE,11:00AM - 12:20PM,R,1038 Campus Instructional Facility,"Guan, G"
9,STAT107,Data Science Discovery,70330,Laboratory-Discussion,AYF,12:30PM - 01:50PM,R,1038 Campus Instructional Facility,"Leung, M"
10,STAT107,Data Science Discovery,70331,Laboratory-Discussion,AYG,02:00PM - 03:20PM,R,1038 Campus Instructional Facility,"Bhatt, V"
11,STAT107,Data Science Discovery,70332,Laboratory-Discussion,AYH,03:30PM - 04:50PM,R,1038 Campus Instructional Facility,"Kiv, D"
12,STAT107,Data Science Discovery,70334,Laboratory-Discussion,AYI,05:00PM - 06:20PM,R,1038 Campus Instructional Facility,"Guan, G"
13,STAT107,Data Science Discovery,70320,Laboratory-Discussion,AYJ,09:30AM - 10:50AM,F,1038 Campus Instructional Facility,"Das, T"
14,STAT107,Data Science Discovery,70321,Laboratory-Discussion,AYK,01:00PM - 02:20PM,F,2078 Natural History Building,"Das, T"
15,STAT107,Data Science Discovery,70333,Laboratory-Discussion,AYL,02:30PM - 03:50PM,F,1035 Campus Instructional Facility,"Bhatt, V"
16,STAT200,Statistical Analysis,67087,Online,ONL,ARRANGED,n.a.,n.a.,"Fireman, E"
17,STAT207,Data Science Exploration,72079,Lecture,DL1,02:00PM - 03:20PM,TR,2310 Everitt Laboratory,"Deeke, J"
18,STAT207,Data Science Exploration,72083,Laboratory-Discussion,DYA,01:00PM - 02:50PM,W,214 Davenport Hall,"Tang, T"
19,STAT207,Data Science Exploration,72084,Laboratory-Discussion,DYB,03:00PM - 04:50PM,W,214 Davenport Hall,"Tang, T"
20,STAT207,Data Science Exploration,72076,Lecture,EL1,10:00AM - 10:50AM,MWF,106B8 Engineering Hall,"Ellison, T"
21,STAT207,Data Science Exploration,72077,Laboratory-Discussion,EYA,01:00PM - 02:50PM,R,1066 Lincoln Hall,"Zhou, W"
22,STAT207,Data Science Exploration,72078,Laboratory-Discussion,EYB,03:00PM - 04:50PM,R,1066 Lincoln Hall,"Zhou, W"
23,STAT212,Biostatistics,61857,Lecture-Discussion,A1,09:00AM - 09:50AM,MWF,103 Mumford Hall,"Findley, K"
24,STAT212,Biostatistics,54345,Lecture-Discussion,B1,10:00AM - 10:50AM,MWF,103 Mumford Hall,"Yu, A"
25,STAT361,Probability & Statistics for Computer Science,65114,Discussion/ Recitation,ADA,09:00AM - 09:50AM,W,1111 Siebel Center for Comp Sci,"Liu, H"
26,STAT361,Probability & Statistics for Computer Science,65115,Discussion/ Recitation,ADB,10:00AM - 10:50AM,W,1111 Siebel Center for Comp Sci,"Liu, H"
27,STAT361,Probability & Statistics for Computer Science,65111,Discussion/ Recitation,ADC,11:00AM - 11:50AM,W,1111 Siebel Center for Comp Sci,"Liu, H"
28,STAT361,Probability & Statistics for Computer Science,65112,Discussion/ Recitation,ADD,12:00PM - 12:50PM,W,1111 Siebel Center for Comp Sci,"Liu, H"
29,STAT361,Probability & Statistics for Computer Science,65113,Discussion/ Recitation,ADE,01:00PM - 01:50PM,W,1111 Siebel Center for Comp Sci,"Liu, H"
30,STAT361,Probability & Statistics for Computer Science,70265,Discussion/ Recitation,ADF,02:00PM - 02:50PM,W,1111 Siebel Center for Comp Sci,"Liu, H"
31,STAT361,Probability & Statistics for Computer Science,70267,Discussion/ Recitation,ADG,03:00PM - 03:50PM,W,1111 Siebel Center for Comp Sci,"Liu, H"
32,STAT361,Probability & Statistics for Computer Science,70269,Discussion/ Recitation,ADH,04:00PM - 04:50PM,W,1111 Siebel Center for Comp Sci,"Liu, H"
33,STAT361,Probability & Statistics for Computer Science,71012,Discussion/ Recitation,ADI,05:00PM - 05:50PM,W,1111 Siebel Center for Comp Sci,"Liu, H"
34,STAT361,Probability & Statistics for Computer Science,65110,Lecture,AL1,12:30PM - 01:45PM,TR,3039 Campus Instructional Facility,"Liu, H"
35,STAT385,Statistics Programming Methods,63553,Online,ONL,ARRANGED,n.a.,n.a.,"Dalpiaz, D"
