,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,TAM199,Undergraduate Open Seminar,10204,Independent Study,,ARRANGED,n.a.,n.a.,
1,TAM210,Introduction to Statics,36206,Discussion/ Recitation,AD2,09:00AM - 09:50AM,T,0023 Sidney Lu Mech Engr Bldg,"Willhardt, C"
2,TAM210,Introduction to Statics,36207,Discussion/ Recitation,AD3,10:00AM - 10:50AM,T,0023 Sidney Lu Mech Engr Bldg,"Willhardt, C"
3,TAM210,Introduction to Statics,36208,Discussion/ Recitation,AD4,11:00AM - 11:50AM,T,0023 Sidney Lu Mech Engr Bldg,"Willhardt, C"
4,TAM210,Introduction to Statics,36209,Discussion/ Recitation,AD5,12:00PM - 12:50PM,T,0023 Sidney Lu Mech Engr Bldg,"Willhardt, C"
5,TAM210,Introduction to Statics,36210,Discussion/ Recitation,AD6,01:00PM - 01:50PM,T,0023 Sidney Lu Mech Engr Bldg,"Celebi, O"
6,TAM210,Introduction to Statics,36211,Discussion/ Recitation,AD7,01:00PM - 01:50PM,W,0023 Sidney Lu Mech Engr Bldg,"Celebi, O"
7,TAM210,Introduction to Statics,38775,Discussion/ Recitation,AD8,02:00PM - 02:50PM,W,0023 Sidney Lu Mech Engr Bldg,"Qian, B"
8,TAM210,Introduction to Statics,58234,Discussion/ Recitation,AD9,03:00PM - 03:50PM,W,0023 Sidney Lu Mech Engr Bldg,"Qian, B"
9,TAM210,Introduction to Statics,63234,Discussion/ Recitation,ADA,04:00PM - 04:50PM,W,0023 Sidney Lu Mech Engr Bldg,"Ran, J"
10,TAM210,Introduction to Statics,36212,Lecture-Discussion,AE1,11:00AM - 11:50AM,MWF,112 Gregory Hall,"Chang, W"
11,TAM211,Statics,36214,Discussion/ Recitation,AD2,09:00AM - 09:50AM,T,0023 Sidney Lu Mech Engr Bldg,"Willhardt, C"
12,TAM211,Statics,36215,Discussion/ Recitation,AD3,10:00AM - 10:50AM,T,0023 Sidney Lu Mech Engr Bldg,"Willhardt, C"
13,TAM211,Statics,36216,Discussion/ Recitation,AD4,11:00AM - 11:50AM,T,0023 Sidney Lu Mech Engr Bldg,"Willhardt, C"
14,TAM211,Statics,36217,Discussion/ Recitation,AD5,12:00PM - 12:50PM,T,0023 Sidney Lu Mech Engr Bldg,"Willhardt, C"
15,TAM211,Statics,36218,Discussion/ Recitation,AD6,01:00PM - 01:50PM,T,0023 Sidney Lu Mech Engr Bldg,"Celebi, O"
16,TAM211,Statics,36219,Discussion/ Recitation,AD7,01:00PM - 01:50PM,W,0023 Sidney Lu Mech Engr Bldg,"Celebi, O"
17,TAM211,Statics,38776,Discussion/ Recitation,AD8,02:00PM - 02:50PM,W,0023 Sidney Lu Mech Engr Bldg,"Qian, B"
18,TAM211,Statics,58237,Discussion/ Recitation,AD9,03:00PM - 03:50PM,W,0023 Sidney Lu Mech Engr Bldg,"Qian, B"
19,TAM211,Statics,63237,Discussion/ Recitation,ADA,04:00PM - 04:50PM,W,0023 Sidney Lu Mech Engr Bldg,"Ran, J"
20,TAM211,Statics,36220,Lecture-Discussion,AE1,11:00AM - 11:50AM,MWF,112 Gregory Hall,"Chang, W"
21,TAM212,Introductory Dynamics,36229,Discussion/ Recitation,ADB,09:00AM - 09:50AM,W,0023 Sidney Lu Mech Engr Bldg,"Williams, C"
22,TAM212,Introductory Dynamics,36230,Discussion/ Recitation,ADC,10:00AM - 10:50AM,W,0023 Sidney Lu Mech Engr Bldg,"Taghibakhshi, A"
