,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,TE100,"Introduction to Innovation, Leadership and Engineering Entrepreneurship",67553,Lecture-Discussion,A,11:00AM - 11:50AM,T,1038 Campus Instructional Facility,"Jahnke, K"
1,TE100,"Introduction to Innovation, Leadership and Engineering Entrepreneurship",72302,Lecture-Discussion,B,10:00AM - 10:50AM,M,1050 Siebel Center for Design,"Jahnke, K"
2,TE110,Communicating and Presenting in Engineering,70720,Lecture-Discussion,EB,09:00AM - 09:50AM,MW,2018 Campus Instructional Facility,"Amos, J"
3,TE250,From Idea to Enterprise,65319,Lecture-Discussion,HLS,01:00PM - 02:50PM,W,2101 Everitt Laboratory,"Karasek, M"
4,TE333,"Creativity, Innovation, Vision",65252,Lecture-Discussion,CR2,12:30PM - 01:50PM,TR,2320 Digital Computer Laboratory,"Jahnke, K"
5,TE360,Lectures in Engineering Entrepreneurship,51374,Lecture-Discussion,A,05:30PM - 07:00PM,R,1320 Digital Computer Laboratory,"Wilson, G"
6,TE360,Lectures in Engineering Entrepreneurship,68156,Lecture-Discussion,CS,11:00AM - 12:50PM,R,ARR Illini Center,"Singer, A & Taylor, J"
7,TE360,Lectures in Engineering Entrepreneurship,57495,Lecture-Discussion,LLC,05:00PM - 05:50PM,T,89 Illinois Street Residence Lng,"Siero, M"
8,TE398,Special Topics II,70904,Lecture-Discussion,CNV,03:30PM - 06:20PM,R,Location Pending,"Thode, J"
9,TE398,Special Topics II,72430,Lecture-Discussion,DPI,ARRANGED,n.a.,Location Pending,"Makela, J"
10,TE398,Special Topics II,65324,Lecture-Discussion,IED,04:00PM - 05:50PM,W,0018 Campus Instructional Facility,"Karasek, M"
11,TE401,Developing Breakthrough Projects,65391,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Jahnke, K"
12,TE401,Developing Breakthrough Projects,68142,Lecture-Discussion,CS,ARRANGED,n.a.,Location Pending,"Singer, A & Taylor, J"
13,TE401,Developing Breakthrough Projects,66226,Lecture-Discussion,F,ARRANGED,n.a.,Location Pending,"Singer, A"
14,TE401,Developing Breakthrough Projects,71420,Lecture,LL2,04:00PM - 04:50PM,TR,89 Illinois Street Residence Lng,"Jahnke, K"
15,TE450,"Startups: Incorporation, Funding, Contracts, & Intellectual Property",65314,Lecture-Discussion,JB,10:00AM - 12:30PM,F,114 Transportation Building,"Barich, J"
16,TE460,Lectures in Engineering Entrepreneurship,54062,Lecture-Discussion,A,05:30PM - 07:00PM,R,1320 Digital Computer Laboratory,"Wilson, G"
17,TE460,Lectures in Engineering Entrepreneurship,68012,Online,ONC,ARRANGED,n.a.,n.a.,"Wilson, G"
18,TE460,Lectures in Engineering Entrepreneurship,57701,Online,ONL,ARRANGED,n.a.,n.a.,"Wilson, G"
19,TE461,Technology Entrepreneurship,48501,Lecture-Discussion,A,09:00AM - 10:50AM,MW,206 Transportation Building,"Lilly, B"
20,TE461,Technology Entrepreneurship,68014,Online,ONC,ARRANGED,n.a.,n.a.,"Lilly, B"
21,TE461,Technology Entrepreneurship,57702,Online,ONL,ARRANGED,n.a.,n.a.,"Lilly, B"
22,TE462,Leading Sustainable Change,72328,Lecture-Discussion,GS,04:00PM - 05:15PM,MW,2078 Natural History Building,"Hoag, B & Spencer, G"
23,TE466,High-Tech Venture Marketing,62153,Online Lecture,A,02:00PM - 03:50PM,F,n.a.,"Bivona, M"
24,TE510,Advanced Creativity,73538,Lecture-Discussion,ADC,09:30AM - 10:50AM,TR,3038 Campus Instructional Facility,"Jahnke, K"
25,TE565,Technol Innovation & Strategy,51372,Lecture-Discussion,A,02:00PM - 03:50PM,R,3217 Everitt Laboratory,"Chopra, S"
26,TE565,Technol Innovation & Strategy,68017,Online,ONC,ARRANGED,n.a.,n.a.,"Chopra, S"
27,TE565,Technol Innovation & Strategy,57706,Online,ONL,ARRANGED,n.a.,n.a.,"Chopra, S"
28,TE566,Finance for Engineering Mgmt,51370,Lecture-Discussion,A,02:00PM - 03:50PM,R,3101 Sidney Lu Mech Engr Bldg,"Lilly, B"
29,TE566,Finance for Engineering Mgmt,68020,Online,ONC,ARRANGED,n.a.,n.a.,"Lilly, B"
30,TE566,Finance for Engineering Mgmt,57710,Online,ONL,ARRANGED,n.a.,n.a.,"Lilly, B"
31,TE567,Venture Funded Startups,68018,Online,ONC,ARRANGED,n.a.,n.a.,"Chopra, S"
32,TE567,Venture Funded Startups,57712,Online,ONL,ARRANGED,n.a.,n.a.,"Chopra, S"
