,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,THEA100,Practicum I,36440,Laboratory,A,ARRANGED,n.a.,Location Pending,"Ciofalo, T & Miguens, M"
1,THEA100,Practicum I,59599,Laboratory,MI,ARRANGED,n.a.,Location Pending,"Ciofalo, T & Miguens, M"
2,THEA101,Introduction to Theatre Arts,59297,Online,O10,ARRANGED,n.a.,n.a.,"Goodell, E & Miller, T & Morrill, A & Morrissette, J & Radice, T"
3,THEA101,Introduction to Theatre Arts,59298,Online,O11,ARRANGED,n.a.,n.a.,"Goodell, E & Higgins, C & Miller, T & Morrissette, J & Radice, T"
4,THEA101,Introduction to Theatre Arts,60499,Online,O12,ARRANGED,n.a.,n.a.,"Fox, R & Goodell, E & Miller, T & Morrissette, J & Radice, T"
5,THEA101,Introduction to Theatre Arts,60500,Online,O13,ARRANGED,n.a.,n.a.,"Goodell, E & Miller, T & Morgan, T & Morrissette, J & Radice, T"
6,THEA101,Introduction to Theatre Arts,60501,Online,O14,ARRANGED,n.a.,n.a.,"Civello, M & Goodell, E & Miller, T & Morrissette, J & Radice, T"
7,THEA101,Introduction to Theatre Arts,60502,Online,O15,ARRANGED,n.a.,n.a.,"Goodell, E & Landon, M & Miller, T & Morrissette, J & Radice, T"
8,THEA101,Introduction to Theatre Arts,60503,Online,O16,ARRANGED,n.a.,n.a.,"Goodell, E & Miller, T & Morrissette, J & Radice, T & Salmasi, K"
9,THEA101,Introduction to Theatre Arts,60504,Online,O17,ARRANGED,n.a.,n.a.,"Goodell, E & Miller, T & Morrissette, J & Radice, T & Rivera, D"
10,THEA101,Introduction to Theatre Arts,62294,Online,O18,ARRANGED,n.a.,n.a.,"Goodell, E & Kipp, D & Miller, T & Morrissette, J & Radice, T"
11,THEA101,Introduction to Theatre Arts,62295,Online,O19,ARRANGED,n.a.,n.a.,"Goodell, E & Miller, T & Morrill, A & Morrissette, J & Radice, T"
