,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,TRST410,Translation and Interpreting Theory & Practice,54726,Lecture-Discussion,G4,03:00PM - 05:20PM,W,11 Psychology Building,"Jenkins, R"
1,TRST410,Translation and Interpreting Theory & Practice,65518,Online,OG4,ARRANGED,n.a.,n.a.,"Phillips, P"
2,TRST410,Translation and Interpreting Theory & Practice,54725,Lecture-Discussion,U3,03:00PM - 05:20PM,W,11 Psychology Building,"Jenkins, R"
3,TRST413,Arabic-English Translation,62054,Lecture-Discussion,G4,01:00PM - 02:20PM,MW,1136 Foreign Languages Building,"Ahyad, H & Saadah, E & Tolliver, J"
4,TRST413,Arabic-English Translation,62055,Lecture-Discussion,U3,01:00PM - 02:20PM,MW,1136 Foreign Languages Building,"Ahyad, H & Saadah, E & Tolliver, J"
5,TRST415,Machine Translation: History and Applications,65276,Lecture-Discussion,G4,09:30AM - 10:50AM,TR,0018 Campus Instructional Facility,"Gent, H & Schwartz, L"
6,TRST415,Machine Translation: History and Applications,65273,Lecture-Discussion,U3,09:30AM - 10:50AM,TR,0018 Campus Instructional Facility,"Gent, H & Schwartz, L"
7,TRST431,History of Translation,72448,Lecture-Discussion,G4,02:00PM - 03:20PM,TR,G30 Foreign Languages Building,"Cooper, D"
8,TRST431,History of Translation,73639,Online,GON,02:00PM - 03:20PM,TR,n.a.,"Cooper, D"
9,TRST431,History of Translation,72442,Lecture-Discussion,U3,02:00PM - 03:20PM,TR,G30 Foreign Languages Building,"Cooper, D"
10,TRST432,Audio Visual Translation Studies,70687,Lecture-Discussion,A,11:00AM - 12:20PM,TR,1110 Foreign Languages Building,"Jenkins, R"
11,TRST432,Audio Visual Translation Studies,71031,Lecture-Discussion,B,11:00AM - 12:20PM,TR,1110 Foreign Languages Building,"Jenkins, R"
12,TRST432,Audio Visual Translation Studies,71032,Online,ONL,11:00AM - 12:20PM,TR,n.a.,"Jenkins, R"
13,TRST432,Audio Visual Translation Studies,72191,Online,U4,11:00AM - 12:20PM,TR,n.a.,"Jenkins, R"
14,TRST500,Translation and Interpretation: Reflective Practice,68561,Lecture-Discussion,G4,03:30PM - 05:50PM,R,0036 Campus Instructional Facility,"Phillips, P"
15,TRST500,Translation and Interpretation: Reflective Practice,68560,Online,ONL,ARRANGED,n.a.,n.a.,"Phillips, P"
16,TRST502,Applied LiteraryTranslation II,67078,Lecture-Discussion,A,03:30PM - 05:50PM,M,0036 Campus Instructional Facility,"Ivashkiv, R"
17,TRST502,Applied LiteraryTranslation II,67079,Online,ONL,03:30PM - 05:50PM,M,n.a.,"Ivashkiv, R"
18,TRST503,Computer-Assisted Translation,72211,Lecture-Discussion,A,03:30PM - 05:50PM,T,0036 Campus Instructional Facility,"Warburton, K"
19,TRST503,Computer-Assisted Translation,73134,Online,ONL,03:30PM - 05:50PM,T,n.a.,"Warburton, K"
20,TRST505,Commercial & Technical Translation,73123,Lecture,A1,03:30PM - 05:50PM,R,G46 Foreign Languages Building,"Warburton, K"
21,TRST505,Commercial & Technical Translation,73124,Online,ONL,03:30PM - 05:50PM,R,n.a.,"Warburton, K"
22,TRST540,Capstone,62056,Online,O,ARRANGED,n.a.,n.a.,
23,TRST542,Conference Interpreting,68558,Lecture-Discussion,G4,03:00PM - 05:20PM,M,Location Pending,"Pagura, R"
24,TRST542,Conference Interpreting,68562,Online,ONL,ARRANGED,n.a.,n.a.,"Pagura, R"
