,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,UP116,Urban Informatics I,57242,Laboratory,FF,10:00AM - 10:50AM,F,101 901 W Oregon,"Fang, F & Sohoni, S"
1,UP136,Urban Sustainability,60627,Lecture,DA,11:00AM - 12:20PM,TR,225 Temple Hoyne Buell Hall,"Allred, D"
2,UP185,Cities in a Global Perspective,53015,Lecture,FM,10:30AM - 11:50AM,MW,146 Armory,"Moscoso, M & Qayyum, F"
3,UP201,Planning in Action,67678,Lecture-Discussion,ME,02:00PM - 03:20PM,TR,120 Architecture Building,"Edwards, M"
4,UP205,Ecology & Environmental Sustainability,37258,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,223 Temple Hoyne Buell Hall,"Basnet, V & Schneider, D"
5,UP205,Ecology & Environmental Sustainability,37259,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,223 Temple Hoyne Buell Hall,"Basnet, V & Schneider, D"
6,UP205,Ecology & Environmental Sustainability,44310,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,223 Temple Hoyne Buell Hall,"Basnet, V & Schneider, D"
7,UP205,Ecology & Environmental Sustainability,37260,Lecture-Discussion,AE1,01:00PM - 01:50PM,MW,319 Gregory Hall,"Basnet, V & Schneider, D"
8,UP210,Environmental Economics,30561,Online Discussion,AD2,10:00AM - 10:50AM,F,n.a.,"Cai, C & Damon, L"
9,UP210,Environmental Economics,30563,Online Discussion,AD3,11:00AM - 11:50AM,F,n.a.,"Cai, C & Damon, L"
10,UP210,Environmental Economics,30566,Online Discussion,AD4,12:00PM - 12:50PM,F,n.a.,"Damon, L & Hsieh, H"
11,UP210,Environmental Economics,55329,Online Discussion,AD6,02:00PM - 02:50PM,F,n.a.,"Damon, L & Hsieh, H"
12,UP210,Environmental Economics,30571,Lecture,AL1,03:00PM - 03:50PM,MW,103 Mumford Hall,"Damon, L"
13,UP211,"Local Planning, Gov't and Law",72248,Lecture-Discussion,DA,03:30PM - 04:50PM,MW,120 Architecture Building,"Allred, D & Barnes, A"
14,UP230,Transportation Planning: Fundamentals and Innovations,73394,Lecture-Discussion,LB,09:30AM - 10:50AM,TR,223 Temple Hoyne Buell Hall,"Braun, L"
15,UP260,Social Inequality and Planning,55425,Lecture,A,03:30PM - 04:50PM,TR,Location Pending,"Benkraouda, O & Salo, K"
16,UP301,Capstone Preparation,65280,Conference,AG,ARRANGED,n.a.,Location Pending,"Greenlee, A"
17,UP301,Capstone Preparation,65279,Conference,BL,ARRANGED,n.a.,Location Pending,"Lee, B"
18,UP301,Capstone Preparation,65278,Conference,DS,ARRANGED,n.a.,Location Pending,"Schneider, D"
