,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,VCM501,Zoological Medicine Seminar,49726,Lecture-Discussion,A,01:30PM - 03:20PM,W,Location Pending,"Langan, J"
1,VCM503,Current Lit in Equine Med Surg,48513,Lecture-Discussion,A,08:00AM - 08:50AM,M,Location Pending,"Austin, S & Gutierrez Nibeyro, S"
2,VCM506,Topics in Pathophysiology,52776,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Fick, M & Haraschak, J"
3,VCM508,Trans Mol Path Veterinary Dz,61090,Lecture,A,07:00AM - 07:50AM,MWF,Location Pending,"Barger, A & Connolly, S & Fan, T & Roady, P"
4,VCM522,Adv Comp Theriogenology,37718,Lecture,A,03:00PM - 04:50PM,R,Location Pending,"Frederico Canisso, I"
5,VCM535,Small Animal Internal Medicine Book Club,69660,Lecture-Discussion,A,08:00AM - 08:50AM,W,Location Pending,"Gal, A & Reinhart Dungar, J"
6,VCM536,ECC Journal Topics,57849,Lecture-Discussion,A,08:00AM - 08:50AM,R,Location Pending,"Fick, M & Haraschak, J"
7,VCM540,Conservation and Ecosystem Health,73468,Lecture,A,04:00PM - 04:50PM,TR,Location Pending,"Sander, W"
8,VCM542,Ocular Pathology,63538,Lecture-Discussion,A,08:00AM - 08:50AM,W,Location Pending,"Roady, P"
9,VCM561,Biosecurity in Livestock Systems,73136,Online,A,ARRANGED,n.a.,n.a.,"Lowe, J"
10,VCM562,Understanding the Host Response to Infection,70489,Online,A,ARRANGED,n.a.,n.a.,"Aldridge, B"
11,VCM568,A Systems-Based Approach to the Operation of Livestock-Based Food Production Systems I,73135,Online,A,ARRANGED,n.a.,n.a.,"Lowe, J"
12,VCM569,A Systems-Based Approach to the Operation of Livestock-Based Food Production Systems II,73137,Online,A,ARRANGED,n.a.,n.a.,"Lowe, J"
13,VCM577,Advanced Large Animal Medicine,37720,Lecture,A,08:00AM - 08:50AM,W,Location Pending,"Aldridge, B"
14,VCM584,Current Concepts Comp Surgery,37721,Lecture-Discussion,A,08:00AM - 08:50AM,M,E-080 Veterinary Teaching Hospital,"Gleason, H"
15,VCM584,Current Concepts Comp Surgery,60959,Lecture-Discussion,LA,08:00AM - 08:50AM,RF,Location Pending,"Gutierrez Nibeyro, S & Kirkpatrick, C & McCoy, A"
16,VCM585,Current Lit Sm Anim Medicine,37722,Discussion/ Recitation,A,08:00AM - 08:50AM,R,Location Pending,"Gal, A & Reinhart Dungar, J & Ridgway, M"
17,VCM590,Seminar,10318,Independent Study,,ARRANGED,n.a.,n.a.,
18,VCM592,Special Problems,10321,Independent Study,,ARRANGED,n.a.,n.a.,
19,VCM593,Adv Topics Vet Clin Med,10324,Independent Study,,ARRANGED,n.a.,n.a.,
20,VCM595,MVS Integrative Learning Experience,71807,Online,SP1,ARRANGED,n.a.,n.a.,"Lowe, J"
21,VCM595,MVS Integrative Learning Experience,71850,Online,SP2,ARRANGED,n.a.,n.a.,"Lowe, J"
22,VCM598,Manuscript Research,51913,Independent Study,,ARRANGED,n.a.,n.a.,
23,VCM598,Manuscript Research,61054,Laboratory,DSH,ARRANGED,n.a.,Location Pending,"Strahl-Heldreth, D"
24,VCM598,Manuscript Research,58776,Laboratory,GMD,ARRANGED,n.a.,Location Pending,"Doodnaught, G"
25,VCM598,Manuscript Research,53858,Independent Study,SMA,ARRANGED,n.a.,n.a.,"Austin, S"
26,VCM599,Thesis Research,10328,Independent Study,,ARRANGED,n.a.,n.a.,
27,VCM608,Equine Veterinary Husbandry,53825,Lecture,E,03:00PM - 03:50PM,TR,2251 Vet Med Basic Sciences Bldg,"Foreman, J"
28,VCM625,Zoological Companion Mammal Medicine,45068,Lecture,A,04:00PM - 05:50PM,R,Location Pending,"Kehoe, S & Keller, K & Sander, W"
29,VCM627,Equine Infectious Disease,55873,Lecture,E,03:00PM - 04:50PM,M,250 Veterinary Teaching Hospital,"Austin, S & Foreman, J"
30,VCM628,The Healer's Art,73198,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Hague, D"
31,VCM637,Advanced Clinical Cardiology,70929,Lecture-Discussion,A,03:00PM - 04:50PM,R,Location Pending,"Fries, R & Kadotani, S"
32,VCM641,Equine Neonatology,58171,Lecture-Discussion,E,03:00PM - 04:50PM,F,Location Pending,"Austin, S & Wilkins, P"
33,VCM641,Equine Neonatology,62865,Lecture-Discussion,G,03:00PM - 04:50PM,F,Location Pending,"Austin, S & Wilkins, P"
34,VCM645,Equine Surgery Laboratory,58170,Laboratory-Discussion,B,08:00AM - 11:50AM,R,Location Pending,"Gutierrez Nibeyro, S & Kirkpatrick, C & McCoy, A"
35,VCM648,One Medicine: One Health,53800,Lecture-Discussion,A,05:30PM - 08:30PM,W,Location Pending,"Johnson-Walker, Y & Sander, W"
36,VCM661,Advanced Equine Lameness,47421,Lecture-Discussion,E,03:00PM - 04:50PM,MW,100 Veterinary Teaching Hospital,"Gutierrez Nibeyro, S & Madsen, L & McCoy, A"
37,VCM663,Small Animal Dermatology,37696,Lecture,AL1,09:00AM - 10:50AM,R,E-080 Veterinary Teaching Hospital,"Souza, C"
38,VCM667,Ethics and Conflict in Zoological Medicine,71421,Lecture-Discussion,A,03:00PM - 03:50PM,MW,Location Pending,"Desmond, J & Sander, S"
39,VCM673,Companion Animal Rehab,48771,Lecture-Discussion,E,03:00PM - 04:50PM,M,2258 Vet Med Basic Sciences Bldg,"Knap, K"
40,VCM674,Equine Exercise Physiology,64309,Lecture,EG,03:00PM - 03:50PM,TR,2281 Vet Med Basic Sciences Bldg,"Foreman, J"
41,VCM674,Equine Exercise Physiology,53827,Lecture,EV,03:00PM - 03:50PM,TR,2281 Vet Med Basic Sciences Bldg,"Foreman, J"
42,VCM682,Wildlife Medicine,49141,Online,E1,12:00PM - 12:50PM,W,n.a.,"Sander, S"
43,VCM688,Food Supply Disease Management,60256,Lecture,E,07:00AM - 07:50AM,TR,Location Pending,"Lowe, J & Storms, S"
44,VCM690,Intro to Food Supply Medicine,60255,Lecture,E,01:00PM - 02:50PM,R,250 Veterinary Teaching Hospital,"Aldridge, B & Storms, S"
45,VCM692,Special Problems,10315,Independent Study,,ARRANGED,n.a.,n.a.,
