,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,VM603,Structure and Function II,53066,Laboratory,AL1,10:00AM - 11:50AM,TR,Location Pending,"Davila, J & Erbach, G & Foreman, J & Ko, C & Lowery, T & Lynch, A & Sprandel, I & Wang, B"
1,VM604,Structure and Function III,53068,Laboratory,AL1,10:00AM - 11:50AM,TR,Location Pending,"Bhurke, A & Davila, J & Erbach, G & Foreman, J & Hatcher, K & Lynch, A & Qiao, H & Reddi, P & Sprandel, I & Summers, C"
2,VM606,Clinical Practice II,63493,Lecture,AL1,08:00AM - 08:50AM,MWF,2258 Vet Med Basic Sciences Bldg,"Agapis, D & Aldridge, B & Aldridge, R & Allender, M & Austin, S & Elston, C & Fadl-Alla, B & Fan, T & Firkins, L & Fleming, K & Foreman, J<br />Foss, K<br />Garrett, E<br />Garrett, L<br />Graham, L<br />Grossman, B<br />Gutierrez Nibeyro, S<br />Hague, D<br />Harper, T<br />Hartman, S<br />Hexum, S<br />Johnson-Walker, Y<br />Keating, S<br />Kling, K<br />Knap, K<br />Lowe, J<br />Lowery, T<br />Maddox, C<br />Madsen, L<br />Marshall, T<br />McCoy, A<br />McNeil, L<br />Mitek, A<br />Phillips, H<br />Ridgway, M<br />Spinella, S<br />Stewart, M<br />Sullivan, D<br />Welle, K<br />Whittington, J<br />Wilkins, P<br />Williams, D"
3,VM608,Pathobiology III,55158,Laboratory,AL1,09:00AM - 11:50AM,W,Location Pending,"Aldridge, B & Bailey, K & Barger, A & Baumgartner, W & Colegrove-Calvey, K & Connolly, S & Delaney, M & Fleming, K & Foreman, J & Foss, K & Fries, R<br />Garrett, L<br />Hague, D<br />Hsiao, S<br />Landolfi, J<br />McCoy, A<br />Roady, P<br />Rosser, M<br />Samuelson, J<br />Schnelle, A<br />Sprandel, I<br />Terio, K<br />Vieson, M"
4,VM612,Clinical Practice III,57992,Laboratory-Discussion,A,ARRANGED,n.a.,Location Pending,"Aldridge, B & Allison, S & Austin, S & Barger, A & Belding, S & Connolly, S & Criley, J & Fan, T & Firkins, L & Fleming, K & Foreman, J<br />Frederico Canisso, I<br />Fredrickson, R<br />French, D<br />Garrett, E<br />Garrett, L<br />Gutierrez Nibeyro, S<br />Harper, T<br />Hsiao, S<br />Johnson-Walker, Y<br />Keating, S<br />Kling, K<br />Lowe, J<br />Maddox, C<br />McCoy, A<br />Phillips, H<br />Ridgway, M<br />Roady, P<br />Somrak, A<br />Sullivan, D<br />Welle, K<br />Whittington, J<br />Wilkins, P"
5,VM616,Clinical Practice VII,58787,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Aldridge, B & Allison, S & Austin, S & Barger, A & Connolly, S & Fan, T & Firkins, L & Fleming, K & Foreman, J & Frederico Canisso, I & Fredrickson, R<br />French, D<br />Garrett, E<br />Garrett, L<br />Gutierrez Nibeyro, S<br />Harper, T<br />Hsiao, S<br />Johnson-Walker, Y<br />Keating, S<br />Kling, K<br />Lowe, J<br />Maddox, C<br />McCoy, A<br />Phillips, H<br />Ridgway, M<br />Roady, P<br />Somrak, A<br />Sullivan, D<br />Welle, K<br />Whittington, J<br />Wilkins, P"
6,VM617,Professional Development,59215,Lecture-Discussion,A,08:00AM - 04:00PM,MTWRF,Location Pending,"Allender, M & Austin, S & Barger, A & Connolly, S & Firkins, L & Foreman, J & Frederico Canisso, I & French, D & Hague, D & Harper, T & Lowe, J<br />McCoy, A<br />Phillips, H<br />Ridgway, M<br />Stewart, M<br />Welle, K<br />Whittington, J<br />Wilkins, P"
7,VM623,Research Project II,66642,Lecture-Discussion,A,06:00PM - 07:50PM,M,Location Pending,"Hoyer, L & Keller, K & Reinhart Dungar, J & Smith, R & Wilkins, P"
8,VM642,Contemporary Issues in Vet Med,69707,Lecture-Discussion,A,04:00PM - 04:50PM,MT,Location Pending,"Desmond, J"
9,VM655,Small Animal Medicine and Surgery III,72913,Laboratory,AL1,08:00AM - 11:50AM,T,Location Pending,"Cappa, T & Elston, C & Foreman, J & Foss, K & Hague, D"
10,VM656,Large Animal Medicine and Surgery III,72914,Packaged Section,AL1,11:00AM - 11:50AM,MWF,Location Pending,"Aldridge, R & Austin, S & Foreman, J & French, D & Garrett, E & Gutierrez Nibeyro, S & Lowe, J & McCoy, A & Stewart, M & Wilkins, P"
